"inst_202" "inst_376" "inst_388" "inst_2738" "inst_3480" "inst_5759" "inst_6235"
"1007_s_at" 15702 11131 4249 19363 6775 16309 5858
"1053_at" 14463 20133 5369 11995 20154 16633 19278
"117_at" 4818 2848 6193 6052 12406 759 10277
"121_at" 15478 10764 3696 4586 4975 3372 3202
"1255_g_at" 5875 13332 1041 14064 12466 13435 11006
"1294_at" 12597 8753 6796 12003 14259 4070 3598
"1316_at" 655 7374 21567 3010 2714 17161 636
"1320_at" 1166 4065 11780 13302 12228 6050 11433
"1405_i_at" 6022 16349 13310 9888 17733 9732 13988
"1431_at" 6318 16794 19918 4283 13566 2871 2567
"1438_at" 16267 377 15111 14505 7576 3056 18901
"1487_at" 16334 3209 21910 11288 8155 5191 19852
"1494_f_at" 12793 9535 4214 10974 9967 15661 11274
"1598_g_at" 20878 11639 8956 21761 19203 18731 5432
"160020_at" 13320 10645 2581 2156 20445 20070 20546
"1729_at" 17774 10474 4577 18261 18968 20938 1671
"1773_at" 2383 3654 541 20954 20313 7833 6105
"177_at" 18062 11083 4094 2341 12133 2641 3809
"179_at" 14321 9676 18351 22248 1471 17478 17106
"1861_at" 14384 12473 4779 6778 6222 16252 6397
"200000_s_at" 15678 10668 19982 8242 7769 15561 19398
"200001_at" 3612 6644 18660 9206 6813 14645 5148
"200002_at" 1264 7941 17483 18741 9809 18288 16077
"200003_s_at" 12772 6669 9166 15073 9996 14662 15914
"200004_at" 12499 8335 20330 9138 8262 17970 16169
"200005_at" 17463 8206 17897 18023 18743 6906 19708
"200006_at" 14111 7896 19392 12311 9386 15739 17544
"200007_at" 16559 8145 7704 11773 18572 16691 4492
"200008_s_at" 18774 10025 6034 20146 8855 18367 17865
"200009_at" 3472 3024 9094 18096 8359 6022 17649
"200010_at" 1872 4563 20861 15075 9546 8539 16828
"200011_s_at" 21410 905 7625 8574 8965 8348 3540
"200012_x_at" 2522 11887 8118 15037 19967 6081 4903
"200013_at" 3683 10709 17523 15015 7616 17188 17456
"200014_s_at" 14514 5613 16471 8250 9170 8329 15482
"200015_s_at" 14326 5632 5566 9322 4358 16145 17114
"200016_x_at" 4002 10534 5297 15014 18183 14390 15691
"200017_at" 3404 1242 7674 15148 8858 15899 15407
"200018_at" 3162 5279 18041 15142 18528 16706 17684
"200019_s_at" 13842 10609 16667 15119 9681 16003 16587
"200020_at" 3571 9278 16690 12200 9711 19500 18979
"200021_at" 1738 20220 3220 15234 18728 7743 9926
"200022_at" 1760 10432 17639 15084 9563 7460 15978
"200023_s_at" 4834 10644 7353 10311 6228 6189 5840
"200024_at" 15067 9017 3645 15121 6936 18744 15556
"200025_s_at" 3192 8668 17542 15141 7204 6971 16245
"200026_at" 15696 6613 16608 15239 7480 14276 16898
"200027_at" 13928 5678 9068 11406 18260 5415 17499
"200028_s_at" 3921 10649 8512 11021 20539 5528 6267
"200029_at" 14483 21112 16013 15112 19661 5914 17398
"200030_s_at" 12867 8266 7508 11523 8806 16334 15678
"200031_s_at" 3401 9516 8783 15137 8429 10266 15714
