"inst_2390" "inst_7421" "inst_7463"
"200659_s_at" 14654 3893 21391
"200660_at" 13486 16685 20220
"200661_at" 20843 19980 20177
"200662_s_at" 2007 17303 7868
"200663_at" 15012 17299 20327
"200664_s_at" 18642 17850 19107
"200665_s_at" 7262 9308 11090
"200666_s_at" 4397 20354 21403
"200667_at" 18277 3014 4759
"200668_s_at" 13752 5804 4174
"200669_s_at" 16390 16778 7808
"200670_at" 5644 6176 18835
"200671_s_at" 18909 175 2367
"200672_x_at" 19465 21146 5212
"200673_at" 16795 6083 5585
"200674_s_at" 4779 15771 17697
"200675_at" 4615 15798 7739
"200676_s_at" 15879 2987 2898
"200677_at" 4271 4555 4614
"200678_x_at" 16296 6521 5675
"200679_x_at" 14115 4646 8215
"200680_x_at" 5647 5985 17502
"200681_at" 14997 17077 6805
"200682_s_at" 13431 6039 18577
"200683_s_at" 13904 17934 18210
"200684_s_at" 3951 20947 4309
"200685_at" 15989 19803 19643
"200686_s_at" 2037 18820 3018
"200687_s_at" 17523 5659 3324
"200688_at" 22274 20402 20813
"200689_x_at" 13292 5357 18643
"200690_at" 4452 1384 2281
"200691_s_at" 14506 17004 18812
"200692_s_at" 2893 16903 18299
"200693_at" 14236 6096 7337
"200694_s_at" 14815 6659 8674
"200695_at" 18197 1914 3463
"200696_s_at" 3548 2632 2671
"200697_at" 3599 15809 5437
"200698_at" 15664 18361 17752
"200699_at" 3405 16057 18495
"200700_s_at" 16976 16584 17739
"200701_at" 16591 17838 19662
"200702_s_at" 18677 15928 3214
"200703_at" 5064 4859 18566
"200704_at" 4433 17525 5355
"200705_s_at" 4413 17047 17288
"200706_s_at" 2519 5832 17968
"200707_at" 20534 2081 17277
"200708_at" 15536 15933 7017
"200709_at" 18429 4041 6115
"200710_at" 4172 3249 4044
"200711_s_at" 15136 6274 5109
"200712_s_at" 3104 19820 4399
"200713_s_at" 15172 16462 4989
"200714_x_at" 5225 3800 6195
"200715_x_at" 5286 16341 17011
"200716_x_at" 7762 5401 8527
"200717_x_at" 7929 6601 18017
"200718_s_at" 5009 15944 18215
"200719_at" 2009 5512 18247
"200720_s_at" 20681 4461 3707
"200721_s_at" 20540 5940 8569
"200722_s_at" 15381 20330 20415
"200723_s_at" 16809 16180 7926
"200724_at" 8678 3299 4932
"200725_x_at" 5471 20053 20835
"200726_at" 13785 6693 7223
"200727_s_at" 5093 3380 17054
"200728_at" 19593 2385 7203
"200729_s_at" 3299 15728 18645
"200730_s_at" 20124 15763 8271
"200731_s_at" 20057 19595 5817
"200732_s_at" 17399 5311 4760
"200733_s_at" 15935 2400 19073
"200734_s_at" 19830 3234 2502
"200735_x_at" 7698 6307 6589
"200736_s_at" 3463 9379 9088
"200737_at" 15559 16400 6843
"200738_s_at" 14610 6578 7356
"200739_s_at" 15809 6631 20613
"200740_s_at" 5597 4441 6318
"200741_s_at" 7863 5059 18568
"200742_s_at" 16379 19752 17679
"200743_s_at" 13575 20987 2775
"200744_s_at" 17073 3641 7463
"200745_s_at" 13398 16964 8607
"200746_s_at" 14736 18148 7146
"200747_s_at" 16116 4214 1847
"200748_s_at" 18545 16245 5838
"200749_at" 15772 17073 6035
"200750_s_at" 14872 16968 8285
"200751_s_at" 15738 6455 17925
"200752_s_at" 20289 21070 2278
"200753_x_at" 17615 16473 7607
"200754_x_at" 4526 17124 8653
"200755_s_at" 5157 2272 18794
"200756_x_at" 14611 2141 21845
"200757_s_at" 18561 19938 8264
"200758_s_at" 17890 4095 4601
"200759_x_at" 17697 20350 3958
"200760_s_at" 16991 17726 7415
"200761_s_at" 13450 16857 17333
"200762_at" 2124 19981 3774
"200763_s_at" 7753 16043 17984
"200764_s_at" 7630 19340 8566
"200765_x_at" 1932 19856 17372
"200766_at" 3469 18337 7260
"200767_s_at" 20190 18161 18396
"200768_s_at" 15269 19994 3407
"200769_s_at" 13354 16938 8503
"200770_s_at" 17727 21253 18153
"200771_at" 18857 16722 19093
"200772_x_at" 15760 6588 17296
"200773_x_at" 13164 4513 17071
"200774_at" 18044 5477 7177
"200775_s_at" 14171 16768 3947
"200776_s_at" 19273 2502 6811
"200777_s_at" 14394 5151 17687
"200778_s_at" 5639 4243 17398
"200779_at" 13730 18278 17965
"200780_x_at" 13510 17144 7015
"200781_s_at" 5346 16307 17740
"200782_at" 4207 4677 8313
"200783_s_at" 5110 19237 6578
"200784_s_at" 9238 7179 11171
"200785_s_at" 10867 12652 9112
"200786_at" 3675 19504 18505
"200787_s_at" 16025 16085 2660
"200788_s_at" 16675 2990 5408
"200789_at" 21045 20085 18255
"200790_at" 4425 6377 5111
"200791_s_at" 16546 20185 19760
"200792_at" 13994 17498 6550
"200793_s_at" 3003 20949 19441
"200794_x_at" 14278 6103 7912
"200795_at" 14108 9040 10095
"200796_s_at" 2087 20954 20911
"200797_s_at" 5054 20945 5137
"200798_x_at" 15074 4976 20485
"200799_at" 8131 3854 17737
"200800_s_at" 21223 18000 20810
"200801_x_at" 5114 17435 18189
"200802_at" 16382 17530 18662
"200803_s_at" 5585 3016 8700
"200804_at" 13870 16998 20041
"200805_at" 16555 19299 18509
"200806_s_at" 14322 5117 19894
"200807_s_at" 13316 6084 6894
"200808_s_at" 19385 1894 6495
"200809_x_at" 13440 18396 5942
"200810_s_at" 13204 2997 7130
"200811_at" 2679 2676 6812
"200812_at" 4776 6609 6171
