"inst_3629" "inst_3632" "inst_3732" "inst_3735" "inst_4288" "inst_4291" "inst_4754" "inst_4757"
"1007_s_at" 13311 10569 7714 20316 5367 19592 16333 19332
"1053_at" 18213 11748 8353 6833 5755 3308 20389 18988
"117_at" 1738 15985 419 11438 9179 9145 13168 512
"121_at" 11445 7146 3127 5110 6081 2752 20489 15426
"1255_g_at" 8573 12762 16173 11679 11332 10336 11810 11574
"1294_at" 14556 20355 323 2985 14909 19818 1299 2547
"1316_at" 12562 21892 21815 21502 1115 3278 22215 17964
"1320_at" 21899 10365 3499 13571 20966 19460 20597 574
"1405_i_at" 10019 343 18010 12951 9742 8753 497 10825
"1431_at" 2121 20380 1432 4017 1495 6323 6054 2497
"1438_at" 18168 10566 12772 2833 13580 21950 21680 20940
"1487_at" 18408 19657 5088 20003 14566 16197 6685 17198
"1494_f_at" 21926 22039 21949 16224 1742 14827 1230 21200
"1598_g_at" 14153 7440 8931 20540 15534 15414 15633 15957
"160020_at" 988 21998 7388 19656 4129 21635 20502 194
"1729_at" 11550 10024 21024 19195 4878 21544 17935 7251
"1773_at" 21213 6143 21393 20273 16475 1979 21994 15868
"177_at" 10624 1022 5830 11822 3746 21999 16833 2550
"179_at" 19964 19769 4250 2967 2668 19470 22279 1071
"1861_at" 4066 19569 10415 3799 13928 14454 3244 2594
"200000_s_at" 17278 18373 19956 18716 19137 19849 17646 19841
"200001_at" 15805 17822 8952 16378 13718 13473 7957 14821
"200002_at" 11376 18544 10208 10294 5572 3910 8610 14175
"200003_s_at" 6692 13642 15130 11905 9335 9406 11486 9848
"200004_at" 14166 9207 10187 6933 19424 16740 7479 16161
"200005_at" 14445 18472 11341 7921 6880 13768 7154 16954
"200006_at" 12902 18057 10720 10186 5645 5480 6674 16199
"200007_at" 14162 17986 11973 16818 6162 13806 17213 15364
"200008_s_at" 18456 5351 9605 4412 21132 14333 20638 2345
"200009_at" 14963 9851 10079 7450 13889 14374 17900 7461
"200010_at" 4896 10950 10239 6638 6588 7058 8512 7102
"200011_s_at" 10544 9164 8262 8687 15345 19394 6645 17014
"200012_x_at" 3408 11726 19431 16555 6002 15125 17982 14386
"200013_at" 4941 11836 10240 8507 4983 7246 15813 7765
"200014_s_at" 12570 17702 11427 7370 13968 5716 17306 20502
"200015_s_at" 15160 6504 7430 16391 13591 13911 8349 16222
"200016_x_at" 14737 17466 19969 17167 14506 4609 16477 16174
"200017_at" 6780 13739 15218 12009 9427 9510 11621 10009
"200018_at" 6771 13730 15213 12000 9420 9499 7928 16016
"200019_s_at" 13568 19323 13410 16543 5289 4846 7291 15515
"200020_at" 19222 9098 19481 7412 18775 7484 18542 14085
"200021_at" 6867 13838 15302 12099 9531 9625 11745 10156
"200022_at" 6707 13658 10875 8208 4622 4622 15828 7370
"200023_s_at" 16056 11097 12209 18066 14043 5695 7254 17939
"200024_at" 11699 19217 13287 15927 5104 6177 8749 14866
"200025_s_at" 6770 18758 12710 9678 5557 3642 7343 14562
"200026_at" 6870 13841 13019 17483 6623 5553 6822 5997
"200027_at" 13900 11218 12312 17386 14999 5989 7192 15527
"200028_s_at" 18727 17329 10648 7380 13384 14037 17735 3070
"200029_at" 11113 19171 12703 10152 13548 14825 8831 17667
"200030_s_at" 11741 18535 18874 16908 16198 14256 7949 16159
"200031_s_at" 6767 13725 15205 11987 9408 9487 11596 9974
"200032_s_at" 6781 13741 13346 9686 6110 6848 8944 14140
"200033_at" 17030 6814 12961 10273 18452 14159 15522 7198
"200034_s_at" 6695 13648 13198 9230 5661 14284 6600 5957
"200035_at" 16072 8614 7963 19937 3965 20102 4184 16847
"200036_s_at" 13660 18989 10464 10126 5307 5162 17591 16678
"200037_s_at" 14995 9318 10749 8989 14542 7085 6225 6931
"200038_s_at" 6843 13816 11975 16373 12853 13895 15991 14041
"200039_s_at" 16387 18278 10655 8639 13751 7224 16457 7380
"200040_at" 20358 10338 11060 7027 16986 7598 7582 7467
"200041_s_at" 13655 8650 4992 9128 16513 18963 5083 16913
"200042_at" 13501 10366 8685 5977 16384 16195 15443 18073
"200043_at" 12756 10575 8504 5371 14390 13811 7151 4561
"200044_at" 15105 5953 6914 9123 14697 15047 6530 4681
"200045_at" 14418 17888 10674 9806 6936 16122 15572 14687
"200046_at" 16501 6404 8334 8202 14232 15310 4406 18004
"200047_s_at" 17499 9605 12594 17120 17023 5456 18566 7602
"200048_s_at" 14411 18186 12733 17612 13309 7129 7897 15593
"200049_at" 11008 6500 8140 7707 7425 16929 6808 15522
"200050_at" 2509 5540 8779 6613 18097 2707 6642 7683
"200051_at" 13679 8697 6652 6876 7232 15090 9273 15718
"200052_s_at" 14798 10476 8879 16291 18070 14465 17815 16700
"200053_at" 17540 2622 10617 5427 15678 15796 7678 1402
"200054_at" 18961 20214 19325 16979 14954 18519 7363 19911
"200055_at" 12606 11818 8289 8505 15527 16457 8903 20041
"200056_s_at" 16747 10462 18971 5178 19255 13345 7244 14414
"200057_s_at" 12272 11405 11100 9929 14574 14976 8080 14629
"200058_s_at" 14648 9474 5038 6979 12808 17696 8820 14690
"200059_s_at" 12661 3815 12619 6351 16472 13436 16267 6184
"200060_s_at" 13857 11424 8816 18978 15492 15192 15763 16355
"200061_s_at" 6765 13723 15204 11986 9407 9486 11595 9973
"200062_s_at" 6679 13627 15119 11892 9319 9392 11472 9832
"200063_s_at" 6804 13766 15243 12040 9459 9546 11663 10059
"200064_at" 11306 5505 11350 6251 17589 17735 8847 6976
"200065_s_at" 17161 5206 11743 8821 17559 16676 15906 6128
"200066_at" 17323 9469 2625 4581 13455 16517 17234 19021
"200067_x_at" 13248 19437 9493 18581 14739 6791 8285 16061
"200068_s_at" 10754 10457 8381 5636 5716 14280 5660 4339
"200069_at" 16377 6811 9229 17099 6242 5053 7622 4413
"200070_at" 4704 9116 4133 4451 3915 5126 7831 16887
"200071_at" 21514 5193 19052 8715 14025 7631 19022 5130
"200072_s_at" 16436 7084 8947 8778 18944 18964 18720 7263
"200073_s_at" 17349 18534 12457 5480 16728 4647 17759 17794
"200074_s_at" 11539 10181 10884 7963 13521 4720 8817 14660
