"inst_313" "inst_608"
"200699_at" 10901 2057
"200700_s_at" 2815 3218
"200701_at" 13552 13889
"200702_s_at" 2398 189
"200703_at" 20121 15940
"200704_at" 17364 16697
"200705_s_at" 13274 3775
"200706_s_at" 17186 17247
"200707_at" 16109 19337
"200708_at" 3211 6140
"200709_at" 3236 16452
"200710_at" 18196 17358
"200711_s_at" 16251 4270
"200712_s_at" 3614 12767
"200713_s_at" 3230 14919
"200714_x_at" 12525 5925
"200715_x_at" 3798 15620
"200716_x_at" 4005 14930
"200717_x_at" 6039 4048
"200718_s_at" 17986 13319
"200719_at" 16487 16725
"200720_s_at" 4021 14570
"200721_s_at" 13077 19063
"200722_s_at" 18678 14506
"200723_s_at" 2986 5054
"200724_at" 20021 3225
"200725_x_at" 4354 5866
"200726_at" 13126 17757
"200727_s_at" 5883 16348
"200728_at" 4632 5278
"200729_s_at" 13657 2973
"200730_s_at" 4751 5106
"200731_s_at" 1531 12722
"200732_s_at" 17165 6353
"200733_s_at" 19830 4420
"200734_s_at" 5328 5338
"200735_x_at" 14246 2817
"200736_s_at" 8805 9295
"200737_at" 3153 16634
"200738_s_at" 14728 18405
"200739_s_at" 10839 1611
"200740_s_at" 11674 14515
"200741_s_at" 12389 5446
"200742_s_at" 2410 4326
"200743_s_at" 11152 18683
"200744_s_at" 3068 18042
"200745_s_at" 4746 15587
"200746_s_at" 11443 17569
"200747_s_at" 19479 15481
"200748_s_at" 16039 12617
"200749_at" 19738 14349
"200750_s_at" 11833 6127
"200751_s_at" 17430 5114
"200752_s_at" 15640 12125
"200753_x_at" 16373 14792
"200754_x_at" 18860 18897
"200755_s_at" 19800 19879
"200756_x_at" 6020 20618
"200757_s_at" 2781 3819
"200758_s_at" 1669 5318
"200759_x_at" 12003 21137
"200760_s_at" 15641 8956
"200761_s_at" 12011 5141
"200762_at" 21507 18381
"200763_s_at" 4307 6436
"200764_s_at" 4845 16735
"200765_x_at" 11214 17655
"200766_at" 15664 16210
"200767_s_at" 16952 862
"200768_s_at" 12104 18175
"200769_s_at" 16965 16257
"200770_s_at" 2882 17531
"200771_at" 19739 15659
"200772_x_at" 14706 20929
"200773_x_at" 11932 4202
"200774_at" 18345 4830
"200775_s_at" 6086 14714
"200776_s_at" 17649 2794
