"inst_3630" "inst_3633" "inst_3733" "inst_3736" "inst_4289" "inst_4292" "inst_4755" "inst_4758"
"200078_s_at" 15142 14774 8554 9354 4684 10901 15532 18997
"200079_s_at" 11309 18815 7134 10132 14376 15411 12623 18364
"200080_s_at" 11847 2922 16713 12546 4286 3017 14292 6335
"200081_s_at" 3873 2617 14310 10093 2788 2570 11496 7106
"200082_s_at" 6926 4698 7100 13350 4845 2278 4264 16963
"200083_at" 18390 14567 14688 8917 15055 15678 17370 9064
"200084_at" 14190 16462 17722 5175 17966 14023 13062 6242
"200085_s_at" 2996 12300 6603 11312 4506 2701 3745 18212
"200086_s_at" 4933 10621 15409 13403 2992 3174 12831 17129
"200087_s_at" 4961 10361 7307 5997 12895 15726 11249 3107
"200088_x_at" 6819 4576 10345 20626 4077 3697 7065 12478
"200089_s_at" 4469 9310 6673 13128 4779 10102 11099 8683
"200090_at" 18774 18643 16873 21907 13264 14999 20326 10388
"200091_s_at" 6851 4613 14144 8708 3786 3263 11309 6001
"200092_s_at" 6941 4714 8480 20927 2628 2606 3924 17022
"200093_s_at" 3598 13481 17885 13300 4946 11464 13058 9641
"200094_s_at" 3087 11042 5916 12882 4301 13134 3048 8191
"200095_x_at" 6987 4760 10504 16663 6929 6163 7292 12758
"200096_s_at" 5064 12457 6672 10814 10767 2597 12561 9054
"200097_s_at" 4964 10861 5843 7791 12715 15119 4353 5875
"200098_s_at" 12245 16757 17521 13257 12893 17418 14342 16939
"200099_s_at" 6945 4718 15085 19963 11811 10904 7243 12694
"200593_s_at" 11078 9993 15408 4769 3768 15474 11706 2476
"200594_x_at" 13802 11304 8021 7838 5050 16566 12832 4294
"200595_s_at" 15420 16470 16394 2737 13621 15386 11863 3814
"200596_s_at" 11273 17664 4282 5659 13317 20842 10939 6920
"200597_at" 11840 13427 6807 9426 16580 17224 15488 1394
"200598_s_at" 4879 9906 4176 10304 996 1452 4603 6788
"200599_s_at" 10829 12167 3421 2753 5015 12455 11426 2668
"200600_at" 8945 6615 7118 7510 17278 15548 728 18289
"200601_at" 11442 20933 21066 2932 16677 21679 16281 17443
"200602_at" 13166 16270 14884 1098 15214 17824 17225 10149
"200603_at" 13059 11219 15930 6679 12797 13395 11694 3259
"200604_s_at" 3725 8913 6281 5719 13218 12874 11265 6839
"200605_s_at" 2795 12233 5747 2528 4205 12483 4373 8811
"200606_at" 14102 18672 14932 11829 16102 15527 12356 7567
"200607_s_at" 5000 13819 15230 20166 1198 2719 11768 18374
"200608_s_at" 14872 13045 18392 8099 15267 13576 13929 6996
"200609_s_at" 4579 20065 14366 13881 15090 21425 15365 7900
"200610_s_at" 12773 12918 16400 11582 15170 17872 12336 6904
"200611_s_at" 4548 16540 7272 6916 12226 16590 13014 8440
"200612_s_at" 1545 13658 22266 710 19504 14924 3860 20680
"200613_at" 4473 11595 7976 12417 14358 17179 4250 16800
"200614_at" 11794 9773 7845 8831 10403 11568 11198 16637
"200615_s_at" 2692 17173 8513 13790 14598 10194 13003 18418
"200616_s_at" 5252 17612 5452 12678 1449 786 4546 16603
"200617_at" 2030 15065 4197 7077 15424 19831 1894 9107
"200618_at" 12593 18439 6267 9151 16691 16476 15031 5524
"200619_at" 11572 19512 17492 7750 2646 16104 11125 18874
"200620_at" 10620 18488 4199 10474 12728 12245 4033 16947
"200621_at" 4081 12836 8273 12036 13069 17220 4498 6501
"200622_x_at" 2187 12865 5055 11179 12547 13461 3253 17968
"200623_s_at" 2816 10793 15915 20594 18253 22191 3215 19393
"200624_s_at" 12535 17777 5727 606 13087 15028 12121 3242
"200625_s_at" 4233 16440 14579 9147 13132 16660 3698 7493
"200626_s_at" 14925 16446 8045 1797 14685 16165 14453 6322
"200627_at" 10878 2657 6065 8872 11267 3545 12028 5246
"200628_s_at" 3844 13503 6854 5492 15395 4327 16549 18216
"200629_at" 12440 16718 17328 8073 18437 17679 12580 10014
"200630_x_at" 10969 9450 14096 14536 1931 1895 11122 8052
"200631_s_at" 11397 15682 8744 10213 11854 13201 11996 19281
"200632_s_at" 14939 21415 5784 10417 4753 17305 16228 3726
"200633_at" 10683 4664 10411 16562 6818 6035 12550 18038
"200634_at" 2942 9562 14395 11722 12457 10811 3482 8890
"200635_s_at" 11685 14347 4104 12316 10573 18542 13974 16558
"200636_s_at" 11165 21335 8687 14081 13385 21255 17377 17740
"200637_s_at" 4527 14965 2155 11266 15148 20908 12277 1603
"200638_s_at" 4736 10560 7073 10771 12221 14055 4630 7947
"200639_s_at" 11151 10960 14738 13927 12786 13653 2985 6986
"200640_at" 11072 11125 14458 11832 14019 13228 4729 6547
"200641_s_at" 2713 2516 2460 5497 15091 4277 4569 10398
"200642_at" 4403 10851 8278 13775 4484 4281 11931 9985
"200643_at" 12575 11490 6275 5947 16544 20376 13228 10390
"200644_at" 12128 12501 18505 10761 16340 20488 16017 7970
"200645_at" 11031 18285 6881 12208 12066 11901 12576 8228
"200646_s_at" 2714 2933 18962 8965 21768 21701 14529 5559
"200647_x_at" 4458 15304 15009 12689 11131 14185 11922 18705
"200648_s_at" 18370 9888 7206 3961 15664 15334 14091 10377
"200649_at" 2345 21956 14442 6347 16976 16971 3348 5513
"200650_s_at" 10813 9158 10308 16449 6681 5890 12089 18728
"200651_at" 6972 4745 15839 12180 11676 3278 12207 10253
"200652_at" 13626 13826 16685 10354 16627 10191 13700 2377
"200653_s_at" 11928 11709 4849 12924 12557 11244 4083 2056
"200654_at" 11132 16170 15176 11457 14671 18127 4952 8142
"200655_s_at" 5124 11157 8468 12849 2069 3311 4503 10214
"200656_s_at" 10696 16222 4896 4152 14330 11495 13292 5165
"200657_at" 13119 8859 15657 14684 3711 2836 11781 16984
"200658_s_at" 3983 11793 4409 5938 4755 2548 12102 7265
"200659_s_at" 11272 13413 4766 12964 16089 17946 15612 16789
"200660_at" 2219 2848 7964 20209 4555 11622 2899 17167
"200661_at" 4999 18877 6448 10294 15623 14716 4916 7049
"200662_s_at" 11049 13852 4861 10176 10509 16856 4111 8207
"200663_at" 13015 13684 14354 13398 4223 4075 4402 4124
"200664_s_at" 21320 12329 6199 10196 16471 11048 19143 20920
"200665_s_at" 7265 4043 13232 19196 2383 10725 10597 16473
"200666_s_at" 21631 18863 16035 13138 18285 20987 19868 17232
"200667_at" 4360 17879 4245 12544 5010 12065 4120 6171
"200668_s_at" 5022 15864 5920 11736 11879 15656 4886 16901
"200669_s_at" 3232 14720 4185 12453 13543 3724 11047 16751
"200670_at" 18849 10131 14718 1520 15794 19705 17703 4843
"200671_s_at" 1991 9843 2276 6363 17041 12202 13148 19487
"200672_x_at" 17421 8937 3568 2277 4574 17996 20954 3309
"200673_at" 10677 12610 17613 10266 11844 3295 11323 5666
"200674_s_at" 4911 2852 8774 21057 3337 3108 4616 18337
"200675_at" 10728 18965 7505 8798 12727 17038 11216 4782
"200676_s_at" 1748 9010 2272 2676 11945 12535 3170 7611
"200677_at" 12371 16413 7196 13630 14955 13774 10790 17885
"200678_x_at" 2362 13133 14785 14613 14314 16805 13127 18668
"200679_x_at" 4330 9459 7704 8656 3266 4312 4953 6395
"200680_x_at" 6991 4767 17309 20268 3462 2903 7298 16596
"200681_at" 5128 14718 8166 13647 12494 13655 4343 8841
"200682_s_at" 4503 14403 4706 6971 10752 2906 12017 8195
"200683_s_at" 2153 17923 1427 9963 3637 11437 1743 18043
"200684_s_at" 11138 18827 3208 9935 10512 13001 4418 5055
"200685_at" 21480 11109 3977 2757 4296 4188 18142 2867
"200686_s_at" 18199 21874 8329 3523 16251 15380 16555 2485
"200687_s_at" 13992 20392 14689 9432 18640 19890 17769 6470
"200688_at" 3485 14544 16203 13008 12073 2965 15490 20137
"200689_x_at" 11014 8659 5806 20207 3000 2915 4433 17583
"200690_at" 12261 14288 14792 12450 15747 17207 13352 19472
"200691_s_at" 4760 14695 7862 9011 11494 12140 11092 8103
"200692_s_at" 13612 10172 6336 5615 15258 12824 13082 9630
"200693_at" 11939 13204 6249 11206 12430 11763 12110 6138
"200694_s_at" 14680 16673 4791 5829 4385 11574 14047 5419
"200695_at" 11130 13051 18490 20223 17273 16620 3273 8932
"200696_s_at" 11744 17906 17038 12364 11273 20778 3913 7288
"200697_at" 12266 21560 3106 14123 13743 20955 12367 3042
"200698_at" 11965 12152 8636 4562 17211 16083 16590 4734
"200699_at" 14107 12489 5779 7076 12087 15732 11425 4185
"200700_s_at" 10845 11577 15248 10912 12163 13772 12166 7402
"200701_at" 3149 12611 6234 10263 11451 12216 13952 17219
"200702_s_at" 4449 13209 1899 9210 1859 1251 12875 5394
"200703_at" 15924 10683 17861 11469 11848 4240 16094 7114
"200704_at" 10758 18030 8293 13291 12556 20194 4678 20592
"200705_s_at" 4335 9355 8589 20482 4992 2878 4061 17088
"200706_s_at" 4036 10816 14656 11551 16688 10009 11215 6412
"200707_at" 3874 20255 14474 10459 18465 14541 2917 17463
"200708_at" 4385 19795 8172 11731 13978 16596 3631 10105
"200709_at" 1960 14940 19246 14061 19139 21728 3943 8571
"200710_at" 1602 20702 5801 9898 15776 16513 4399 18184
"200711_s_at" 4425 11687 14753 6837 12132 16088 11989 4400
"200712_s_at" 3110 12620 3806 4159 13979 11171 4092 19231
"200713_s_at" 13898 18162 4800 14195 10615 12125 13835 16565
"200714_x_at" 14335 19006 17637 9442 18442 20024 13389 7676
"200715_x_at" 4051 10207 6580 14257 3203 10517 3984 19524
"200716_x_at" 6978 4752 10500 16660 4942 4214 4476 17528
"200717_x_at" 6890 4662 10409 16560 6816 6033 7158 12599
"200718_s_at" 12175 9297 15974 14434 4491 10003 11404 9983
"200719_at" 4474 15403 5950 9395 13931 15213 13470 3354
"200720_s_at" 12853 15012 7372 8931 12039 12867 15432 7699
"200721_s_at" 16581 18651 5850 10443 16122 20597 18081 16926
"200722_s_at" 17824 16118 1773 4540 14572 2077 14135 18808
"200723_s_at" 14869 13916 4370 7342 15813 13849 14202 9159
"200724_at" 5165 15781 16736 2976 2094 10805 12990 3311
"200725_x_at" 11166 2320 15524 20798 3055 3628 4164 20165
"200726_at" 18820 18388 17145 10187 15450 12448 18877 6782
"200727_s_at" 12597 13352 8287 11475 239 3976 12572 6133
"200728_at" 14873 10519 8194 6943 10603 2041 12492 3632
"200729_s_at" 15077 15021 8065 5355 13457 10783 15039 6309
"200730_s_at" 11704 11251 1318 1998 19925 18530 11349 6041
"200731_s_at" 17738 9679 5634 1790 20062 18109 19330 2286
"200732_s_at" 19414 10265 17216 8554 15138 15311 19966 5005
"200733_s_at" 17346 13920 18736 5150 16141 3354 12438 3456
"200734_s_at" 2008 17683 6414 21321 13795 14960 3635 16833
"200735_x_at" 6939 4712 10461 16619 3524 3563 7237 12686
"200736_s_at" 9076 3117 16379 13795 3794 11689 8729 10686
"200737_at" 11952 14950 15290 4291 11157 3457 13051 5557
"200738_s_at" 3920 11260 15331 14752 11352 11364 4915 10357
"200739_s_at" 2513 9190 4836 14759 17245 16440 4397 18366
"200740_s_at" 11069 13557 14105 14096 12005 12498 12444 8712
"200741_s_at" 6814 4569 10339 16483 6719 5927 7060 12471
"200742_s_at" 1928 11798 16648 21027 15660 17231 4621 17393
"200743_s_at" 12285 14514 14743 10106 18239 18175 15428 4130
"200744_s_at" 3929 17128 3121 9232 11426 11711 4840 19579
"200745_s_at" 11456 12864 6115 9598 3781 11257 12964 7506
"200746_s_at" 11808 16294 14230 4052 15425 16718 12275 6057
"200747_s_at" 16879 19884 18632 11785 18114 20506 18743 20218
"200748_s_at" 3864 2353 10512 16671 4375 3677 3809 9269
"200749_at" 11480 17998 17876 9129 15171 16202 14840 6589
"200750_s_at" 6870 8808 14999 16539 4451 11381 4938 17197
"200751_s_at" 4969 2918 8304 1861 13729 1683 13996 6585
"200752_s_at" 4428 12378 3826 20164 13624 18947 3882 18484
"200753_x_at" 16364 16134 7352 7892 17887 13332 17624 19013
"200754_x_at" 16177 14480 15933 11879 15169 16791 16502 18927
"200755_s_at" 5056 12910 3238 6889 13654 15203 13195 7592
"200756_x_at" 637 10442 4846 4312 15464 18633 11495 20537
"200757_s_at" 10693 14278 5704 7997 14509 13443 3740 6173
"200758_s_at" 16935 15166 4420 5158 15490 15491 15006 5684
"200759_x_at" 17084 19185 8759 13312 18013 21055 11599 2311
"200760_s_at" 2167 14412 3590 9315 2189 3797 2122 9845
"200761_s_at" 3060 17499 2663 2490 3089 10079 3501 9527
"200762_at" 17553 18524 17290 9104 17705 13007 20604 17299
"200763_s_at" 6949 4721 10470 20380 6890 6119 7253 17734
"200764_s_at" 2997 15579 916 11253 5722 6578 4698 7397
"200765_x_at" 10780 15724 10970 18058 6053 3473 4824 8087
"200766_at" 4578 15228 16140 10914 17631 13894 4846 5034
"200767_s_at" 11602 20710 4792 9052 3521 13586 13302 7514
"200768_s_at" 21277 14296 14831 3008 11919 17337 19956 2955
"200769_s_at" 18919 9376 15927 7486 17642 3357 20106 10330
"200770_s_at" 2140 18477 7125 8673 16588 21142 11065 7271
