"inst_578" "inst_624"
"200699_at" 16156 17959
"200700_s_at" 18531 19278
"200701_at" 17456 15959
"200702_s_at" 4258 2517
"200703_at" 18717 20373
"200704_at" 1378 15517
"200705_s_at" 20572 17298
"200706_s_at" 7358 20866
"200707_at" 15886 747
"200708_at" 21148 20493
"200709_at" 16956 17932
"200710_at" 19336 21920
"200711_s_at" 19201 1062
"200712_s_at" 1590 1409
"200713_s_at" 16921 15571
"200714_x_at" 20184 14881
"200715_x_at" 20847 19897
"200716_x_at" 3601 1867
"200717_x_at" 17668 14074
"200718_s_at" 22095 14870
"200719_at" 21964 16218
"200720_s_at" 17438 18330
"200721_s_at" 19233 17938
"200722_s_at" 18194 20073
"200723_s_at" 18659 18570
"200724_at" 18679 6708
"200725_x_at" 16671 16105
"200726_at" 4095 20932
"200727_s_at" 18277 18233
"200728_at" 18343 2078
"200729_s_at" 20506 21704
"200730_s_at" 2791 18103
"200731_s_at" 1402 21580
"200732_s_at" 19246 17151
"200733_s_at" 21265 141
"200734_s_at" 3877 2191
"200735_x_at" 18714 14095
"200736_s_at" 20968 3814
"200737_at" 16995 19194
"200738_s_at" 15516 15619
"200739_s_at" 16141 18980
"200740_s_at" 19691 19910
"200741_s_at" 18973 16021
"200742_s_at" 3799 15301
"200743_s_at" 1986 14908
"200744_s_at" 4236 15305
"200745_s_at" 16678 19109
"200746_s_at" 19105 19502
"200747_s_at" 19457 14365
"200748_s_at" 19491 17646
"200749_at" 4551 20042
"200750_s_at" 16148 15432
"200751_s_at" 20193 19626
"200752_s_at" 171 14941
"200753_x_at" 3640 21862
"200754_x_at" 17243 17337
"200755_s_at" 18619 16999
"200756_x_at" 3680 2128
"200757_s_at" 16112 18133
"200758_s_at" 783 15857
"200759_x_at" 19721 15107
"200760_s_at" 22145 19547
"200761_s_at" 18271 20850
"200762_at" 18153 1234
"200763_s_at" 16776 1132
"200764_s_at" 12011 14854
"200765_x_at" 8957 1750
"200766_at" 4241 2685
"200767_s_at" 4614 14617
"200768_s_at" 17604 19396
"200769_s_at" 3451 21051
"200770_s_at" 1852 19815
"200771_at" 4367 16956
"200772_x_at" 15480 2025
"200773_x_at" 16881 15801
"200774_at" 21685 20329
"200775_s_at" 18586 14903
"200776_s_at" 22153 19266
"200777_s_at" 20161 15113
"200778_s_at" 21296 16677
"200779_at" 18281 14630
"200780_x_at" 3873 17129
"200781_s_at" 15325 1484
"200782_at" 19315 16835
"200783_s_at" 20797 147
"200784_s_at" 15909 4002
"200785_s_at" 1020 6414
"200786_at" 20978 14366
"200787_s_at" 3085 20060
"200788_s_at" 15467 21973
"200789_at" 18037 20425
"200790_at" 4371 16023
"200791_s_at" 22277 20460
"200792_at" 17757 15538
"200793_s_at" 17851 22216
"200794_x_at" 4629 16927
"200795_at" 11975 12654
"200796_s_at" 2596 18295
"200797_s_at" 16936 14628
"200798_x_at" 21452 20451
"200799_at" 18390 19670
"200800_s_at" 19902 16518
"200801_x_at" 17002 17919
"200802_at" 18718 15667
"200803_s_at" 4430 18763
"200804_at" 19812 20205
"200805_at" 4280 19483
"200806_s_at" 16786 19906
"200807_s_at" 4189 16151
"200808_s_at" 1123 19609
"200809_x_at" 15549 2721
"200810_s_at" 21838 16057
"200811_at" 16325 20272
"200812_at" 1050 16331
"200813_s_at" 835 19781
"200814_at" 17353 2476
"200815_s_at" 1893 18635
"200816_s_at" 18071 19520
"200817_x_at" 2869 18875
"200818_at" 19203 15065
"200819_s_at" 17663 1847
"200820_at" 1723 2121
"200821_at" 21675 22274
"200822_x_at" 18559 18130
"200823_x_at" 4426 2582
"200824_at" 15322 1640
"200825_s_at" 20595 19775
"200826_at" 18703 15254
"200827_at" 16069 187
"200828_s_at" 4099 16623
