"inst_2168" "inst_3747" "inst_3828" "inst_3923" "inst_4303" "inst_6023"
"200594_x_at" 15063 9980 6969 16341 15763 12596
"200595_s_at" 15360 13291 21057 20038 18710 13115
"200596_s_at" 16799 16744 5346 18754 13368 15961
"200597_at" 16354 11020 1472 3635 19837 3434
"200598_s_at" 16628 14506 3783 4479 20692 14268
"200599_s_at" 20950 16126 17821 19344 16717 17913
"200600_at" 3576 16606 13114 7175 3053 1476
"200601_at" 899 18685 14443 18504 3733 981
"200602_at" 16923 17588 4307 17496 13059 3660
"200603_at" 15730 11490 16143 11814 15274 4054
"200604_s_at" 18577 19027 4859 15553 17032 5573
"200605_s_at" 16285 11452 2235 17085 11825 2600
"200606_at" 3721 9004 3147 3992 4216 2124
"200607_s_at" 16166 19613 2616 3824 19628 4861
"200608_s_at" 16299 3422 15643 13425 17006 12918
"200609_s_at" 19618 14643 3842 3160 11959 16227
"200610_s_at" 4261 3472 18100 14587 12880 2511
"200611_s_at" 14421 17487 17892 13816 12140 12351
"200612_s_at" 14848 11686 102 22073 14030 2712
"200613_at" 5781 12935 7154 17435 4198 5036
"200614_at" 15565 11386 17562 14543 14222 15474
"200615_s_at" 5872 16991 18192 14250 11850 15613
"200616_s_at" 16906 19925 2472 12525 21623 5924
"200617_at" 16895 17468 6419 19390 4091 13526
"200618_at" 5993 14049 4319 17967 11148 17051
"200619_at" 17809 18969 20637 12453 11205 16405
"200620_at" 5941 11428 18442 13698 4194 18565
"200621_at" 13621 17870 15654 17945 13467 14322
"200622_x_at" 3104 17928 14206 16600 2908 14167
"200623_s_at" 18053 9794 14270 20254 108 18598
"200624_s_at" 4887 15963 5859 19220 14271 4025
"200625_s_at" 18867 9942 21764 19097 11180 16261
"200626_s_at" 20356 13806 16731 20780 17888 4450
"200627_at" 16557 10221 6437 15090 2962 4662
"200628_s_at" 20424 20573 4505 18403 10726 13457
"200629_at" 19046 11200 19507 2938 4790 15252
"200630_x_at" 14945 2393 4064 5577 15992 4433
"200631_s_at" 12779 10752 17529 13501 12235 11985
"200632_s_at" 16896 16097 18905 4770 12861 1081
"200633_at" 6116 4968 10177 7743 11046 7913
"200634_at" 4122 12826 17487 18894 4937 12580
"200635_s_at" 13265 14200 903 18668 18105 18010
"200636_s_at" 11257 9049 15438 19525 14561 21011
"200637_s_at" 6785 19194 946 15104 15235 20398
"200638_s_at" 17011 11585 14389 13874 3233 3332
"200639_s_at" 2393 2427 7627 4048 2613 12870
"200640_at" 15573 11914 16027 16958 3213 4801
"200641_s_at" 18308 12729 3625 12012 2101 6014
"200642_at" 5976 8786 15166 4832 4464 12112
"200643_at" 2418 21174 19474 20798 2041 1774
"200644_at" 16569 13736 5870 17302 2406 13910
"200645_at" 16722 11930 14982 14170 14893 12687
"200646_s_at" 16387 22058 19812 22057 128 21507
"200647_x_at" 14791 8975 16978 11285 11145 14428
"200648_s_at" 1039 18053 6124 20580 2315 15206
"200649_at" 4508 20540 20439 21984 474 20432
"200650_s_at" 8392 4854 14694 7600 6607 13285
"200651_at" 8096 9828 7610 11851 12087 6137
"200652_at" 4952 14546 14866 18067 18666 4948
"200653_s_at" 17074 10471 15223 13209 4432 2588
"200654_at" 15793 12453 6425 16822 4733 5619
"200655_s_at" 17280 2414 19794 13454 16476 3844
"200656_s_at" 14740 20936 5116 14412 12802 13734
"200657_at" 14159 2994 7315 4620 12695 5013
"200658_s_at" 17295 18560 16920 13615 16987 13663
"200659_s_at" 2058 16990 7119 17837 11725 15315
"200660_at" 20411 3224 6953 13614 2722 4933
"200661_at" 17106 15968 18233 17581 4656 18947
"200662_s_at" 20544 14317 16825 14914 19425 15801
"200663_at" 13297 2120 3158 13066 11935 2732
"200664_s_at" 18986 18035 1481 3318 2867 14159
"200665_s_at" 8485 4805 13757 11319 20090 8947
"200666_s_at" 14030 10901 7217 5611 11999 6313
"200667_at" 6011 14416 4661 3567 11433 15078
"200668_s_at" 16402 13115 7222 14343 11661 12617
"200669_s_at" 13462 13370 5338 4250 11694 13143
"200670_at" 14706 11710 15248 11186 16181 2540
"200671_s_at" 12454 21916 979 22199 20061 1771
"200672_x_at" 19983 19156 2367 21434 20262 1798
"200673_at" 17317 3451 4955 16187 17049 4760
"200674_s_at" 8119 5024 15023 7819 3885 7966
"200675_at" 4480 17273 15992 20144 12383 4147
"200676_s_at" 18133 18657 19636 20877 4423 19185
"200677_at" 18880 9251 6734 5446 11731 12119
"200678_x_at" 17461 16754 16165 15517 4887 20666
"200679_x_at" 13108 12419 5695 14469 15517 4547
"200680_x_at" 14530 5061 7813 7866 13512 8016
"200681_at" 16474 9166 15036 12331 2596 13451
"200682_s_at" 16616 14456 6322 13140 17025 14011
"200683_s_at" 13708 17105 18238 20864 15265 14393
"200684_s_at" 5118 17384 7723 15106 13483 3666
"200685_at" 18547 20555 21451 14501 18819 21998
"200686_s_at" 5569 9262 15806 2683 18206 2104
"200687_s_at" 13804 17755 7925 18518 3745 17763
"200688_at" 19403 9793 19810 2852 12514 5350
"200689_x_at" 13998 8799 7392 4780 11715 5569
"200690_at" 18164 9053 20073 13053 19827 20655
"200691_s_at" 17244 12411 14461 13150 16336 12326
"200692_s_at" 20256 16524 8031 13229 19295 4138
"200693_at" 15246 9944 7228 5692 4348 2663
"200694_s_at" 17507 13528 15698 16689 20032 15336
"200695_at" 21017 21646 15565 11601 1001 18019
"200696_s_at" 1363 15247 20024 19998 10777 19641
"200697_at" 1519 16865 5306 1602 1663 16522
"200698_at" 12778 11903 14903 16505 14204 4535
"200699_at" 4350 17838 19400 19221 13890 20461
"200700_s_at" 16816 3395 16218 11195 10829 12534
"200701_at" 5848 15229 8036 14583 12117 18117
"200702_s_at" 4227 20120 2421 2435 21021 13474
"200703_at" 19157 3483 16717 16523 17615 4469
"200704_at" 13157 10683 19612 19117 3161 17546
"200705_s_at" 8436 2638 16988 3856 13471 12153
"200706_s_at" 13200 11545 5504 16137 17547 4589
"200707_at" 16691 16337 18373 21483 1556 14664
"200708_at" 3143 13376 16270 11108 5064 14886
"200709_at" 18385 9707 19355 21357 3410 4187
"200710_at" 14095 20733 15421 12801 4818 15243
"200711_s_at" 15550 12252 17230 12990 14614 15346
"200712_s_at" 16036 13468 3860 13730 11251 3389
