"inst_2752" "inst_6249"
"1007_s_at" 18983 16903
"1053_at" 18067 19500
"117_at" 4645 8288
"121_at" 2333 19445
"1255_g_at" 4692 7860
"1294_at" 2115 17968
"1316_at" 20362 19340
"1320_at" 8310 11893
"1405_i_at" 5942 9758
"1431_at" 4274 1079
"1438_at" 17832 12872
"1487_at" 20258 21292
"1494_f_at" 12264 3292
"1598_g_at" 14819 1495
"160020_at" 17602 3201
"1729_at" 20398 16662
"1773_at" 17800 3269
"177_at" 9113 1660
"179_at" 12246 21544
"1861_at" 19439 15695
"200000_s_at" 21434 14213
"200001_at" 17420 17464
"200002_at" 10251 14411
"200003_s_at" 1973 14665
"200004_at" 11258 18123
"200005_at" 14495 18405
"200006_at" 15031 15785
"200007_at" 1766 18703
"200008_s_at" 13200 14935
"200009_at" 11796 16013
"200010_at" 2340 16544
"200011_s_at" 12918 19831
"200012_x_at" 1702 2185
"200013_at" 12322 14231
"200014_s_at" 15899 18756
"200015_s_at" 13465 19648
"200016_x_at" 1654 13039
"200017_at" 14309 13565
"200018_at" 2374 14619
"200019_s_at" 12439 18016
"200020_at" 16056 17327
"200021_at" 1660 7255
"200022_at" 1800 14084
"200023_s_at" 19285 15808
"200024_at" 12689 15113
"200025_s_at" 1877 14408
"200026_at" 12143 12792
"200027_at" 16651 18938
"200028_s_at" 14565 14331
"200029_at" 11234 3518
"200030_s_at" 10255 14439
"200031_s_at" 4987 13598
"200032_s_at" 5024 3998
"200033_at" 12342 15365
"200034_s_at" 1991 13019
"200035_at" 2380 20510
"200036_s_at" 10290 14124
"200037_s_at" 12303 17268
"200038_s_at" 10224 13144
"200039_s_at" 16969 18831
"200040_at" 13642 16671
"200041_s_at" 21251 15193
"200042_at" 14575 20033
"200043_at" 12074 13674
"200044_at" 14567 15709
"200045_at" 18041 15090
"200046_at" 15634 20785
"200047_s_at" 16863 18041
"200048_s_at" 12613 14607
"200049_at" 16381 12975
"200050_at" 10013 18270
"200051_at" 18104 13070
"200052_s_at" 13997 19039
"200053_at" 18178 20480
"200054_at" 16666 2817
"200055_at" 19934 16169
"200056_s_at" 19665 18735
"200057_s_at" 12229 13385
"200058_s_at" 16558 18082
"200059_s_at" 13451 16464
"200060_s_at" 14899 15166
"200061_s_at" 4986 2891
"200062_s_at" 4847 6909
