"inst_266" "inst_606" "inst_1411" "inst_2095" "inst_2258" "inst_5990" "inst_7288"
"1007_s_at" 13874 15949 2804 11944 15775 12378 14369
"1053_at" 3741 15862 1520 13690 5609 14820 18021
"117_at" 14685 1175 18533 3274 5383 9472 11765
"121_at" 16316 14912 18517 14038 17906 21785 1186
"1255_g_at" 20508 2358 12597 5869 8263 10642 6548
"1294_at" 18522 4130 2937 589 18090 21471 5471
"1316_at" 21388 14974 1268 1008 20828 18521 17080
"1320_at" 19651 7205 14143 10563 244 363 11368
"1405_i_at" 9741 13638 1815 6006 7210 4083 11588
"1431_at" 19310 18026 9521 13294 21822 525 5394
"1438_at" 13704 19445 10337 13806 21512 19814 19424
"1487_at" 4674 6082 4429 11817 5313 18975 17186
"1494_f_at" 14322 2682 22112 13227 22009 21448 9294
"1598_g_at" 5163 3868 3268 13279 16548 13265 22172
"160020_at" 18182 19202 20962 13699 5334 394 21412
"1729_at" 4224 2841 21890 15677 14196 19538 15829
"1773_at" 5940 22188 21623 22004 3819 1533 19831
"177_at" 13201 20713 318 8600 1980 8857 8720
"179_at" 16205 15512 17808 20640 17164 20735 21404
"1861_at" 14935 17255 18739 18325 21233 2212 19318
"200000_s_at" 882 18364 1737 17828 2855 19490 12921
"200001_at" 17497 8749 2644 15407 5251 12795 15002
"200002_at" 5112 8235 15541 13192 15065 12849 3816
"200003_s_at" 14920 15348 16954 11973 7538 14778 13178
"200004_at" 5730 8990 18103 11043 12936 5565 13476
"200005_at" 6730 16339 4130 13827 14333 12728 13654
"200006_at" 16102 16634 16246 10911 14527 16435 14698
"200007_at" 18791 6969 3079 12961 18414 13556 3490
"200008_s_at" 5402 14852 20943 21602 4008 14534 3234
"200009_at" 3901 6067 16340 10856 5018 5170 14469
"200010_at" 15429 21047 18954 13522 5472 13459 3491
"200011_s_at" 18541 5682 3239 12234 3520 13561 16694
"200012_x_at" 7750 6769 2975 2062 4828 3553 13298
"200013_at" 7762 17276 16369 2236 14375 13660 12195
"200014_s_at" 4652 15246 16397 13034 14209 16822 21263
"200015_s_at" 5274 18787 3347 16311 13865 17229 14805
"200016_x_at" 4619 19935 5017 10913 12072 5067 13574
"200017_at" 16947 17490 2894 1852 7620 15381 2531
"200018_at" 17276 6890 3179 2155 7491 4311 12209
"200019_s_at" 13076 20096 3231 2086 13851 12518 13031
"200020_at" 15020 14838 21348 12811 4385 4856 13295
"200021_at" 13761 4380 4184 793 7422 7726 17194
"200022_at" 13552 14676 4938 2270 7346 12548 2908
"200023_s_at" 4197 17117 16241 11397 19838 16716 3620
"200024_at" 5058 18243 4492 10934 5280 12857 12333
"200025_s_at" 15074 9281 15689 1498 13273 14130 3828
"200026_at" 21619 5463 1431 1426 7370 3937 3889
"200027_at" 4068 7543 2765 11562 17515 15492 14222
"200028_s_at" 3650 18502 4609 12533 14655 12694 15382
"200029_at" 13428 14962 2492 11084 15731 16016 3756
"200030_s_at" 13391 15563 15840 2024 5127 5658 3011
"200031_s_at" 6531 17347 4773 11017 7607 7651 12831
"200032_s_at" 8078 16394 15295 11008 7339 12414 3453
"200033_at" 13089 4319 15809 12632 13754 14027 12115
"200034_s_at" 13060 6873 18996 2063 13233 13190 3597
"200035_at" 14382 19149 3015 18672 15520 3495 21051
"200036_s_at" 6868 8883 2570 11538 16257 12753 14376
"200037_s_at" 15382 14727 17412 13727 14424 4444 16493
"200038_s_at" 16329 9113 2474 10705 13301 12940 12448
"200039_s_at" 18251 15011 15980 13130 11869 12221 2661
"200040_at" 14103 16742 20877 14139 5628 14249 15719
"200041_s_at" 4156 5522 17825 16259 21037 17527 14823
"200042_at" 6970 5541 1043 18769 12797 4820 14378
"200043_at" 17107 8763 4120 18747 16882 15422 13191
"200044_at" 16266 18359 16031 14604 13801 12495 14168
"200045_at" 3500 7686 15988 12354 3585 18598 16847
"200046_at" 18246 9120 18665 15369 18480 16953 13241
"200047_s_at" 17364 5505 17900 12740 15421 12891 12586
"200048_s_at" 13910 18630 16396 14457 16688 13407 3018
"200049_at" 19849 1326 2747 12913 15095 19615 14016
"200050_at" 5543 3602 17863 11577 13757 18250 14950
"200051_at" 6604 5006 16256 13028 13785 3961 17064
"200052_s_at" 4164 9135 17516 16158 4971 16521 12390
"200053_at" 16694 4064 18679 10660 17257 5543 17392
"200054_at" 7140 5838 4253 12576 16387 3641 15872
"200055_at" 18229 5646 3808 15130 18237 16427 15116
"200056_s_at" 19923 21766 15426 15939 18642 19330 17014
"200057_s_at" 6523 8316 2843 11126 20382 13657 12345
"200058_s_at" 1418 7649 15439 16052 13991 19092 16151
"200059_s_at" 6213 15096 4636 13401 16813 16838 3095
"200060_s_at" 14535 7330 18692 16505 12046 20370 17322
"200061_s_at" 14533 15697 15613 1538 7492 7650 3580
"200062_s_at" 17341 8605 4073 1602 7592 7574 12334
"200063_s_at" 15283 5123 17381 11364 7366 13964 1208
"200064_at" 15309 14702 19387 1224 4399 14366 3212
"200065_s_at" 13751 8770 19262 11132 3710 5803 3861
"200066_at" 3792 4275 20583 21103 18494 3461 20147
"200067_x_at" 15102 7620 4050 13675 12059 16432 12255
"200068_s_at" 4902 16316 20487 10722 18182 14754 15371
"200069_at" 3401 21106 4018 19585 21042 18928 15733
"200070_at" 16635 7026 1174 17823 15209 5255 20442
"200071_at" 13603 15871 21244 11985 18148 18762 12805
"200072_s_at" 2083 18943 18922 13129 15361 5164 15835
"200073_s_at" 4959 17881 15471 13894 4871 17595 18897
"200074_s_at" 17394 16707 16550 14959 5567 14003 13004
"200075_s_at" 7819 7616 4535 16113 14451 16027 16475
"200076_s_at" 1979 7472 3884 14862 14706 14888 12458
"200077_s_at" 8012 18503 3964 1873 13260 14185 13535
"200078_s_at" 13368 17958 15248 16683 13084 12457 16324
"200079_s_at" 5548 7604 16774 16984 2502 12974 14766
"200080_s_at" 18443 8128 18707 1733 5500 14380 12525
"200081_s_at" 14306 18629 17764 10500 15219 5341 13757
"200082_s_at" 17910 15042 17234 11828 14563 4849 3578
"200083_at" 4942 7607 2433 12342 14664 13435 12284
"200084_at" 5707 14797 15529 17377 15188 17336 3563
"200085_s_at" 7546 18698 3185 12529 13539 15361 17391
"200086_s_at" 16600 18235 16254 10594 17435 18194 13872
"200087_s_at" 16540 2831 15982 12987 14745 12331 16720
"200088_x_at" 14585 8143 4601 10606 7496 7582 3319
"200089_s_at" 12918 6737 4947 12097 13930 14397 3753
"200090_at" 4642 15197 19242 11678 15174 16939 18992
"200091_s_at" 17666 19216 16250 11181 14987 13576 15635
"200092_s_at" 18431 7759 16166 11185 13942 19316 914
"200093_s_at" 14089 19779 3064 12641 20509 16464 15340
"200094_s_at" 7384 7303 3834 11624 3343 16075 3193
"200095_x_at" 4364 5108 16311 1966 7516 7719 13161
"200096_s_at" 16649 17439 18046 16863 20583 20064 18108
"200097_s_at" 19313 3708 15319 10519 2977 4165 3195
"200098_s_at" 2577 17226 16372 13541 16022 14769 13549
"200099_s_at" 15816 16473 4687 11440 7535 7686 20194
"200593_s_at" 5381 15186 16949 16978 5367 16525 19386
"200594_x_at" 7506 20704 15779 12114 2940 4817 16453
"200595_s_at" 5485 16359 19276 19690 18648 12842 18388
"200596_s_at" 4198 2199 19239 16541 2486 15759 18053
"200597_at" 3210 2127 20508 20436 14265 16275 21971
"200598_s_at" 5281 20650 20196 17017 19544 14696 13738
"200599_s_at" 7246 6568 19390 10538 1545 3073 14274
"200600_at" 11155 10344 3969 12801 8570 12195 13675
"200601_at" 20712 322 18006 17363 21846 21584 15292
"200602_at" 4716 22040 1760 14613 2294 5058 2848
"200603_at" 13891 4063 17281 12815 16064 16377 16158
"200604_s_at" 1525 6697 21039 21668 14546 3547 14248
"200605_s_at" 5645 16528 19812 19235 17589 3941 13753
"200606_at" 4865 15115 5407 15010 20241 5068 13019
"200607_s_at" 6676 6142 21802 18328 16745 15941 18631
"200608_s_at" 16500 20216 18990 12451 15899 17109 14518
"200609_s_at" 6234 18833 18413 16932 12407 14672 16098
"200610_s_at" 16626 7814 4185 15571 12133 18874 19510
"200611_s_at" 1951 18958 15918 13459 5118 16378 17903
"200612_s_at" 6070 9225 21196 15868 3901 18903 21473
"200613_at" 2497 17164 4391 14353 12733 13449 13714
"200614_at" 2139 14940 4162 12565 4726 4080 13599
"200615_s_at" 2806 5337 1415 16959 18606 5665 2867
"200616_s_at" 13142 5008 17531 17067 17166 3455 2206
"200617_at" 938 16424 3926 13629 17898 16311 17607
"200618_at" 14948 7985 4167 12714 4033 18523 12353
"200619_at" 1111 14670 1777 12057 19368 15886 15173
"200620_at" 17636 17813 16199 12313 20104 14073 12606
"200621_at" 4718 6426 4425 15527 20224 4425 14009
"200622_x_at" 4777 8551 16520 14913 3260 18266 13126
"200623_s_at" 20242 6974 514 13317 19093 2696 18509
"200624_s_at" 1311 9086 21494 19977 12798 12381 12415
"200625_s_at" 17505 5631 15972 12224 3965 12846 16187
"200626_s_at" 1450 19589 17020 13334 12067 4609 16067
"200627_at" 14658 6378 17978 12912 5281 12433 12595
"200628_s_at" 14372 8137 17732 21039 21776 16523 19680
"200629_at" 1470 8012 20648 14283 17149 13376 19380
"200630_x_at" 21568 5235 2110 1134 12636 13288 13022
"200631_s_at" 4516 17341 17270 15066 12113 12287 2424
"200632_s_at" 13443 8506 3747 10839 5652 21989 14132
"200633_at" 15676 5918 3071 1383 7576 13651 2590
"200634_at" 5606 19494 16197 14831 13806 3387 14475
"200635_s_at" 2417 992 11417 20459 16099 5391 16615
"200636_s_at" 5902 16926 7075 17693 13038 20059 17362
"200637_s_at" 15188 17611 12181 1837 4806 4438 15648
"200638_s_at" 5202 8342 19984 12726 15101 12887 3882
"200639_s_at" 15404 2140 4622 14021 13788 16482 12887
"200640_at" 5815 8422 17829 10939 14836 15265 3864
"200641_s_at" 4728 19101 21069 21267 16397 4743 1798
"200642_at" 15149 15860 15368 11600 13950 12714 12047
"200643_at" 667 7996 3972 16914 18445 19501 16298
"200644_at" 16116 8472 2549 11821 13196 12954 19112
"200645_at" 18295 7269 3445 13660 3385 12257 14208
"200646_s_at" 17610 15511 362 10963 4298 2358 20818
"200647_x_at" 622 16135 18015 15262 4456 19667 1414
"200648_s_at" 2259 7221 19710 20488 16642 2728 21804
"200649_at" 15271 7380 16802 14010 4137 12408 15973
"200650_s_at" 13652 15875 4257 1482 4606 3812 2636
"200651_at" 6633 20455 15741 10781 11879 13137 15713
"200652_at" 5091 7781 15757 19290 14900 16509 14813
"200653_s_at" 15587 5216 17034 16048 2849 5168 16703
"200654_at" 3372 16292 16149 11443 5259 14150 12473
"200655_s_at" 3890 15636 17134 11171 18039 15046 14170
"200656_s_at" 4358 4379 2669 16667 2065 14060 16838
"200657_at" 13731 4351 3516 1164 5667 12610 2603
"200658_s_at" 13168 15653 20927 15603 11791 13899 14683
"200659_s_at" 6974 6381 2454 20003 12640 18405 3719
"200660_at" 20589 14885 403 12212 5024 15840 13331
"200661_at" 3418 15948 19681 15876 5005 5604 16292
"200662_s_at" 822 19393 3588 13816 19372 16533 15137
"200663_at" 19336 15134 2341 2129 18611 17095 12048
"200664_s_at" 3936 6849 3336 18438 14948 16312 2146
"200665_s_at" 12796 11803 11770 3781 10009 5229 473
"200666_s_at" 3470 7406 15631 14785 12738 14491 14337
"200667_at" 2118 18269 3897 12258 3395 18934 2497
"200668_s_at" 15805 17102 4675 14535 12638 5329 15398
"200669_s_at" 18850 9266 20994 18390 4758 13601 17931
"200670_at" 562 19847 15758 17057 13431 18163 14772
"200671_s_at" 407 552 8720 21450 22125 625 21046
"200672_x_at" 13945 3910 15179 14140 1817 14322 14811
"200673_at" 5144 5632 18776 10954 12939 17825 12356
"200674_s_at" 13361 19683 4375 10855 7649 5419 12257
"200675_at" 5648 7955 3624 12732 16235 5116 16691
"200676_s_at" 14524 18623 5029 16397 4213 20844 21633
"200677_at" 2989 16152 4742 2154 14580 15258 2802
"200678_x_at" 1702 7103 2543 11897 13684 4338 16446
"200679_x_at" 5503 15973 21320 19837 15919 16405 19852
"200680_x_at" 7301 19122 17555 12024 7585 5408 16527
"200681_at" 7645 17613 3041 12302 5173 13207 2683
"200682_s_at" 13967 5429 20541 15389 3248 12807 16800
"200683_s_at" 1055 3337 2803 19013 3328 5809 13239
"200684_s_at" 13736 7311 2057 14319 2311 15113 19458
"200685_at" 6778 14689 982 20232 2689 21754 21341
"200686_s_at" 16023 14693 19188 16869 1776 17494 16090
"200687_s_at" 1973 17200 16006 15013 5092 14293 15229
"200688_at" 7688 7945 21713 1404 14258 21790 7280
"200689_x_at" 6502 16673 4961 12507 4941 5489 12145
"200690_at" 7107 18161 2895 20243 18563 17508 15909
"200691_s_at" 14185 14908 19646 13584 18387 4095 14134
"200692_s_at" 3102 17196 16715 20011 14110 17439 12910
"200693_at" 13369 5464 17906 12438 12349 15231 3911
"200694_s_at" 6133 17429 18608 15168 13209 14604 15706
"200695_at" 7805 15478 19496 17098 21379 18724 18164
"200696_s_at" 18814 4262 16938 21413 4442 2755 3862
"200697_at" 13729 14749 3311 15215 11922 18156 16860
"200698_at" 17663 7372 21038 16027 3105 20773 14029
"200699_at" 14422 5518 17494 11741 15536 16889 18554
"200700_s_at" 6378 8151 15908 16646 15262 14000 16773
"200701_at" 18405 7019 16129 14700 12364 15968 14260
"200702_s_at" 3923 396 17666 13553 16704 13292 15964
"200703_at" 20805 8429 3690 10545 14466 16581 14169
"200704_at" 2974 15853 18119 12469 13462 17654 1493
"200705_s_at" 16124 5035 15428 14250 4914 13718 3632
"200706_s_at" 17959 19316 19143 20353 1956 18215 21346
"200707_at" 4261 4528 2652 17865 17112 13252 17939
"200708_at" 2111 9023 912 13153 13103 3138 13848
"200709_at" 13890 9033 21096 11002 15199 4741 2602
"200710_at" 19383 8609 21280 15500 3005 1788 20460
"200711_s_at" 4023 9273 16280 13967 15481 18634 18847
"200712_s_at" 2621 16906 17557 21663 12422 19825 2148
"200713_s_at" 2908 7793 18372 10608 5546 14174 13794
"200714_x_at" 12904 14551 20616 11327 3181 16986 15997
"200715_x_at" 4414 19553 4786 11090 3958 17099 12673
"200716_x_at" 7967 17319 4340 1885 7664 4911 3565
"200717_x_at" 13498 15038 4619 1624 7505 7647 3750
"200718_s_at" 17244 16262 1589 2193 14699 13671 13162
"200719_at" 17757 20748 17282 12993 12509 18353 18745
"200720_s_at" 1382 7722 2422 14797 12457 3090 13936
"200721_s_at" 5506 8635 18193 13625 3024 20337 14405
"200722_s_at" 4819 4192 21576 22199 20985 18394 15845
"200723_s_at" 904 5497 19881 18518 4139 13661 12319
"200724_at" 17272 4888 12709 10566 16676 18960 435
"200725_x_at" 13377 8096 4987 10770 5364 5368 2932
"200726_at" 575 21708 15501 15109 12151 15519 14752
"200727_s_at" 15530 6988 22181 20880 21491 16337 2439
"200728_at" 2689 6507 19209 19078 17994 18528 2684
"200729_s_at" 15827 5600 17872 16995 14011 18189 12155
"200730_s_at" 13422 7697 22210 22053 14337 14096 15338
"200731_s_at" 13504 15349 22147 16094 15363 12713 13038
"200732_s_at" 6644 3141 18842 12786 5278 13598 16430
"200733_s_at" 14329 15741 22214 14019 16684 19861 13812
"200734_s_at" 15351 14721 17106 16997 16913 16131 16575
"200735_x_at" 13086 7968 4678 11032 7518 14821 3270
"200736_s_at" 11345 10337 992 11760 8630 6882 3126
"200737_at" 3008 19093 19024 18493 15469 18369 16672
"200738_s_at" 4833 19989 15638 2147 13611 15830 13068
"200739_s_at" 1912 6414 4438 17875 14847 3506 2964
"200740_s_at" 5929 18634 18424 11521 11992 12305 3808
"200741_s_at" 18296 7589 1911 1469 7429 7575 2656
"200742_s_at" 17942 5176 19649 20904 4390 12914 13458
"200743_s_at" 7162 19466 2381 15327 19237 12444 16559
"200744_s_at" 4036 19653 15272 19465 14153 16025 14621
"200745_s_at" 16231 18651 19115 19907 19206 14480 15787
"200746_s_at" 5601 18829 15554 12059 18942 4022 14646
"200747_s_at" 2938 6802 786 1597 18344 19963 2216
"200748_s_at" 15613 16409 3452 10712 3094 16878 12545
"200749_at" 4514 8090 15907 15892 13158 12291 17357
"200750_s_at" 8100 15358 16291 2179 13078 15411 3552
"200751_s_at" 13722 4972 19955 21410 4306 17989 12419
"200752_s_at" 6270 6578 204 11365 3950 4904 1973
"200753_x_at" 6104 17110 18741 19818 12801 18760 15153
"200754_x_at" 4009 21632 20435 2075 13252 5701 19520
"200755_s_at" 21295 18959 18832 16630 5681 15066 17231
"200756_x_at" 4404 21086 21225 22097 16311 15497 16523
"200757_s_at" 13164 5314 19120 13695 4976 12883 2307
"200758_s_at" 4756 6120 15552 21286 4760 20669 17973
"200759_x_at" 3900 18119 17714 10509 4002 14852 15523
"200760_s_at" 5988 6939 18934 19566 17814 14620 16179
"200761_s_at" 2369 6505 2913 14615 15012 5268 12506
"200762_at" 617 15739 2762 14060 16984 20855 12651
"200763_s_at" 7683 16307 3982 2111 7662 5294 2959
"200764_s_at" 2887 8711 8203 7559 11935 20746 2553
"200765_x_at" 5219 18184 12557 7714 12943 14679 3982
"200766_at" 13246 18038 21166 10906 20887 4976 17240
"200767_s_at" 5682 538 21145 18658 16287 17504 16611
"200768_s_at" 6813 18839 3424 17171 13830 13572 20366
"200769_s_at" 2799 20802 20828 21764 20344 4166 15313
"200770_s_at" 839 17855 4531 18832 2959 18277 20598
"200771_at" 7429 8699 17015 18755 16072 2013 13117
"200772_x_at" 6941 21094 16462 13636 5493 5733 15329
"200773_x_at" 19652 7655 16546 11207 3733 12264 12734
"200774_at" 15938 5195 19158 16154 15118 13341 2909
"200775_s_at" 15886 8193 19293 13723 4092 2974 14619
"200776_s_at" 6949 8982 20450 20892 2824 18175 13898
"200777_s_at" 7797 3195 4666 11905 4232 14960 15709
