"inst_490" "inst_494" "inst_1017" "inst_1075" "inst_1178" "inst_1237" "inst_1577" "inst_1662" "inst_2697" "inst_3194" "inst_4461" "inst_5234" "inst_5597" "inst_5880" "inst_6196" "inst_6954" "inst_6996" "inst_7234"
"200030_s_at" 14158 14547 17818 3806 16811 17731 4802 13984 10709 15270 11218 10583 14347 15614 15496 6256 19603 7206
"200031_s_at" 17268 13903 9354 15324 16672 15870 4922 3537 12893 10990 7559 19092 8790 7034 9377 5927 20276 16932
"200032_s_at" 4368 6449 9240 15371 5790 15667 4567 3176 12912 10997 7576 11133 8814 7595 9399 5199 10106 17259
"200033_at" 16010 13908 18870 16306 7007 15729 15765 16980 8490 16300 14539 18943 16185 16559 16029 18590 19947 16503
"200034_s_at" 14121 15451 15324 16544 18376 5448 19230 14012 10092 15246 4594 11447 6058 14646 7253 6401 19639 17006
"200035_at" 18643 649 15462 363 21769 5082 17134 19154 20313 9399 16432 3159 13973 15746 20969 16777 19840 20449
"200036_s_at" 16382 16091 5727 15980 18343 17818 4180 14922 17149 17151 11770 9081 6305 6805 14486 6192 8638 6631
"200037_s_at" 4856 14716 19296 19921 5803 7924 20478 13244 10071 7410 12285 10614 12857 19291 14505 17825 8452 18232
"200038_s_at" 17515 18722 16729 16730 16738 7028 4748 2143 12975 8885 5219 11917 6776 5374 9471 5613 20021 8578
"200039_s_at" 15670 18770 18240 15179 18741 5073 4008 18798 8133 8837 15214 8694 6452 7322 16258 5279 9815 16841
"200040_at" 15058 19120 19852 16484 19475 19257 18562 15402 10010 7701 14228 10164 16138 14735 18700 5822 3852 7344
"200041_s_at" 17618 17892 17758 15759 6752 5929 2531 18740 10518 8642 16933 9935 16943 16410 15757 15326 9642 7196
"200042_at" 15370 14610 17881 15198 18332 5759 18804 17770 9882 6994 17427 11902 16190 17874 15132 15495 6913 8323
"200043_at" 17859 14002 21561 16548 19739 19025 16161 21305 17372 8679 14685 5209 14987 4976 19998 18847 8279 7125
"200044_at" 5768 14821 15267 16874 5828 16227 19811 16239 8763 5302 16978 8399 12899 6156 17495 15693 6795 6054
"200045_at" 21017 17540 4832 2900 18987 4584 4200 16888 10435 9223 18413 8525 15123 15237 17885 18554 8526 4867
"200046_at" 19198 5520 20813 16659 19860 5682 889 18359 6460 15149 13159 6890 13809 7072 14579 16009 5964 17202
"200047_s_at" 4555 6244 19398 15839 6362 18858 20045 13115 18271 14880 17107 11666 13797 15542 15683 15774 5118 18462
"200048_s_at" 15865 6678 15818 17905 6759 18108 16649 15312 10139 7280 12871 11316 14816 15868 17128 16191 10318 17369
"200049_at" 16269 18280 15912 2207 18823 3651 21615 19394 19556 19941 17739 7563 18637 17654 4960 17173 19527 16369
"200050_at" 13904 20787 5400 20550 17695 19733 19895 21791 18653 3354 18492 8881 5185 4568 7615 20927 6482 17109
"200051_at" 17295 2345 3901 21491 21226 17609 20286 17688 20812 15560 18453 5414 15882 19236 16756 20704 9129 17284
"200052_s_at" 14110 14540 16366 16496 19045 16098 17602 17481 9586 5279 18505 8354 13505 18259 19010 18240 7687 16580
"200053_at" 4027 19351 19725 17610 3086 1483 2852 20560 6817 9036 16313 21106 14473 3730 15016 18841 210 22047
"200054_at" 17240 4653 15915 15767 6742 15764 4323 13398 5094 9163 17959 5881 21188 5519 15205 6432 21009 21328
"200055_at" 17567 18366 18347 16852 16848 5837 15682 18336 17173 8684 14892 9717 6768 16699 15432 4511 7730 4644
"200056_s_at" 4592 3402 19402 19248 19679 16230 20287 17116 5461 6754 13395 8067 14356 18615 14480 18652 8994 20186
"200057_s_at" 14929 14773 4592 4451 17150 18742 4361 3304 10626 8538 13403 8241 12894 16381 7140 17262 10741 6469
"200058_s_at" 18063 20131 15819 18063 17513 18728 17022 14851 6445 18071 18351 4534 16605 19448 15854 5321 5043 18978
"200059_s_at" 1097 1689 5772 3871 17131 16963 3520 13095 6603 15401 12275 9869 12834 17298 13658 15522 9975 16440
"200060_s_at" 19831 20394 18687 19237 20167 19438 21506 17291 8534 17892 18276 10441 18178 6786 5615 16363 7389 19924
"200061_s_at" 16755 13863 9624 3823 4097 10874 3438 1740 12891 10988 7558 19836 8788 6449 9375 5269 20441 16927
"200062_s_at" 5576 18619 9293 2456 17690 16723 3757 3539 12815 10953 7473 14418 8667 7399 9270 6101 19927 17581
"200063_s_at" 6881 16549 9399 3432 17392 17491 17002 2683 12936 11007 7597 20890 8849 5629 9425 6641 10179 17558
"200064_at" 17685 5345 16276 15466 18568 5271 15795 15614 6136 15319 15737 19379 17688 5504 5632 15721 8898 7772
"200065_s_at" 16570 19447 4911 16082 6594 16641 19409 18657 6620 16804 16040 5876 13404 16488 5452 5985 8287 6863
"200066_at" 14464 15817 17597 15344 19905 16187 2928 17426 19153 18093 5756 9172 3731 15914 5701 16294 8634 3369
"200067_x_at" 16823 4134 16116 15887 16634 19369 4227 14627 8440 9382 11923 7035 14116 7387 6318 4866 7983 4989
"200068_s_at" 15824 14384 16098 3363 7624 4938 2123 15489 6697 16462 12364 10776 15065 3541 7395 4143 8335 7733
"200069_at" 21570 14593 20138 21857 16855 16880 17938 18319 6718 8798 19180 11315 20494 5790 20586 19086 7483 7168
"200070_at" 7017 4903 15904 3241 22226 3001 17698 19426 2437 18006 11299 1503 6186 2719 15899 16704 3525 5024
"200071_at" 16298 17922 15136 3598 7056 19712 17415 19565 10737 16039 16301 2902 17081 3454 15670 20495 6108 18972
"200072_s_at" 18769 17136 17361 19023 19061 16730 17753 17948 10082 8235 18584 6088 13691 17952 16797 16797 8571 6018
"200073_s_at" 20811 5372 15830 17293 20115 17966 21257 15421 10765 4942 5516 11063 13686 18966 16291 20760 7755 8435
"200074_s_at" 2865 6098 16113 17034 6680 16186 3116 13986 7819 6966 12585 9880 6591 16222 7163 15975 7774 17326
