"inst_490" "inst_494" "inst_1017" "inst_1075" "inst_1178" "inst_1237" "inst_1577" "inst_1662" "inst_2697" "inst_3194" "inst_4461" "inst_5234" "inst_5597" "inst_5880" "inst_6196" "inst_6954" "inst_6996" "inst_7234"
"205242_at" 8426 13714 14216 6804 15505 11900 7307 6918 15507 14015 10397 12269 9453 8187 2069 8065 17931 10527
"205243_at" 37 2900 6944 11729 15736 14805 7815 10621 16153 12085 7689 16717 8368 5924 7483 12030 12729 13247
"205244_s_at" 9566 12934 14000 9652 11038 14571 9228 10236 14827 8775 6737 8289 12429 13645 10400 7785 16218 14311
"205245_at" 2305 4880 22106 13275 11723 22129 108 21863 13037 16169 3800 6218 2265 1793 467 22117 8593 20560
"205246_at" 21028 19868 17004 15884 16830 21126 3084 17817 20020 6205 1614 6321 15341 1387 15752 16378 9082 17922
"205247_at" 1537 22060 7143 6776 893 2407 14765 5364 14739 13563 877 13489 2565 14430 2301 14927 11213 15832
"205248_at" 5024 14478 810 1808 2637 576 508 13619 4554 19236 2565 4632 14190 22101 2491 16633 5340 17487
"205249_at" 7850 12467 12223 10852 17331 9885 921 11113 7172 13376 16317 17055 12559 14816 1710 7161 11017 12278
"205250_s_at" 2438 3543 21179 21638 2664 22004 10256 20311 9260 21232 19545 20739 21528 2732 3011 275 4817 21032
"205251_at" 3522 14965 20620 19360 18599 20951 20850 14424 10023 5210 15364 21473 17143 17620 20830 18983 20965 21144
"205252_at" 16249 2888 22001 19208 5374 6472 4734 13177 6853 17934 11557 5542 18502 959 948 4570 1031 5825
"205253_at" 20382 10973 20458 536 11705 12073 8181 19499 16643 6577 22085 10618 2582 1028 4990 15733 10036 18267
"205254_x_at" 7528 11051 6031 9575 11789 11919 5005 4984 11602 12072 6989 14911 8489 8922 8369 7107 18965 11062
"205255_x_at" 2742 21959 1280 1773 18660 16621 19783 15753 829 6593 14046 20796 61 17140 17478 16434 7058 20297
"205256_at" 14475 292 21389 16249 2320 21678 17712 1018 18237 17327 21001 4151 14203 19150 6068 20808 4028 18200
"205257_s_at" 2288 14259 13960 13176 8654 13784 15285 1150 321 11672 11060 16432 2077 14381 2393 14313 9556 334
"205258_at" 18487 4536 1896 16796 12839 2306 8272 3495 11864 3527 16026 6700 17779 17374 6620 20446 7251 16079
"205259_at" 4014 14481 10947 9565 14443 6419 5827 12210 1113 4527 2865 18710 1667 1233 1723 12450 18584 14414
"205260_s_at" 5572 17089 17507 2625 21041 6054 914 17289 18417 17341 2560 5796 2124 21203 17306 17072 790 18138
"205261_at" 18468 1519 10103 9359 8013 10830 16070 6628 12443 10417 6965 15317 9073 9835 8214 9901 13986 12117
"205262_at" 10420 10238 13910 11464 9860 8783 9150 11404 14998 21208 8617 6148 2316 12421 7805 13634 18424 14061
"205263_at" 7007 2868 1760 20993 17505 8105 4521 15269 7536 15817 5242 3546 3893 6616 13810 17924 4653 17846
"205264_at" 3534 16736 17563 21620 19169 20566 2737 15507 4814 2929 21284 11608 21000 21763 14541 22120 9985 21381
"205265_s_at" 2345 2944 12421 11011 8031 22229 5682 5655 13390 2068 1642 16778 14868 18272 4711 13009 18993 12123
"205266_at" 7971 21248 11863 4515 12955 2026 10366 2289 11819 742 4826 1030 12942 2491 305 3136 19094 558
"205267_at" 13696 12183 10603 9784 7666 11603 7945 5576 12126 13495 9994 12060 9824 9778 10268 9523 15516 13336
"205268_s_at" 9736 1362 10922 5639 11096 14556 12357 10128 14832 13966 1596 18672 5563 1650 12146 8485 13507 12473
"205269_at" 12754 8155 12482 10597 6150 15575 2332 5424 21226 20234 269 15167 7851 10345 15994 9215 14864 9298
"205270_s_at" 2056 7969 10517 4704 20060 13594 2395 10177 10376 10479 10776 16821 7906 12485 2516 2126 17252 12435
"205271_s_at" 2783 22173 1703 8970 7309 15568 6201 17710 8385 21755 3031 1974 22144 12793 20710 1621 6877 21108
"205272_s_at" 10788 9807 6383 10029 15918 9295 9306 9194 13292 10348 6417 16851 10344 10006 9704 8370 14492 14039
"205273_s_at" 19491 17069 17214 19794 2605 4286 15820 18181 19320 16052 16606 4999 17472 14909 15712 4574 3120 6236
"205274_at" 10337 12423 13082 5592 10895 11798 5338 3769 11466 10305 10147 16068 9457 11044 10124 9982 14063 12206
"205275_at" 10053 8581 14366 8587 8018 12891 5873 11970 129 13839 7796 5987 1652 14514 14531 7492 17629 10373
"205276_s_at" 969 5713 8729 14019 10376 12054 15322 3863 5022 11289 8505 12116 10002 13357 15388 7599 13114 6161
"205277_at" 2142 2773 399 3696 304 567 4382 472 21534 864 399 2005 5280 178 97 19462 3996 20069
"205278_at" 11706 3738 6096 5168 561 3388 12897 11192 11315 13579 5421 15465 4487 19530 11301 9807 13913 10589
"205279_s_at" 6728 19267 8001 8053 15107 21928 7695 11212 20162 18967 21397 16351 6492 18358 12106 13664 17759 13324
"205280_at" 10914 8124 12880 10495 8961 22218 8244 7796 8046 13620 18365 15224 11195 17441 11743 8792 9055 11041
"205281_s_at" 10621 3181 1998 3860 648 4231 3694 19103 9623 20161 3392 1248 16391 4864 16440 4833 7738 17713
"205282_at" 6789 3530 5130 1779 20947 2358 18787 15554 5205 8761 18701 3765 4010 15330 13962 6179 3909 2924
"205283_at" 20645 4795 19219 19674 18189 21953 4596 18850 20320 5666 16659 7545 16932 15955 17358 4589 3584 6787
"205284_at" 20003 20492 20692 20459 1767 18798 19133 21444 20150 2024 20825 21927 20499 21793 16937 22254 22059 7451
"205285_s_at" 4931 15402 13833 7165 291 11924 10537 12387 4423 2346 10295 20310 2529 2284 2192 16873 5943 2225
"205286_at" 18890 16463 18540 17692 7739 3830 14215 17034 16607 8055 4044 9602 18301 2362 1702 4819 9275 19394
"205287_s_at" 20574 20942 21407 21901 11151 20389 10122 16142 11593 15547 22266 6962 15194 10718 7682 20327 10863 4975
"205288_at" 12380 12388 2258 14676 476 4035 7693 20288 2919 2639 14605 3480 22124 4728 17898 15435 3264 20975
"205289_at" 13655 9326 11302 9454 7337 16774 12530 10528 15927 16209 5466 18078 12403 1531 5024 12143 14090 9881
"205290_s_at" 9911 308 9362 9726 18941 3015 13058 7369 16438 11221 8306 13072 7226 9374 21604 10259 14364 11269
"205291_at" 5850 19379 14200 13894 8406 5780 21373 11775 12156 17316 10268 16063 348 13988 12799 4318 16243 2859
"205292_s_at" 7166 14300 4594 18860 17372 16428 19473 15031 10679 17415 11833 7336 5524 6485 18642 17515 8743 7759
"205293_x_at" 13121 12685 1025 2286 9976 2318 6401 219 15405 6506 22038 20093 16273 20709 12216 18939 21466 21689
"205294_at" 4721 21427 20155 3348 15194 6227 15715 18538 12138 19715 18830 1051 15490 20239 321 15887 20858 154
"205295_at" 528 1971 10693 7423 14167 14947 14080 5069 13511 130 9923 17169 1429 11958 10479 7694 18621 15742
"205296_at" 16113 11182 18866 15145 19567 20796 20594 1369 9847 1687 19191 19889 13679 21465 20271 22134 8019 22068
"205297_s_at" 12663 2119 7108 6361 15710 1022 12827 3144 21378 347 20977 18453 1173 1385 11858 18473 12670 20849
"205298_s_at" 4221 4509 769 12247 20017 7977 17871 13448 8323 22138 15826 3736 3049 5972 5858 21793 196 203
"205299_s_at" 2350 2960 429 6045 2723 18453 8143 2765 21983 1409 4372 1632 21140 1564 10395 8738 12640 980
"205300_s_at" 22218 20428 15890 17694 20445 4876 4338 3182 9302 5834 2870 8848 15147 16813 20163 16782 8454 16995
"205301_s_at" 11803 13380 1268 393 3976 18888 11262 16943 3305 19476 5956 10126 20628 20834 4681 4743 20808 21503
"205302_at" 7339 8181 11917 9934 16355 18681 6184 4166 14641 14052 9320 15962 11244 9468 12927 6969 13623 10087
"205303_at" 12615 557 13412 14555 10765 20655 6081 11866 15635 11604 13534 14139 12599 2129 10770 13080 3197 11273
"205304_s_at" 10893 12175 12931 14395 13223 16359 10767 10305 17241 14154 12384 5728 4869 2315 8501 11257 17796 14619
"205305_at" 5196 14436 6924 8078 15905 230 96 6141 21827 22052 21574 10471 21547 21277 21807 8335 19478 67
"205306_x_at" 5914 18933 8650 10241 4093 4606 12789 11116 12489 13175 1122 12266 8083 4003 552 9748 13850 10893
"205307_s_at" 3253 10151 1258 7563 10516 20998 14217 12636 3763 1694 11651 12966 12236 1440 395 8952 15901 1767
"205308_at" 20295 3349 17445 21378 773 4592 17714 16611 2068 17848 2088 20578 4851 6378 18661 20854 7387 6041
"205309_at" 10654 10884 21224 411 12209 20786 8859 17466 11610 7372 17307 5732 21416 16797 9710 21038 9400 18869
"205310_at" 15863 14472 3829 21769 2675 4098 16652 17080 3051 18441 1740 3961 21689 3518 2413 6333 2178 20820
"205311_at" 13267 7505 8688 5003 11749 11139 8540 7206 13652 10613 9596 15402 7564 9169 10089 7261 11448 10891
"205312_at" 7246 13247 11102 5133 1917 9209 16782 10712 9796 11456 6878 13867 8754 8157 15835 15058 11154 8820
"205313_at" 22058 3113 7402 12414 14631 960 16097 10681 10332 465 11286 20967 15429 18185 9028 12282 19352 9524
"205314_x_at" 10847 9958 8211 6932 10888 11423 8185 8847 15819 12882 8858 14082 8488 8600 12566 13273 17603 13707
"205315_s_at" 15226 15848 3549 638 9371 2806 6622 2044 21021 5767 11518 11366 13058 6493 4309 17655 8340 5173
"205316_at" 232 2402 15901 22106 20859 14638 16304 1683 11039 4464 7406 9947 17085 14340 18589 22271 5102 21829
"205317_s_at" 2511 1826 17853 11708 6119 14186 19684 20812 8218 3058 1128 9373 3252 1546 18104 5051 7489 3511
"205318_at" 4982 1536 7721 4813 15823 9449 17016 12406 385 21108 20108 3294 2701 8226 12178 11855 15446 17670
"205319_at" 13579 8611 8674 13802 10153 15431 5709 3143 10637 331 10159 3670 1204 10933 630 7791 8203 15050
"205320_at" 5306 1994 13509 12065 693 11360 11220 10526 21661 565 8990 18074 1025 9396 492 11453 18571 706
"205321_at" 13795 7357 18372 18208 18009 18959 652 1741 9902 3757 18649 9826 3661 14824 5573 18852 8580 2021
"205322_s_at" 21559 2293 4099 611 19883 21182 554 18600 3643 5224 5893 7935 5507 2528 6627 19405 20311 4958
"205323_s_at" 18093 6123 16908 2125 4014 19884 16726 18690 20762 19804 12998 7742 14399 18602 4272 3192 21969 17030
"205324_s_at" 17228 4826 20679 2888 4017 5720 20438 19593 10465 6108 18454 4070 15677 17332 16921 16449 6593 2603
"205325_at" 7717 20357 14590 6081 15141 12227 7313 8788 20342 275 7863 15203 1354 1867 21092 14387 16287 15183
"205326_at" 16537 3058 8957 14531 12976 10451 3659 11238 12600 13649 276 13950 10361 11675 7869 14154 15507 12417
"205327_s_at" 2408 19537 21747 405 2702 19282 20767 19375 22031 17874 16902 11620 3298 21049 20992 6573 652 3226
"205328_at" 1144 14962 10785 14293 10751 15500 806 5403 14679 11956 12283 18671 12706 11442 13204 8102 17779 7059
"205329_s_at" 19635 19960 17298 21866 3765 19395 15907 20878 4918 16741 12985 7328 18013 3311 7468 18793 21291 4635
"205330_at" 391 5328 7863 13500 8869 11405 12128 12207 215 11186 3934 15249 11216 17847 7908 14954 16390 14703
"205331_s_at" 9009 7914 6261 12544 1529 13259 5766 9224 2975 9922 6908 16140 16433 7283 12019 8937 7598 7042
"205332_at" 13346 9062 11291 4733 9925 9340 14545 9206 6347 11449 6790 2540 9848 3108 9832 13829 12469 10438
"205333_s_at" 2950 4413 18218 16404 2073 6636 2345 20373 9825 16614 21180 20295 21366 1197 19184 15315 9187 4799
"205334_at" 361 17538 13345 13575 13380 11788 13503 4803 14835 2004 14627 10711 14223 9156 1786 7204 12400 14368
"205335_s_at" 7142 16336 17496 20900 5884 16045 19019 15511 18286 7217 4333 6672 2912 15100 6016 18869 20452 5321
"205336_at" 11855 7786 9824 12783 11467 8443 13711 7870 11174 12659 8777 15808 12109 9006 9689 11401 12231 10708
"205337_at" 5505 3119 7858 12958 7492 9834 10594 10863 20583 21326 19297 12420 12572 9693 14471 12541 11322 14711
"205338_s_at" 4990 4115 6693 11905 9953 13455 8293 4322 2579 16008 9758 8100 10336 20162 19128 1474 11886 10190
"205339_at" 3468 3287 5578 21406 1661 21346 21442 14902 10009 6261 17278 5115 15022 18438 19236 19031 4870 19741
"205340_at" 16344 21138 21606 18937 21836 21050 18778 19434 6851 20990 14516 19047 20316 16640 7391 19357 10711 21185
"205341_at" 11913 18146 11497 13227 13848 10353 10127 6340 11638 13369 9546 16941 7566 10677 9080 10857 9068 12705
"205342_s_at" 18345 18465 7323 5082 15775 12021 5054 10949 16802 13638 6803 13280 8072 14280 1525 13226 11419 12466
"205343_at" 6688 12433 14737 13246 8247 9314 8230 2761 15303 883 804 18350 13063 13929 1469 12551 12617 14490
"205344_at" 12906 10308 6283 4843 15825 14488 6174 9755 16100 10909 6479 11786 7958 11436 12369 12596 17013 14479
"205345_at" 16834 22126 15603 21767 5425 18899 299 19229 20620 8311 15253 6495 20902 4553 16085 19669 20370 16392
"205346_at" 7234 17559 12040 9321 11785 12160 14887 7164 21157 13445 16240 17103 10117 8515 22054 9383 13493 10628
"205347_s_at" 1418 20580 16293 13347 9587 3356 10873 20037 13311 21524 19986 7543 3175 5547 2918 19465 20847 4946
"205348_s_at" 22122 14344 9726 10626 11798 1288 13820 9054 13007 12910 1925 16332 12063 21751 7698 10761 13315 11620
"205349_at" 9989 11692 8544 14543 6319 9492 4426 4947 19000 2623 1293 18182 21461 11905 15440 14958 18380 5698
"205350_at" 4591 7744 18897 2062 16379 12251 8275 20220 14227 6626 10841 9929 21653 13798 12191 959 1738 2184
"205351_at" 15577 15917 19436 18473 2204 16709 18765 17131 4343 5713 19680 7463 3570 21108 5139 4841 4200 18684
"205352_at" 18268 11953 9326 8475 13040 15505 13399 8927 11432 9871 400 6553 8518 15621 808 7700 11947 12329
"205353_s_at" 5520 2618 5568 3954 19352 3666 2034 19078 5755 17815 5935 8655 15272 6845 16736 3538 20627 16012
"205354_at" 13637 22161 14539 8710 179 3084 6340 2777 1142 18538 4565 19189 22154 19716 2489 16386 942 19933
"205355_at" 8830 6406 3694 15035 10600 22098 7404 22016 3562 6287 3286 1776 21780 7074 15623 16851 22216 7538
"205356_at" 15695 17660 4190 19241 3488 18200 3735 13671 9131 15893 17933 11392 19065 16817 14210 16948 19821 18121
"205357_s_at" 6834 3465 14800 5399 8426 10017 1499 3976 975 13761 19174 4831 10433 3314 13687 14278 15495 10160
"205358_at" 9486 11013 9305 9824 11463 10801 9260 7614 12844 13063 7510 14492 8713 9839 9311 5336 14020 11029
"205359_at" 13790 3624 14258 11073 10564 12712 18033 5099 12086 3495 1719 19320 374 8089 5411 9717 19043 13573
"205360_at" 4891 1897 11485 20600 16041 15609 12740 21420 15056 19786 213 974 5098 13389 9656 20817 759 8573
"205361_s_at" 3080 16601 17457 16221 17980 17270 20735 3559 18307 6801 13018 10530 6208 7076 20025 17828 6442 7209
"205362_s_at" 18642 19784 2000 20933 6505 19304 18383 2643 1680 3628 4695 9187 18098 16564 22106 2871 9773 19215
"205363_at" 11420 13713 9140 12935 12580 10260 13044 10022 17196 13374 1362 14308 9766 14161 3274 8943 15731 10270
"205364_at" 17099 21819 8042 6065 4737 20571 7924 6818 18851 20257 12960 16975 14308 22258 21410 8892 11587 15096
"205365_at" 9691 624 7853 14491 1085 11402 6794 10040 4373 929 20989 7595 64 5299 1014 11409 13349 10498
"205366_s_at" 12033 12066 10262 7730 9445 20113 10484 8332 13122 20285 2371 6902 1420 1568 10735 706 12879 19237
"205367_at" 1828 5501 1835 4112 7379 19140 21378 13617 20485 6687 18802 10793 13360 15866 4361 20556 21097 18001
"205368_at" 9075 11856 12190 5044 14483 14878 13908 8975 2532 13502 22219 17338 9633 11881 8035 9541 15900 10737
"205369_x_at" 9664 5564 22155 20987 2490 22119 379 17620 19221 3428 19490 20546 16191 19124 15344 6375 21469 1432
"205370_x_at" 6751 5656 2627 22096 18435 7585 826 12988 8028 8858 5311 21503 16781 17208 16731 18329 4832 18805
"205371_s_at" 12882 11710 15650 11622 6881 21809 14151 22008 5307 19828 15033 19746 15405 22073 15679 21651 1301 21682
"205372_at" 13104 11823 12479 5817 5294 12618 2053 8523 7275 16981 20566 15743 10816 492 7044 2489 16547 10281
"205373_at" 8652 7810 8944 13279 8631 10049 14645 4963 12054 364 6251 4402 10408 13184 11696 14982 17525 12624
"205374_at" 1718 837 14815 4890 10806 910 20619 6661 15304 2170 208 20161 13324 14829 744 8141 16571 10266
"205375_at" 4646 7350 10070 5297 15849 17775 6123 5474 15470 1680 22259 13964 19594 15146 127 13888 19329 18619
"205376_at" 15310 7125 5380 20602 792 4679 8078 19945 10522 6990 848 7055 14177 2602 14697 4239 10787 5297
"205377_s_at" 11754 3837 12110 5921 12396 10570 12091 4881 18728 11057 15291 17614 3444 10201 1058 11878 16507 12026
"205378_s_at" 12273 7437 13090 6140 10723 10136 9060 7166 12038 11878 6297 14554 10815 12857 2328 10124 14233 11167
"205379_at" 17507 6390 21039 16119 713 2486 14933 491 18972 16698 13312 10047 4386 15451 1481 1863 1887 18982
"205380_at" 15237 12160 18551 19910 15261 3689 5621 13034 16070 3254 471 6868 14829 15324 8285 19090 7164 16150
"205381_at" 5466 10833 13611 11385 8871 10619 12522 5871 14696 12579 2774 17568 1148 13450 3010 11363 18697 11826
"205382_s_at" 7585 9813 1584 15534 6282 2044 19997 15343 9309 17851 13217 20574 4846 5879 15792 784 21113 3985
"205383_s_at" 14202 21759 6220 9836 1559 611 1187 3880 20626 9843 3265 18363 3713 1774 19210 10254 17343 3713
"205384_at" 583 13401 9428 6390 9657 10172 9718 4130 13791 12295 8600 14249 9060 11328 1273 13160 17457 13490
"205385_at" 9575 10619 13760 5668 8730 9497 14877 9361 14335 10047 10679 17798 8128 10840 8346 7386 19016 9506
"205386_s_at" 11482 1336 21464 14022 13832 14203 10869 6300 15532 21546 9791 10229 2633 12056 13164 9400 13237 15216
"205387_s_at" 12479 9627 8280 13907 4689 14955 9410 5229 221 1358 19298 14562 9293 931 10604 8113 16635 13549
"205388_at" 13209 1432 14759 14190 8706 2989 11738 10117 16487 14789 10199 15953 10338 11854 11088 7837 17102 15660
"205389_s_at" 20473 12636 10350 11844 13975 8788 10277 11526 13168 11969 6151 17713 12369 10211 7825 8678 17774 10032
"205390_s_at" 9719 12256 6658 4507 15162 13472 10358 6165 14449 11148 9160 16776 10223 13399 9580 11554 14691 13556
"205391_x_at" 8436 11860 6293 10168 11353 11122 5055 7320 11520 13505 8770 14301 10370 11903 10715 13261 17422 11564
"205392_s_at" 22005 15359 4554 11640 14362 14790 14889 29 14277 6298 2198 1995 243 15149 20451 14300 18144 4369
"205393_s_at" 5467 14775 16042 1247 7626 5647 19297 19382 7294 2009 18060 19378 1826 19337 15457 18012 9885 5292
"205394_at" 18508 15202 21244 17217 6814 5700 19672 19417 10610 1967 12774 6360 15118 15522 16577 21067 20548 19925
"205395_s_at" 16827 7359 15708 20107 7212 18517 21226 18898 10883 6878 5424 10927 5905 15181 16403 19416 5520 7320
"205396_at" 2434 2115 8678 8861 12011 858 4541 10388 4596 4737 14026 801 13537 1827 5996 2280 7036 7595
"205397_x_at" 21766 9956 2333 950 7488 1437 6236 8810 93 1636 16056 758 16695 18327 18289 2749 127 2359
"205398_s_at" 18375 20867 1293 940 771 1885 15265 619 2307 17205 15410 1179 18802 17835 16530 4130 322 1921
"205399_at" 5109 2038 13581 9344 10062 10880 12100 5651 12166 13614 6204 14614 10720 13781 11188 10326 15430 8618
"205400_at" 9413 7616 8557 10985 15111 14815 15485 12471 21997 1573 417 1031 2542 8614 6612 13958 17028 2581
"205401_at" 14584 18429 10332 10507 5402 19840 19755 8057 9676 12840 20934 13535 3265 6084 4008 14263 12501 13006
"205402_x_at" 3815 676 6605 9421 8257 3177 8164 5763 16408 5426 3750 16598 11858 15449 11439 3767 12375 9006
"205403_at" 8074 10022 7696 6646 21919 2783 13063 9295 9807 5293 5305 15240 18596 17808 20048 15823 17714 13945
"205404_at" 20453 21452 8473 9618 8400 11390 7988 6242 13015 12729 7089 15123 7746 8449 8203 13977 12494 11389
"205405_at" 19317 18451 13065 11586 9861 16680 5852 10775 15969 7186 19306 13416 11745 7452 13026 14339 15704 12637
"205406_s_at" 3490 20040 5671 16479 18337 16035 19658 15704 17475 5751 4115 6847 2890 17882 3260 19402 19651 18440
"205407_at" 10299 13508 7263 14386 2307 4906 387 8286 10080 10493 16859 13630 9797 22003 17197 8536 12596 6733
"205408_at" 14516 5605 4939 16213 18727 6874 18835 2008 9831 7274 18836 4533 20560 21680 13477 21894 2392 5122
"205409_at" 794 7793 453 322 2528 18946 15459 488 3158 12535 20381 11149 2132 429 953 416 21472 951
"205410_s_at" 17230 16399 10867 14426 8255 8517 10877 8029 15440 9916 9958 15328 9522 9557 1246 10866 17197 13972
"205411_at" 14867 11063 2736 11884 19333 20420 3090 2114 19131 20948 22123 6631 5820 10319 21374 8962 4751 1708
"205412_at" 17896 17715 15681 16789 18222 6062 18186 12965 17390 6567 16634 6779 6248 14807 18668 3789 8482 7085
"205413_at" 3838 5468 18854 19196 14372 8245 5182 18295 14350 5250 10905 10831 17848 11991 11009 18921 6530 19528
"205414_s_at" 11368 9751 21401 20660 1736 9321 13390 14987 2316 19313 14395 5686 18895 14347 281 21286 20722 20682
"205415_s_at" 187 15589 1675 1980 17572 5678 17521 668 7389 16063 670 502 2723 5236 18075 16662 713 4788
"205416_s_at" 1135 1346 15636 2828 5702 1518 19115 14618 21288 9314 1592 3032 3993 18704 4910 19116 969 2242
"205417_s_at" 15605 6776 17463 20574 3832 8071 2648 19935 2328 16363 15419 8136 19041 5270 1195 19632 4115 5353
"205418_at" 8449 9092 12156 10956 809 8825 21333 9944 5868 14100 8463 17099 7777 10883 5361 7328 14683 12854
"205419_at" 12351 7588 12142 14695 6539 8694 19771 11310 6226 13846 6426 18511 12614 3813 4897 14865 17897 10439
"205420_at" 20304 17740 20568 16755 2460 2691 21716 20457 20983 6350 14220 2952 4725 22238 20728 21858 1383 19468
"205421_at" 10619 11088 10180 12454 11986 13200 8713 7570 11184 11318 8734 16838 10044 8183 7822 8808 12824 11627
"205422_s_at" 7604 8445 14474 6562 13761 3042 11886 6959 2338 13684 14728 14049 10609 3547 11545 8030 18159 12522
"205423_at" 18491 4250 5144 15331 21345 6154 1567 14706 9164 2673 19337 7189 17415 20941 2723 2053 20809 20318
"205424_at" 11171 2681 10705 5868 16228 10119 13408 5888 22019 21783 17772 18678 21137 11567 15052 1680 12329 15531
"205425_at" 20496 15109 3848 21241 1348 5392 17136 13745 7097 2572 17160 11596 13532 21532 3547 5073 21055 22120
"205426_s_at" 16181 19997 63 12487 21272 11319 17307 14715 1781 20498 1678 21574 1950 12664 20416 14265 16945 21352
"205427_at" 3990 5702 16134 3007 252 20930 10593 13184 5108 16004 11269 5733 20427 18335 20652 17967 1209 19094
"205428_s_at" 18625 14160 7251 6880 12941 9850 12649 6580 19768 19434 1546 5848 4522 4660 506 2046 15352 4193
"205429_s_at" 13920 1688 4841 20339 17419 4486 944 17941 9972 7025 2271 5199 6512 18367 17120 6165 1123 18854
"205430_at" 10213 10714 13865 6284 12154 10402 5510 13968 4492 1353 534 22070 3107 8273 944 14145 2063 21246
"205431_s_at" 2559 894 18323 20717 12868 13355 14187 17585 16502 6480 6580 19690 20712 3603 11042 2031 3096 21853
"205432_at" 2372 15046 17455 6992 17006 21150 10 10542 864 9301 14217 21920 1413 445 22018 99 19089 491
"205433_at" 7297 4480 6118 10767 11206 22176 14335 11444 13705 10812 11134 15401 8638 7769 11697 9550 13659 10744
"205434_s_at" 7073 18026 4671 2562 4456 5854 21034 17902 9491 8696 17173 6720 18099 18493 6019 16169 2962 3913
"205435_s_at" 21029 21501 1021 7843 1472 826 119 10629 5075 508 3804 8656 798 604 938 13865 19074 214
"205436_s_at" 19057 15922 19105 19585 5103 5571 18506 21300 16922 17370 16770 19862 20438 18983 16714 20791 21116 19894
"205437_at" 21772 1209 4445 16367 17852 2441 4526 713 19877 21994 12601 2908 5264 2690 7593 4593 4440 16416
"205438_at" 7525 10562 3375 12158 11528 631 9250 22065 14064 21337 20446 3102 13213 10548 10991 18002 20448 20904
"205439_at" 12031 7638 11696 7721 12617 11291 9411 9334 11303 12077 2102 14818 9642 13086 9467 7233 12244 11825
"205440_s_at" 5612 11813 19443 22116 15642 19852 12358 1032 15829 1563 21158 3197 13432 19699 2145 16634 3069 21736
"205441_at" 14983 4962 15495 15424 2029 19210 542 1339 10412 2551 5306 2784 4747 1113 7420 2012 5011 2009
"205442_at" 11316 14348 1313 3037 508 13669 14202 21622 21300 3407 1862 9761 15686 17859 9806 15604 7368 20984
"205443_at" 4610 17761 5446 1879 1589 3224 18926 3517 19715 15732 4177 2359 18725 17845 18052 1747 3165 19348
"205444_at" 2464 20832 10341 9140 9743 14501 12468 11260 14817 2907 10787 16770 11473 11633 12765 11384 16469 10815
"205445_at" 4586 6651 11116 7390 15269 414 11857 3869 14662 2139 6950 18235 9170 2860 12107 10177 14284 14536
"205446_s_at" 15301 3913 20570 71 18901 2037 2776 15117 3628 15919 3906 670 527 21949 15331 3309 819 1719
"205447_s_at" 11113 12016 1006 820 1779 20159 5077 84 774 18456 21839 10564 13104 22065 14146 3051 21487 2104
"205448_s_at" 3976 669 16330 19984 21324 813 7078 237 1145 6760 3160 6717 21358 19316 19733 1635 21933 443
"205449_at" 3923 1903 3869 20167 4534 18180 590 18776 8648 8864 13857 2483 16000 18607 15822 17121 5232 16944
"205450_at" 17926 9256 21073 2571 14396 16415 14438 21262 14586 2721 17082 3788 18967 5394 11244 2390 2090 17133
"205451_at" 10345 8117 10722 9744 1414 17399 5772 5005 18362 12426 115 3945 11710 8227 21267 11433 16952 12191
"205452_at" 16039 11070 4274 17207 6652 21076 4721 17407 6734 4728 19437 19260 6777 15996 15531 17049 3770 4977
"205453_at" 12348 20625 2681 14546 9807 18912 12928 5715 19535 9860 13993 7041 3237 1321 9728 3778 3344 15872
"205454_at" 8869 9840 13039 5286 8638 15620 14950 5082 658 6519 9618 13575 27 12590 8910 407 11823 680
"205455_at" 16454 57 7609 9105 12019 15813 11617 12622 16558 251 13627 15531 9547 6323 5866 1420 365 16240
"205456_at" 1068 21318 8103 11048 15548 8542 13411 4085 16479 1006 3567 16942 9511 11007 7809 9623 17245 14925
"205457_at" 690 19425 3922 21185 3579 20587 1887 18658 19289 6806 20255 19646 3676 19893 2614 6087 5489 8570
"205458_at" 20444 3582 4215 142 2577 11521 4043 14142 1236 3566 11296 2284 13243 16097 13264 21710 372 21674
"205459_s_at" 8603 21379 13085 12721 15885 559 8402 10940 3233 12046 21400 16949 11678 17570 10949 6012 15568 13724
"205460_at" 11021 5668 12095 9312 14986 19652 9169 4294 13123 10107 16209 16763 10536 6176 9394 7448 14535 3869
"205461_at" 21925 18626 18273 21011 448 6421 7589 2347 21603 5155 21558 21732 20436 11427 934 8831 7553 6307
"205462_s_at" 20845 5837 4311 20972 5250 3852 16948 13306 18420 17899 20744 6888 18538 6946 16151 18990 7876 16010
"205463_s_at" 4022 9479 20750 22002 19488 683 19940 17172 670 3321 1781 18908 14858 6035 20341 19350 2736 17765
"205464_at" 18823 12257 9713 11409 15675 4720 11654 12100 11917 21959 10312 18259 7908 13816 9630 13317 12509 14050
"205465_x_at" 9293 7895 6694 10125 14071 11180 5137 10788 11124 10068 12787 17302 12141 12103 20854 12081 6513 9249
"205466_s_at" 10789 8488 6790 10030 10128 1865 7310 4601 9802 491 3422 16917 8405 21368 19936 13632 18499 14513
"205467_at" 7763 2320 9501 4643 426 17666 265 5578 2640 12704 15790 12206 9724 1495 340 7187 17823 4026
"205468_s_at" 8613 8247 6456 4838 9780 9341 10454 5920 654 13359 15694 15209 8004 12620 4395 10165 12735 2147
