"inst_460" "inst_485" "inst_573" "inst_3417" "inst_3760" "inst_3842" "inst_3936" "inst_4317"
"200079_s_at" 17487 4972 15006 3680 5051 5389 4448 4340
"200080_s_at" 18645 19142 14905 13362 10840 17775 13538 16969
"200081_s_at" 1685 14898 14130 13064 4111 7137 13404 16257
"200082_s_at" 1267 1774 16895 3124 3945 14801 8044 16100
"200083_at" 16187 15131 5260 18483 12154 4122 16651 19698
"200084_at" 16490 14130 18783 16615 13251 14853 16830 4162
"200085_s_at" 14802 6230 5265 17258 14261 6968 5145 17697
"200086_s_at" 1749 4876 13906 4014 15388 14243 4421 6166
"200087_s_at" 17280 17863 16595 14735 3548 17898 11956 16223
"200088_x_at" 12969 15287 4023 13601 6749 9801 7892 15704
"200089_s_at" 13235 13636 14483 3992 13759 15256 5704 8245
"200090_at" 11670 20550 12774 14422 12567 2554 4030 2303
"200091_s_at" 2599 4961 15291 14550 3721 6156 14254 16826
"200092_s_at" 11997 6141 13932 13142 11050 9982 8066 19168
"200093_s_at" 2606 5196 4399 19118 17068 19165 15988 8005
"200094_s_at" 2453 891 16402 4431 14173 14948 13823 19909
"200095_x_at" 1894 15818 4229 3604 6912 10045 8125 16709
"200096_s_at" 20109 3754 19468 17898 3426 14638 4742 4677
"200097_s_at" 19016 13654 15080 18825 15746 17494 5718 5866
"200098_s_at" 13672 15277 4781 18051 16551 5932 14540 16352
"200099_s_at" 13992 3497 6205 3616 11069 9985 8069 6195
"200593_s_at" 20932 18414 12929 20681 4174 4439 17620 7706
"200594_x_at" 19201 17949 17494 14019 14332 16141 16995 15086
"200595_s_at" 19895 14465 16946 15706 20271 5236 17809 18609
"200596_s_at" 21901 21080 18595 17607 12222 14143 15222 4482
"200597_at" 17705 15966 17264 19857 20224 5401 20709 15982
"200598_s_at" 18556 16106 4708 15873 17857 18582 12101 5517
"200599_s_at" 11980 16110 4276 12754 12208 14254 15946 18153
"200600_at" 16738 9200 11132 12647 12902 13965 7177 15152
"200601_at" 21095 19506 4006 15512 18618 5167 13242 8534
"200602_at" 20652 3622 14517 20866 15765 20438 20047 18722
"200603_at" 16445 16927 16697 16346 13798 16297 15579 16396
"200604_s_at" 14104 16614 13821 17506 4760 15635 16128 1199
"200605_s_at" 16173 5370 21270 13003 14499 16303 17616 4294
"200606_at" 17299 3602 641 16636 14443 4154 15737 19162
"200607_s_at" 20888 13567 14635 16119 12907 20323 5089 7369
"200608_s_at" 14132 14884 20354 19097 15931 18798 17090 16732
"200609_s_at" 17690 19031 18320 13460 16849 3749 4311 6911
"200610_s_at" 15105 19074 19849 18363 14365 6797 17326 16018
"200611_s_at" 18511 18133 15705 19980 18551 15759 13349 6998
"200612_s_at" 20458 18559 16513 22269 2819 22098 15568 18130
"200613_at" 12026 1389 15998 15957 4253 6741 5296 7776
"200614_at" 13621 16066 4709 12958 5336 7397 7901 8019
"200615_s_at" 20548 19980 17908 15089 4779 5582 17209 3600
"200616_s_at" 20551 14326 16415 13537 4115 18163 4688 14818
"200617_at" 11486 13955 4898 4256 15557 4121 19149 18418
"200618_at" 11778 13455 15353 16642 12497 14215 13332 8026
"200619_at" 1004 14809 20471 20491 4996 5552 11509 2826
"200620_at" 14826 3446 2658 3286 3387 16194 4211 3008
"200621_at" 15469 14605 5934 15997 15571 5451 19221 5398
"200622_x_at" 14056 3870 5889 19420 3912 20425 3879 3058
"200623_s_at" 16009 17615 19631 14101 19760 18994 17806 17857
"200624_s_at" 14733 18233 13637 19274 14653 14288 15996 5538
"200625_s_at" 12475 13633 18057 14606 5107 5453 15079 16809
"200626_s_at" 15591 17610 19806 16684 17243 4254 18731 17044
"200627_at" 15378 14946 19594 13778 4095 16391 12936 4418
"200628_s_at" 15914 4671 17028 20474 2136 18535 16540 728
"200629_at" 17753 18956 13042 19822 11986 5238 16157 4940
"200630_x_at" 206 4611 15076 4375 13924 7533 4051 16982
"200631_s_at" 13496 16136 14920 18383 14838 6447 5019 15838
"200632_s_at" 21 8 1 1726 1880 6444 4466 808
"200633_at" 17112 18082 15273 4143 6826 9904 7992 14184
"200634_at" 2072 3841 5555 13241 4970 14878 17846 7282
"200635_s_at" 14275 16083 13543 4138 4415 19707 5736 14864
"200636_s_at" 12311 16270 16852 16585 14434 2270 12218 20250
"200637_s_at" 12251 1602 13531 13303 1809 19350 18265 3285
"200638_s_at" 13746 19890 19201 17260 10754 16463 13570 5235
"200639_s_at" 11203 16710 19632 14643 12818 17519 15061 5832
"200640_at" 485 3845 18695 16919 13428 5300 14158 15195
"200641_s_at" 11357 13619 19253 16080 3788 17958 14861 836
"200642_at" 2185 14586 5189 14870 12123 14917 12302 5270
"200643_at" 14885 16541 4443 20264 12002 17465 21327 8185
"200644_at" 18225 17632 16530 17865 17093 16248 17869 3984
"200645_at" 12850 15242 13418 13921 13775 3965 5371 14485
"200646_s_at" 1722 13744 16589 16913 21051 19463 19520 755
"200647_x_at" 17060 15214 3706 13312 17928 5276 5448 7011
"200648_s_at" 19288 18119 20623 21142 10866 20683 18012 905
"200649_at" 11820 6044 14845 19912 5208 19435 17770 6714
"200650_s_at" 618 1353 279 3194 6708 6350 7840 10156
"200651_at" 12623 5591 13280 13287 4853 14142 8106 14230
"200652_at" 12868 4822 14941 17522 5213 14299 17952 18804
"200653_s_at" 16080 3282 5174 13285 10858 5220 14820 15331
"200654_at" 12414 13366 4289 17628 13990 6316 17008 6962
"200655_s_at" 12752 18453 4712 13908 17148 16068 15415 15744
"200656_s_at" 11695 14091 14643 14892 4999 19444 16808 4853
"200657_at" 2036 5198 14601 4387 4530 6068 4495 14601
"200658_s_at" 18588 2642 14798 15995 10921 16544 5317 15962
"200659_s_at" 17077 4653 18408 18772 12492 6924 13599 19247
"200660_at" 1037 2931 4807 4197 11670 4803 15115 4757
"200661_at" 16431 20170 18438 13896 14113 7931 13811 8202
