"inst_6561" "inst_6583"
"1007_s_at" 17483 15016
"1053_at" 3832 2986
"117_at" 646 13195
"121_at" 17109 20951
"1255_g_at" 9521 11305
"1294_at" 19097 9161
"1316_at" 19431 22086
"1320_at" 10509 4404
"1405_i_at" 6256 11621
"1431_at" 8322 12064
"1438_at" 15423 6961
"1487_at" 18116 17835
"1494_f_at" 1920 16106
"1598_g_at" 1228 21910
"160020_at" 2607 21600
"1729_at" 15070 14539
"1773_at" 15012 18388
"177_at" 10557 2253
"179_at" 407 20134
"1861_at" 15872 6373
"200000_s_at" 14655 1379
"200001_at" 19542 4651
"200002_at" 14352 6662
"200003_s_at" 14708 4683
"200004_at" 15683 3735
"200005_at" 4958 4515
"200006_at" 16080 6600
"200007_at" 19169 15433
"200008_s_at" 3002 1094
"200009_at" 4914 5375
"200010_at" 14383 3511
"200011_s_at" 20247 6542
"200012_x_at" 15917 6405
"200013_at" 3125 15051
"200014_s_at" 16553 5770
"200015_s_at" 16966 18366
"200016_x_at" 14900 15107
"200017_at" 5869 15185
"200018_at" 2727 6300
"200019_s_at" 3743 17564
"200020_at" 4254 16499
"200021_at" 10322 11195
"200022_at" 5480 2953
"200023_s_at" 17195 14625
"200024_at" 3333 5680
"200025_s_at" 14539 17648
"200026_at" 14200 16518
"200027_at" 15005 17173
"200028_s_at" 5133 4593
"200029_at" 15066 14806
"200030_s_at" 17115 4730
"200031_s_at" 9760 10605
"200032_s_at" 3751 5749
"200033_at" 14145 5166
"200034_s_at" 14781 4949
"200035_at" 3396 18612
"200036_s_at" 3848 15735
"200037_s_at" 5335 16697
"200038_s_at" 16814 5116
"200039_s_at" 5197 14245
"200040_at" 5689 15918
"200041_s_at" 17190 4586
"200042_at" 17208 4924
"200043_at" 21615 21170
"200044_at" 4669 14965
"200045_at" 16862 5239
"200046_at" 15707 19165
"200047_s_at" 14764 18141
"200048_s_at" 15110 5589
"200049_at" 17712 3207
"200050_at" 2003 6926
"200051_at" 1245 15579
"200052_s_at" 5343 3487
"200053_at" 21400 16392
"200054_at" 17055 17725
"200055_at" 18560 19825
"200056_s_at" 17944 15560
"200057_s_at" 16253 15050
"200058_s_at" 13947 15201
"200059_s_at" 18587 2913
"200060_s_at" 5863 17848
"200061_s_at" 9755 10601
"200062_s_at" 9399 10208
"200063_s_at" 10012 10864
"200064_at" 4214 928
"200065_s_at" 4598 3106
"200066_at" 4009 6755
"200067_x_at" 16041 16923
"200068_s_at" 15852 15793
"200069_at" 15635 6129
"200070_at" 17506 4983
"200071_at" 20637 6888
"200072_s_at" 5989 15931
"200073_s_at" 14449 14273
"200074_s_at" 4871 4693
"200075_s_at" 3955 5419
"200076_s_at" 20417 2780
"200077_s_at" 2623 16308
"200078_s_at" 3354 2946
"200079_s_at" 16612 3179
"200080_s_at" 15076 15194
"200081_s_at" 15055 5169
"200082_s_at" 5499 3740
"200083_at" 4481 5941
"200084_at" 16928 18398
"200085_s_at" 4213 16502
"200086_s_at" 16591 16277
"200087_s_at" 17087 15499
"200088_x_at" 4827 14914
"200089_s_at" 4775 6762
"200090_at" 18809 15140
"200091_s_at" 3510 5562
"200092_s_at" 5991 16071
"200093_s_at" 15790 14976
"200094_s_at" 5808 18216
"200095_x_at" 10274 11153
"200096_s_at" 17247 4900
"200097_s_at" 17896 15656
"200098_s_at" 15212 17721
"200099_s_at" 13944 6559
"200593_s_at" 1641 4055
"200594_x_at" 16837 4581
"200595_s_at" 4095 19835
"200596_s_at" 948 16249
"200597_at" 18895 4592
"200598_s_at" 13933 5695
"200599_s_at" 4246 5612
"200600_at" 18994 2949
"200601_at" 20742 14605
"200602_at" 13660 22000
"200603_at" 17633 19103
"200604_s_at" 19950 6066
"200605_s_at" 20635 3438
"200606_at" 19173 16530
"200607_s_at" 19049 4907
"200608_s_at" 16805 6063
"200609_s_at" 14382 16512
"200610_s_at" 16874 18516
"200611_s_at" 18124 17991
"200612_s_at" 18 1138
"200613_at" 3932 2948
"200614_at" 6057 5950
"200615_s_at" 14589 4229
"200616_s_at" 13664 16846
"200617_at" 15736 4237
"200618_at" 18308 3754
"200619_at" 3159 6391
"200620_at" 18429 803
"200621_at" 20682 3693
"200622_x_at" 5887 2934
"200623_s_at" 3930 20677
"200624_s_at" 15437 15619
"200625_s_at" 5317 3808
"200626_s_at" 4610 6867
"200627_at" 4011 2589
"200628_s_at" 4348 5517
"200629_at" 15052 20086
