"inst_203" "inst_415" "inst_524" "inst_1003" "inst_1061" "inst_1164" "inst_1223" "inst_1648" "inst_2683" "inst_4447" "inst_5220" "inst_5583" "inst_6182" "inst_6942" "inst_6983"
"1007_s_at" 3386 16639 16164 3169 20851 113 9061 2642 791 11618 16152 9274 20977 17138 2381
"1053_at" 6017 4737 16995 19024 18760 16412 4100 4767 4771 20513 21623 17007 17362 15820 15176
"117_at" 22039 8329 569 12683 7723 21119 1968 13316 3057 14025 10897 13645 3046 8235 11922
"121_at" 15847 14446 15964 14706 21181 15972 20042 20828 4172 12887 12780 20170 4153 2253 16347
"1255_g_at" 7220 4629 5345 8948 10629 9264 14291 9245 8950 8565 4268 12370 12651 8974 9010
"1294_at" 5910 15815 2433 11097 6806 20797 1662 11033 13000 293 15657 21030 6023 11446 14817
"1316_at" 914 5148 14065 9970 8615 21616 5352 9839 1835 11383 3296 22201 5802 11124 19023
"1320_at" 14434 20035 15166 739 16793 6511 17818 7788 7511 18319 5602 657 11970 7435 6542
"1405_i_at" 9795 8177 9376 2151 9021 4680 12978 5421 15462 9395 4365 14769 8799 7736 9121
"1431_at" 8168 14621 5326 1865 7879 19886 10059 12645 6570 14361 719 20668 21372 13866 12106
"1438_at" 21240 18008 20684 1872 9099 12526 1579 15384 7463 4861 21552 2213 507 12168 2618
"1487_at" 15072 20551 17431 20429 1302 21830 4582 17844 4887 14008 3717 6682 18949 3252 18106
"1494_f_at" 18459 18263 12177 12479 16971 18718 20986 10397 21927 12908 12484 21977 1275 11913 11411
"1598_g_at" 20324 5585 18920 18217 20388 11327 21071 3351 3543 14717 12824 17939 2158 19664 764
"160020_at" 16140 3799 18212 9081 17381 9913 20295 10737 1234 3884 13188 843 1433 84 2068
"1729_at" 18828 21236 20577 19761 1931 14249 8780 19852 3947 21174 1630 3604 20778 19526 5711
"1773_at" 2917 2322 2685 20650 4186 18821 3204 359 661 14319 14106 5385 19839 479 14967
"177_at" 18862 20230 6103 11167 8434 2553 16549 5987 19961 5774 7287 17213 6258 11184 14183
"179_at" 4032 17656 15388 8753 14493 21510 10408 2454 21711 19909 3535 850 10673 612 20811
"1861_at" 4811 5295 15382 20133 21441 4138 4743 21730 16910 21407 16562 2076 17993 19807 17934
"200000_s_at" 15028 18154 19633 15550 3025 19834 8500 2959 14827 17119 3381 18112 10118 1657 14881
"200001_at" 15925 17907 14225 16436 5889 4745 5773 3538 14836 3233 16265 5365 8751 2793 18002
"200002_at" 2539 16736 662 15896 19751 14436 9347 5073 12740 13440 14372 5420 9378 4992 16293
"200003_s_at" 15533 17379 2626 8344 2372 4682 19255 18056 8190 7658 13353 8836 13125 14938 5704
"200004_at" 4754 4771 18007 15016 17806 15609 7581 15710 13250 5447 12649 17354 7560 16373 17776
"200005_at" 16804 7250 14495 17400 5106 15120 8472 16432 15168 12858 13514 7652 17665 5064 15792
"200006_at" 15771 16033 12699 15440 4743 15841 6664 4504 16143 11694 13563 4781 7658 4951 16274
"200007_at" 15840 17763 3138 15161 20399 4603 19514 15329 14833 14625 15198 6449 7232 15733 5249
"200008_s_at" 17560 1060 11461 14904 18195 2213 2523 2994 16638 15420 2695 3746 8534 1079 18080
"200009_at" 5077 3437 15283 4765 6397 2896 8892 3974 13698 6130 12633 15964 9349 5185 16262
"200010_at" 1854 4492 14910 4636 5225 14137 8915 14459 8191 12171 11553 8030 13127 4947 5988
"200011_s_at" 20878 18163 14665 18238 19084 17688 7720 19169 18188 19456 15564 18900 19879 19230 18619
"200012_x_at" 15405 6259 886 8044 20586 2079 21102 15370 8155 4070 11797 17571 13092 5433 15605
"200013_at" 13686 14455 1870 14776 5219 15719 8807 5197 12580 13353 12476 8151 11390 5537 4863
"200014_s_at" 17400 5856 15587 14980 17935 16697 4541 14287 17882 12197 13518 5834 6761 16085 16133
"200015_s_at" 14664 13685 14033 18878 5074 14339 3203 5160 16713 17662 17774 7353 7153 17493 4826
"200016_x_at" 4735 14436 14695 14177 19118 4542 19327 16632 8134 11998 13051 16775 13064 16072 17556
"200017_at" 15941 7018 2161 8156 17821 15263 9290 14870 8273 11623 12879 11428 13229 16351 15734
"200018_at" 13378 15032 2182 14260 19920 3702 19507 14722 8264 7739 13691 11416 13220 15873 5541
"200019_s_at" 2956 14150 796 4865 18136 4600 9461 16940 8236 13696 2897 9437 13193 5063 4903
"200020_at" 4493 3782 12806 17192 18101 18327 20340 17137 15195 13043 14971 16660 19602 5596 16444
"200021_at" 2195 15779 3793 7877 6009 2633 10809 17980 8350 7820 2671 11554 13328 16593 5321
"200022_at" 2977 14291 947 15529 5930 2631 9080 3857 8204 13444 3802 16535 13141 4404 5514
"200023_s_at" 5698 6935 11444 18469 3769 15722 9518 18626 13048 17216 18018 5294 6369 17363 16684
"200024_at" 17361 7281 363 15110 19733 3229 11272 3941 8239 5520 12524 5328 13195 4016 5591
"200025_s_at" 3827 15371 2792 14142 18069 13979 9096 17215 8262 15356 12677 8741 13219 16897 16885
"200026_at" 3027 16828 739 16151 20936 4229 19625 5193 8352 7826 2694 11560 13330 15860 14974
"200027_at" 3947 16647 13819 16128 18681 4593 8619 2980 14769 16622 15630 7086 10972 15128 16994
"200028_s_at" 15241 15895 16799 4016 20537 15136 19041 16219 16640 14071 14673 17544 18535 16702 16587
"200029_at" 14083 15265 2363 3825 3745 13999 20261 15367 8228 12392 2729 17432 13179 15373 17832
"200030_s_at" 15349 4926 2146 4202 17994 2950 19602 4263 14653 5689 3016 16125 10555 15315 15669
"200031_s_at" 3974 5983 1646 8169 6029 4183 19709 4995 8255 7732 11675 11405 13214 3853 16012
"200032_s_at" 15310 14640 3447 7818 19382 3803 8473 3976 8276 7746 3235 11431 13232 15702 5293
"200033_at" 14171 6331 15598 16442 20337 15780 7498 14597 13649 16524 14160 16152 8210 17521 16619
"200034_s_at" 5341 13842 11856 15491 20048 3483 8339 4161 15223 3922 11789 8493 11253 16167 17641
"200035_at" 21505 14123 141 3200 1623 15372 20386 4515 17057 12149 20965 18935 11436 15859 19335
"200036_s_at" 3626 5627 2869 17587 17536 15470 9419 15036 6037 15745 13644 6628 13119 3379 5434
"200037_s_at" 18393 14853 11721 17813 20205 19683 4247 19573 17751 15247 2894 17467 8595 19243 15163
"200038_s_at" 6189 6324 1314 14043 3729 14368 8604 4612 8334 11643 3538 9268 13306 5605 5206
"200039_s_at" 16731 6465 3002 16955 4260 4043 4930 4140 14894 5958 14171 4051 9384 3546 5549
"200040_at" 5755 14914 12669 15145 22102 15961 9728 16189 14305 13840 13576 6947 9174 18195 16357
"200041_s_at" 2850 16359 15839 16867 19838 16180 8072 14883 14625 15683 18194 8767 7558 3843 18098
"200042_at" 2248 623 17357 19494 19020 14790 8719 19211 15363 18064 19368 8690 11442 18512 16951
"200043_at" 4660 14691 3492 20262 19618 15093 1726 20900 17332 11526 17530 8668 11199 17400 20780
"200044_at" 16679 6861 2418 19700 19813 17490 6972 14385 17863 15657 15039 4966 4285 18050 17404
"200045_at" 5623 15334 17195 15967 19209 15033 19228 15835 17666 11736 12934 18261 19776 16419 19482
"200046_at" 3656 2978 356 17185 5109 16201 8091 15228 16123 18560 14105 5146 10117 16648 15588
"200047_s_at" 5150 7062 16637 15328 3860 17588 3842 16590 13183 19838 14436 8228 8868 18151 18870
"200048_s_at" 15291 13710 3312 16272 17774 18476 7864 4986 15194 18452 18049 4840 6881 4564 15138
"200049_at" 5774 14818 17247 4760 4959 20678 3825 18765 20326 4114 16968 17132 10633 4526 17514
"200050_at" 4549 5956 19620 20548 5472 18452 3994 14758 14991 3166 14331 3615 18844 2187 2228
"200051_at" 1203 18265 15185 18093 19596 17593 20314 20995 16906 19685 17955 16925 21553 16015 17385
"200052_s_at" 4854 2612 2762 15702 2799 15368 5926 3246 15107 15613 13940 5883 10014 5602 14973
"200053_at" 5883 16488 10938 20553 1999 2422 11337 20809 12465 13748 19389 4507 18038 5775 19788
"200054_at" 21324 7100 14676 19391 20217 20867 6698 19791 20225 17486 16142 17659 9397 5208 19021
"200055_at" 14224 20061 1248 3863 6186 15207 9813 4169 15491 19700 18599 9405 17785 4807 19037
"200056_s_at" 17862 16683 22173 20219 17737 20466 983 15960 19374 19446 13190 8640 8570 18434 20099
"200057_s_at" 18931 13483 16670 14696 18324 15088 20683 14778 15102 12731 2148 16510 9646 18936 15606
"200058_s_at" 5165 17454 20409 18301 5831 18016 10347 16146 16432 15423 15835 16885 17985 19088 16412
"200059_s_at" 18157 4945 14388 18064 5379 14525 9249 14479 13563 16787 11305 7959 5977 5613 16879
"200060_s_at" 5140 6528 20062 14627 4526 16344 19352 16221 18670 18428 19069 16554 8522 19067 16707
"200061_s_at" 3550 6573 1307 8028 4436 2216 21535 14374 8253 7731 6517 11402 13212 16429 17613
"200062_s_at" 16499 6891 2326 8228 19270 4287 19565 3990 8178 7645 6325 11283 13114 5636 5375
"200063_s_at" 5633 16516 16593 7936 17941 14207 20589 4741 8299 7768 6629 11464 13260 18989 5553
"200064_at" 16133 3885 14738 14420 3773 15269 8965 3527 13349 4786 12907 16585 17783 15059 4123
"200065_s_at" 18689 16763 13263 14203 20277 3856 10440 3862 6367 12253 3984 7350 17561 4712 15589
"200066_at" 4687 14349 19911 20269 5465 17738 6696 3972 3498 15718 13059 5093 18952 5498 16398
"200067_x_at" 16717 3770 3767 13831 4142 15087 9145 17077 12472 13588 14749 5628 8417 5404 4415
"200068_s_at" 3004 15965 17663 3305 4902 14108 8633 4721 5377 5187 14006 6908 5452 4274 4371
"200069_at" 3223 5248 22181 18014 2010 18926 11274 19993 13059 19743 14409 19829 5638 17005 3170
"200070_at" 20019 20915 12285 1929 20311 21444 21407 15618 19838 19236 18788 6685 2038 14983 21149
"200071_at" 5078 6257 20076 16541 3607 15508 6573 20343 18378 19464 20619 17178 8539 19380 18102
"200072_s_at" 4861 3004 18049 15697 2458 18942 9652 16094 12868 15001 11997 16330 11324 15830 5561
"200073_s_at" 4621 17075 18085 17505 20107 19024 5042 17759 14655 18665 14094 8370 7501 5875 5731
"200074_s_at" 16837 15841 1888 16559 3627 4256 10721 14809 6334 11660 12399 5538 8481 15760 15529
"200075_s_at" 5075 5686 2846 17182 18196 16311 2065 4873 17141 12289 17726 2824 6997 4166 19007
"200076_s_at" 3678 3200 2706 16651 4577 16612 2310 18885 6113 15612 18207 16096 10500 15534 19364
"200077_s_at" 13594 7424 14564 3642 17496 16543 10709 15783 14432 12121 1933 8468 10199 16114 15235
"200078_s_at" 3841 3957 2388 14864 2508 15103 6004 1977 3309 15353 11391 3013 5696 747 2330
"200079_s_at" 4646 14084 12719 14317 19295 18430 7473 3887 13889 13581 12135 8883 10064 3844 16330
"200080_s_at" 3776 14245 18394 18608 20190 14905 5165 19673 14007 14769 2540 8210 10298 19446 17699
"200081_s_at" 6131 3813 1076 14774 19303 2508 6861 4369 5266 12162 11934 8261 9558 3051 5537
"200082_s_at" 18343 5182 3209 14008 18397 3965 8928 3450 8293 7758 11652 7883 13247 4684 5825
"200083_at" 5323 19029 16853 19294 20867 18733 20256 21311 18211 17571 20632 18875 5244 16748 18360
"200084_at" 14351 6111 14127 16664 18053 17515 5104 17305 14169 15399 13519 15887 8167 3370 15428
