"inst_7072" "inst_7076"
"1007_s_at" 16451 6799
"1053_at" 17594 5947
"117_at" 10870 16693
"121_at" 2047 4892
"1255_g_at" 7657 11985
"1294_at" 6944 9087
"1316_at" 11307 14966
"1320_at" 11961 16941
"1405_i_at" 7859 12193
"1431_at" 10494 16010
"1438_at" 16403 21543
"1487_at" 3266 1707
"1494_f_at" 5726 9210
"1598_g_at" 233 2634
"160020_at" 703 19927
"1729_at" 18323 21908
"1773_at" 22012 20428
"177_at" 5936 2944
"179_at" 829 21955
"1861_at" 12931 19733
"200000_s_at" 16819 7621
"200001_at" 18482 18867
"200002_at" 15850 6672
"200003_s_at" 14120 18077
"200004_at" 13023 7079
"200005_at" 16043 4690
"200006_at" 16090 19038
"200007_at" 13313 19132
"200008_s_at" 20283 7742
"200009_at" 14840 7931
"200010_at" 14532 6919
"200011_s_at" 16049 6496
"200012_x_at" 3232 17353
"200013_at" 14349 7623
"200014_s_at" 17889 614
"200015_s_at" 13585 3730
"200016_x_at" 2613 6801
"200017_at" 12941 7473
"200018_at" 3944 18672
"200019_s_at" 3747 8235
"200020_at" 17194 6472
"200021_at" 3262 4242
"200022_at" 16675 19775
"200023_s_at" 14315 18693
"200024_at" 14507 17767
"200025_s_at" 2649 17796
"200026_at" 3766 7968
"200027_at" 14599 7761
"200028_s_at" 13432 17099
"200029_at" 3330 8240
"200030_s_at" 14047 6412
"200031_s_at" 2224 8232
"200032_s_at" 2910 17599
"200033_at" 3161 8084
"200034_s_at" 3049 8172
"200035_at" 15531 7124
"200036_s_at" 13157 17471
"200037_s_at" 2554 7075
"200038_s_at" 13911 18553
"200039_s_at" 16810 17452
"200040_at" 13402 7709
"200041_s_at" 15804 19480
"200042_at" 17848 5673
"200043_at" 1860 6458
"200044_at" 12870 7660
"200045_at" 13102 17132
"200046_at" 17349 7390
"200047_s_at" 3632 17740
"200048_s_at" 16847 6272
"200049_at" 1489 2730
"200050_at" 2801 2308
"200051_at" 2887 4290
"200052_s_at" 16249 18526
"200053_at" 17654 3847
"200054_at" 3307 19743
"200055_at" 14313 7565
"200056_s_at" 14775 5405
"200057_s_at" 3874 17318
"200058_s_at" 15776 4230
"200059_s_at" 15566 7488
"200060_s_at" 15666 3903
"200061_s_at" 2745 17459
"200062_s_at" 3416 18399
"200063_s_at" 2547 18057
"200064_at" 16063 6878
"200065_s_at" 16588 8031
"200066_at" 18296 1278
"200067_x_at" 17202 19169
"200068_s_at" 14663 6908
"200069_at" 14365 17415
"200070_at" 944 6697
"200071_at" 2516 5122
"200072_s_at" 15707 6705
"200073_s_at" 2786 6456
"200074_s_at" 3137 8279
"200075_s_at" 15832 4204
"200076_s_at" 15723 19371
"200077_s_at" 13156 6238
"200078_s_at" 15521 19063
"200079_s_at" 17020 3916
"200080_s_at" 2074 8230
"200081_s_at" 16030 7823
"200082_s_at" 13835 17312
"200083_at" 1357 17230
"200084_at" 3550 7158
"200085_s_at" 17440 7449
"200086_s_at" 13876 18656
"200087_s_at" 13008 18372
"200088_x_at" 15003 8136
"200089_s_at" 13550 18069
"200090_at" 2308 5036
"200091_s_at" 13083 7047
"200092_s_at" 3537 8234
"200093_s_at" 2847 3644
"200094_s_at" 14758 17669
"200095_x_at" 3486 7691
"200096_s_at" 21270 8274
"200097_s_at" 15511 7325
"200098_s_at" 14910 4434
"200099_s_at" 13071 17883
"200593_s_at" 19908 4913
"200594_x_at" 3438 6578
"200595_s_at" 1981 5092
"200596_s_at" 13547 3695
"200597_at" 20151 21197
"200598_s_at" 20875 17243
"200599_s_at" 12919 3754
"200600_at" 13654 6376
"200601_at" 19473 2544
"200602_at" 17280 19492
"200603_at" 2048 6621
"200604_s_at" 18585 18597
"200605_s_at" 21015 7864
"200606_at" 17791 17105
"200607_s_at" 21380 20389
"200608_s_at" 1476 19489
"200609_s_at" 21469 1496
"200610_s_at" 2447 6706
"200611_s_at" 16487 18898
"200612_s_at" 17101 2598
"200613_at" 20436 18808
"200614_at" 14905 17424
"200615_s_at" 17726 3691
"200616_s_at" 17010 7820
"200617_at" 15955 5985
"200618_at" 13447 8092
"200619_at" 17684 875
"200620_at" 20068 19332
"200621_at" 16302 1960
"200622_x_at" 15288 3971
"200623_s_at" 17214 884
"200624_s_at" 21911 7314
"200625_s_at" 2454 4214
"200626_s_at" 14139 6253
"200627_at" 13185 18060
"200628_s_at" 21588 19566
"200629_at" 3825 4270
"200630_x_at" 13064 17890
"200631_s_at" 14483 2825
"200632_s_at" 21629 20544
"200633_at" 3878 19220
"200634_at" 14058 4579
"200635_s_at" 2556 5258
"200636_s_at" 18335 5778
"200637_s_at" 16091 21530
"200638_s_at" 14640 18416
"200639_s_at" 2709 4049
"200640_at" 14380 5534
"200641_s_at" 21819 20506
"200642_at" 13976 6387
"200643_at" 3729 6700
"200644_at" 12894 6855
"200645_at" 17232 7280
"200646_s_at" 21768 2014
"200647_x_at" 14908 3107
"200648_s_at" 20991 21857
"200649_at" 3488 6548
"200650_s_at" 12906 20107
"200651_at" 14362 6879
"200652_at" 17917 17537
"200653_s_at" 15090 4862
"200654_at" 17418 7313
"200655_s_at" 15344 18129
"200656_s_at" 18625 20745
"200657_at" 3744 17315
"200658_s_at" 19410 17565
"200659_s_at" 19760 19493
"200660_at" 16240 18596
"200661_at" 18157 7484
"200662_s_at" 18784 7861
"200663_at" 15794 6125
"200664_s_at" 19370 6434
"200665_s_at" 12845 14914
"200666_s_at" 13822 17933
"200667_at" 16386 7457
"200668_s_at" 17204 7700
"200669_s_at" 20893 20172
"200670_at" 1767 18095
"200671_s_at" 17755 22243
