"inst_343" "inst_436"
"1007_s_at" 16611 13574
"1053_at" 20602 9823
"117_at" 1369 1752
"121_at" 8075 15808
"1255_g_at" 15627 3430
"1294_at" 6849 10401
"1316_at" 8216 9697
"1320_at" 3889 20844
"1405_i_at" 13017 4596
"1431_at" 14526 6204
"1438_at" 992 21387
"1487_at" 20607 16616
"1494_f_at" 6627 2607
"1598_g_at" 20913 16614
"160020_at" 8736 15042
"1729_at" 1335 17530
"1773_at" 3666 3415
"177_at" 3564 4235
"179_at" 6120 13798
"1861_at" 18182 10693
"200000_s_at" 19064 2922
"200001_at" 6719 17294
"200002_at" 9432 2549
"200003_s_at" 8843 1443
"200004_at" 8074 13389
"200005_at" 9366 13383
"200006_at" 4040 13658
"200007_at" 8388 10842
"200008_s_at" 8244 9604
"200009_at" 3797 10897
"200010_at" 7465 2541
"200011_s_at" 465 16935
"200012_x_at" 8720 1591
"200013_at" 17099 2394
"200014_s_at" 6167 12545
"200015_s_at" 8151 13697
"200016_x_at" 19316 12888
"200017_at" 8607 11957
"200018_at" 6336 9758
"200019_s_at" 16889 3168
"200020_at" 18635 14314
"200021_at" 16933 2447
"200022_at" 9826 2840
"200023_s_at" 8873 1388
"200024_at" 18862 1153
"200025_s_at" 7893 10377
"200026_at" 205 3358
"200027_at" 4319 10251
"200028_s_at" 5225 18497
"200029_at" 20628 10126
"200030_s_at" 16522 3175
"200031_s_at" 17486 2340
"200032_s_at" 6056 3318
"200033_at" 5280 14205
"200034_s_at" 4779 2515
"200035_at" 17855 2720
"200036_s_at" 18168 2621
"200037_s_at" 6914 12192
"200038_s_at" 5799 10582
"200039_s_at" 6822 10283
"200040_at" 9232 10806
"200041_s_at" 16693 12586
"200042_at" 7652 3529
"200043_at" 6924 10816
"200044_at" 9233 13216
"200045_at" 5580 3601
"200046_at" 6763 2771
"200047_s_at" 4838 13646
"200048_s_at" 20025 11663
"200049_at" 1499 14731
"200050_at" 1956 16181
"200051_at" 21258 10361
"200052_s_at" 5855 12578
"200053_at" 19426 14837
"200054_at" 8694 2545
"200055_at" 20715 16784
"200056_s_at" 2171 12156
"200057_s_at" 5222 13534
"200058_s_at" 9813 10888
"200059_s_at" 7576 2970
"200060_s_at" 3535 11455
"200061_s_at" 16367 10043
"200062_s_at" 7689 11705
"200063_s_at" 17655 3566
"200064_at" 18394 14198
"200065_s_at" 7378 10422
"200066_at" 17060 13129
"200067_x_at" 7572 14590
"200068_s_at" 16424 2774
"200069_at" 1069 17813
"200070_at" 7259 18020
"200071_at" 17614 19885
"200072_s_at" 9110 15183
"200073_s_at" 6136 14734
"200074_s_at" 5235 12778
"200075_s_at" 20262 3457
"200076_s_at" 17990 12893
"200077_s_at" 9424 11259
"200078_s_at" 18952 15206
"200079_s_at" 8413 10848
"200080_s_at" 3531 13924
"200081_s_at" 16796 9869
"200082_s_at" 4374 2685
"200083_at" 7391 13471
"200084_at" 3708 15025
"200085_s_at" 9736 536
"200086_s_at" 9125 1976
"200087_s_at" 5738 10242
"200088_x_at" 17179 1812
"200089_s_at" 6564 3310
"200090_at" 8057 13396
"200091_s_at" 2295 14638
"200092_s_at" 7884 9925
"200093_s_at" 8891 10515
"200094_s_at" 4944 13967
"200095_x_at" 19099 2498
"200096_s_at" 5741 17807
"200097_s_at" 4277 13192
"200098_s_at" 19363 3035
"200099_s_at" 6391 3327
"200593_s_at" 7268 1900
"200594_x_at" 9416 14006
"200595_s_at" 6212 12675
"200596_s_at" 4966 14650
"200597_at" 5348 1188
"200598_s_at" 7442 17241
"200599_s_at" 8632 13210
"200600_at" 19958 19070
"200601_at" 18500 2994
"200602_at" 3016 15500
"200603_at" 2573 17201
"200604_s_at" 8784 12892
"200605_s_at" 2710 18409
"200606_at" 7143 14106
"200607_s_at" 1054 14180
"200608_s_at" 3499 17896
"200609_s_at" 5337 3135
"200610_s_at" 7553 9644
"200611_s_at" 6134 10157
"200612_s_at" 18129 9695
"200613_at" 16595 2649
"200614_at" 8821 11711
"200615_s_at" 3979 10906
"200616_s_at" 18314 13156
"200617_at" 18855 11308
"200618_at" 4633 12641
"200619_at" 19271 17922
"200620_at" 7871 9913
"200621_at" 6845 11331
"200622_x_at" 4164 18986
"200623_s_at" 6158 13029
"200624_s_at" 17966 9814
"200625_s_at" 5502 19954
"200626_s_at" 8576 12814
"200627_at" 6162 3450
"200628_s_at" 9344 11755
"200629_at" 20982 10799
"200630_x_at" 2357 9959
"200631_s_at" 6685 13638
"200632_s_at" 17078 14586
"200633_at" 8772 1933
"200634_at" 19303 19598
"200635_s_at" 16770 772
"200636_s_at" 8270 17202
"200637_s_at" 3043 13590
"200638_s_at" 7164 10408
"200639_s_at" 9242 2293
"200640_at" 5419 3559
