"inst_2201" "inst_3636" "inst_3739" "inst_4295" "inst_4761" "inst_6057"
"200594_x_at" 6634 10351 10150 12712 8656 9693
"200595_s_at" 4994 17146 6503 17737 16264 17085
"200596_s_at" 5785 10778 4788 16649 6243 18722
"200597_at" 4560 9064 10928 15922 1746 2167
"200598_s_at" 6026 9115 10443 1685 16101 9073
"200599_s_at" 7212 6601 7183 12361 7618 10829
"200600_at" 8282 13745 9399 18892 16869 16311
"200601_at" 17655 3757 6161 21446 20625 8035
"200602_at" 17357 19324 19827 12722 21451 4575
"200603_at" 4284 16755 7173 12770 15719 6816
"200604_s_at" 7360 5849 7417 18583 15919 5322
"200605_s_at" 5139 5820 3982 14387 17256 6625
"200606_at" 21804 18699 20225 15427 18995 5299
"200607_s_at" 16524 7269 19731 3285 7419 4220
"200608_s_at" 5167 16828 10380 5329 15644 9802
"200609_s_at" 17127 6198 19138 20363 16857 17450
"200610_s_at" 6389 9048 9078 16200 1497 9478
"200611_s_at" 9440 9019 9575 4241 16890 9209
"200612_s_at" 17455 3506 21593 12750 21511 2459
"200613_at" 17635 19559 9525 17234 6680 9477
"200614_at" 8617 17729 10208 13152 16306 16986
"200615_s_at" 17642 9060 12266 5124 16553 5220
"200616_s_at" 17479 16886 8985 1995 6645 6784
"200617_at" 6798 10444 5705 20147 7151 18407
"200618_at" 3508 17042 10547 20381 8107 16839
"200619_at" 18041 19950 20188 17700 3872 6513
"200620_at" 8148 18796 3630 17278 6090 8687
"200621_at" 6057 18809 9346 5201 20248 16599
"200622_x_at" 16615 8637 6421 17751 20488 18276
"200623_s_at" 19046 2130 4148 21909 19347 19836
"200624_s_at" 18497 7367 6100 13905 5314 7850
"200625_s_at" 4962 8902 8243 19113 16403 17426
"200626_s_at" 1900 5173 4565 17433 16310 9595
"200627_at" 4931 7928 7220 13014 17650 7935
"200628_s_at" 19403 7379 20952 3468 19012 2986
"200629_at" 18198 6688 19434 5196 16647 9426
"200630_x_at" 7811 17713 19071 3629 16520 17701
"200631_s_at" 7404 17253 11505 15389 15364 17743
"200632_s_at" 5246 17853 4752 14858 14901 17439
"200633_at" 17162 12764 14616 8098 16390 12768
"200634_at" 6198 17379 11037 14815 8524 17250
"200635_s_at" 16785 7853 8339 4432 4658 18282
"200636_s_at" 12309 7962 10676 19147 19001 10028
"200637_s_at" 11932 3507 9494 20457 3596 18713
"200638_s_at" 7365 10357 9425 14594 18762 7975
"200639_s_at" 18007 18181 11016 12326 16728 5137
"200640_at" 7681 9923 10729 14253 6336 17083
"200641_s_at" 19729 8715 10620 14395 5852 5877
"200642_at" 16464 18598 19320 4791 17678 8006
"200643_at" 3224 17231 5820 16742 2490 18269
"200644_at" 19256 6682 10718 19411 6821 10974
"200645_at" 6483 17085 9555 16703 17694 6121
"200646_s_at" 20721 1020 3366 21083 18570 20664
"200647_x_at" 17761 19027 7508 16017 6231 10550
"200648_s_at" 18249 3494 21305 17173 19465 18019
"200649_at" 5247 5515 7395 20941 4275 20064
"200650_s_at" 11625 17461 14498 7956 17726 9870
"200651_at" 11518 12862 19161 5752 16885 10748
"200652_at" 8634 17383 10642 6194 7541 9913
"200653_s_at" 5061 9353 7983 13776 14962 6114
"200654_at" 8482 17605 11041 17424 7145 11062
"200655_s_at" 5350 18453 10984 4930 7218 3677
"200656_s_at" 16895 9085 7666 4626 19662 16637
"200657_at" 16341 17240 12353 3628 8285 9182
"200658_s_at" 19121 10447 10275 12831 8691 5081
"200659_s_at" 21089 16589 9896 12470 14914 4557
"200660_at" 9578 10028 12613 5351 18223 10591
"200661_at" 19316 16859 10825 17620 18872 18860
"200662_s_at" 17763 10865 12640 20871 15780 10933
"200663_at" 6172 6882 7620 3078 20394 10055
"200664_s_at" 19420 10286 18744 12459 19087 8894
"200665_s_at" 9603 13084 17156 12779 14769 11123
"200666_s_at" 3898 6262 18947 17092 5697 5590
"200667_at" 17353 19960 12597 5473 17834 8374
"200668_s_at" 6607 9746 9607 15143 18678 9082
"200669_s_at" 17779 7226 18219 12019 7702 5426
"200670_at" 7676 18404 6504 6150 6162 6846
"200671_s_at" 15400 1281 21860 14917 1896 22272
"200672_x_at" 1258 10137 18793 15532 8268 7793
"200673_at" 4175 16686 11077 12233 17350 8261
"200674_s_at" 11904 17281 18913 13015 7783 17004
"200675_at" 4877 6826 7264 19297 18553 18270
"200676_s_at" 21942 21320 7433 5077 20116 6432
"200677_at" 16935 17915 12142 16223 6773 9048
"200678_x_at" 19150 3583 19801 15956 7007 17782
"200679_x_at" 7445 16729 11600 3729 15315 8857
"200680_x_at" 6528 12884 18763 3855 11091 12867
"200681_at" 18692 17489 19056 16328 16312 9293
"200682_s_at" 17375 17108 7534 6091 7504 6248
"200683_s_at" 8076 7508 4990 19222 8177 4656
"200684_s_at" 5849 19043 8476 5311 6845 16937
"200685_at" 3142 9120 6374 5065 4684 17907
"200686_s_at" 7753 19528 18504 16571 7839 4437
"200687_s_at" 16825 19133 4328 19004 18305 10802
"200688_at" 17989 6528 5759 2914 8090 4472
"200689_x_at" 17049 18180 19233 5468 7174 17062
"200690_at" 8789 18343 7451 14646 4023 18001
"200691_s_at" 5853 9894 9214 12140 7215 9305
"200692_s_at" 8449 7150 11306 13833 16930 9297
"200693_at" 7309 8620 12704 12941 4382 6854
"200694_s_at" 7332 17179 5757 14758 8019 8915
"200695_at" 19113 7165 10687 21466 18263 4918
"200696_s_at" 1400 7163 9146 20651 21197 9526
"200697_at" 17871 7778 12183 19163 4839 8380
"200698_at" 5768 3119 7655 12895 6611 7990
"200699_at" 6926 5536 5187 12961 6265 20093
"200700_s_at" 7555 9899 12709 14079 4779 9474
"200701_at" 8307 5824 8895 14213 6291 5893
"200702_s_at" 9576 6052 7638 2569 2837 8636
"200703_at" 5091 18751 18264 13686 15362 16772
"200704_at" 4953 17078 10822 16003 17450 7757
"200705_s_at" 11826 16831 20381 5549 16570 8083
"200706_s_at" 6034 10069 19403 2082 8504 7478
"200707_at" 20647 9634 7796 17584 8761 4041
"200708_at" 17843 19251 10464 16763 8705 8959
"200709_at" 18159 9555 10785 21531 2906 6298
"200710_at" 17859 995 5394 19178 15806 2868
"200711_s_at" 17043 7276 9092 4669 18670 4391
"200712_s_at" 17364 8642 6818 16548 16955 9425
"200713_s_at" 7754 18082 9441 14679 8099 8428
"200714_x_at" 9319 17799 8529 21320 15589 20369
"200715_x_at" 9533 17109 12361 13078 6025 8598
"200716_x_at" 11632 12871 14713 12641 18060 12855
"200717_x_at" 11749 12761 14614 8096 10913 12766
"200718_s_at" 6934 17532 11751 3153 15632 17280
"200719_at" 1343 16843 6309 16161 16842 7606
"200720_s_at" 17141 19575 9808 17839 6929 3833
"200721_s_at" 5216 9010 4829 20380 16887 8007
"200722_s_at" 18704 2803 19787 18861 19898 4881
"200723_s_at" 16902 7742 11436 18395 15747 5175
"200724_at" 3624 21352 12093 558 21936 1052
"200725_x_at" 17436 17433 19606 4130 7571 17333
"200726_at" 9522 18195 9391 12526 17887 10500
"200727_s_at" 6944 2063 19775 15258 5042 18982
"200728_at" 6602 7454 4570 2350 17251 17951
"200729_s_at" 5421 10177 7568 5356 6284 7693
"200730_s_at" 17674 4151 1057 19449 16489 3823
"200731_s_at" 5114 17218 3280 12436 4005 6181
"200732_s_at" 7801 3998 3932 13616 18046 16542
"200733_s_at" 4087 8918 2461 14131 6006 8359
"200734_s_at" 9546 9833 20148 5497 16554 5337
"200735_x_at" 11827 12826 14669 4154 11006 12813
"200736_s_at" 6552 15072 12058 4755 12055 11352
"200737_at" 7832 9739 5226 3715 4218 17608
"200738_s_at" 8620 17627 12806 5540 15494 10993
"200739_s_at" 18045 5115 8832 16273 18329 6558
"200740_s_at" 16792 9889 12300 16151 15126 10147
"200741_s_at" 11855 12664 14529 7998 10789 12694
"200742_s_at" 19198 18386 19840 16770 6586 8246
"200743_s_at" 7113 10058 9319 17654 15562 17392
"200744_s_at" 20795 19956 11544 13624 5542 8730
"200745_s_at" 4699 4547 9571 14549 6903 20554
"200746_s_at" 3634 9018 4506 19139 2623 10682
"200747_s_at" 21195 18931 7847 19841 8555 4923
"200748_s_at" 16279 8974 14729 5235 15284 9238
"200749_at" 5460 16969 10886 14825 16613 10470
"200750_s_at" 9327 18816 14591 6180 15937 16631
"200751_s_at" 7460 6970 9236 3593 17734 5621
"200752_s_at" 6149 6208 20242 12979 7845 20186
"200753_x_at" 8165 11035 18293 5789 15853 9018
"200754_x_at" 9060 7924 8520 15464 8850 17227
"200755_s_at" 17884 3662 3962 15747 3964 3729
"200756_x_at" 9284 7917 8060 13350 18578 6240
"200757_s_at" 4426 10125 5478 17089 7895 8295
"200758_s_at" 9013 19124 5304 5584 3031 18778
"200759_x_at" 1180 2785 19455 19654 2438 7009
"200760_s_at" 6863 16942 18932 3085 18463 7771
"200761_s_at" 3542 9273 7150 17144 20567 9441
"200762_at" 6600 8427 2975 16457 19548 4526
"200763_s_at" 11630 12836 14681 8174 16569 12822
"200764_s_at" 21973 3833 1406 7697 19390 4146
"200765_x_at" 662 11055 15675 10390 16967 16500
"200766_at" 20626 11094 19091 1286 6941 18818
"200767_s_at" 2533 20388 5261 15682 16280 16912
"200768_s_at" 8738 17131 3871 18542 5511 17016
"200769_s_at" 5836 5890 20104 3116 8693 3957
"200770_s_at" 1809 5787 10316 15026 3833 1079
"200771_at" 17290 2297 4477 18622 2417 8085
"200772_x_at" 16419 10249 14643 15221 8058 17297
"200773_x_at" 7334 10199 10536 4858 6135 16511
"200774_at" 16724 17990 8084 13153 16912 16934
"200775_s_at" 8066 18289 7953 17209 19119 8979
"200776_s_at" 9466 9623 10628 5660 15801 4040
"200777_s_at" 7699 17746 8516 14526 18301 5973
"200778_s_at" 17836 6552 18439 16334 8035 5218
"200779_at" 8523 10680 8709 14053 16969 9821
"200780_x_at" 16924 16736 9730 14868 7449 17089
"200781_s_at" 11561 12744 19628 11797 16523 12750
"200782_at" 4682 7674 10186 12653 19373 8073
"200783_s_at" 5929 5302 11158 15498 18756 10383
"200784_s_at" 11032 12355 68 20485 12354 13298
"200785_s_at" 15143 14296 21453 21939 14502 11377
"200786_at" 20330 17630 10678 11837 15133 8159
"200787_s_at" 18858 9312 20143 4660 3047 19905
"200788_s_at" 8893 4707 8282 16875 16792 20118
"200789_at" 18384 5222 19488 13681 2921 3481
"200790_at" 6517 8030 11193 11694 5380 7777
"200791_s_at" 9515 10866 10151 19433 16783 10352
"200792_at" 17991 16929 6078 13604 4560 9868
"200793_s_at" 17174 5261 6748 21458 21450 17219
"200794_x_at" 9106 17966 4598 18791 7170 10050
"200795_at" 17232 19817 12324 8697 1186 4876
"200796_s_at" 22058 2153 20853 1252 19410 1201
"200797_s_at" 17456 19039 4080 19569 16131 9333
"200798_x_at" 18199 4185 10356 5929 16071 8268
"200799_at" 11978 9278 11446 13422 8311 9650
"200800_s_at" 18900 20049 2510 18887 8814 17376
"200801_x_at" 16564 12636 14504 7961 10741 12665
"200802_at" 16977 17352 9888 11793 7546 6328
"200803_s_at" 16821 10901 9936 12759 8751 7060
"200804_at" 6996 17129 7499 17264 16367 10843
"200805_at" 921 3663 6441 6134 16317 7932
"200806_s_at" 18943 10605 9200 5165 8198 9981
"200807_s_at" 7796 12651 18624 11697 8815 12677
"200808_s_at" 5079 8882 4255 22047 18539 17971
"200809_x_at" 11838 17017 18903 5883 5632 12683
"200810_s_at" 2218 5541 8271 12966 7871 5624
"200811_at" 5191 7575 6442 12144 7894 8187
"200812_at" 9268 16706 18902 15589 8540 9343
"200813_s_at" 16966 3860 1666 20228 3652 7887
"200814_at" 8162 17619 7482 14853 18713 17088
"200815_s_at" 3511 19360 3161 17684 16375 16659
"200816_s_at" 16802 17696 3651 14465 17724 17489
"200817_x_at" 11849 12653 14512 7973 10759 12680
"200818_at" 17610 18801 18272 13202 8309 5435
"200819_s_at" 11758 12768 11901 5483 16462 12772
"200820_at" 19540 16584 12496 3376 7068 7589
"200821_at" 2963 8388 5266 14512 8519 8607
"200822_x_at" 6476 7845 10963 13836 4015 17316
"200823_x_at" 6304 10159 19793 5865 6907 16426
"200824_at" 20198 21367 12805 2517 16679 22014
"200825_s_at" 7090 3292 12367 21336 6576 10632
"200826_at" 17861 18737 18368 5036 7632 9959
"200827_at" 20286 4391 18394 18949 19460 18338
