"inst_2192" "inst_3770" "inst_3851" "inst_3945" "inst_4327" "inst_6047"
"200594_x_at" 17073 8003 17919 17577 9835 16068
"200595_s_at" 17793 15898 17772 12813 16126 6650
"200596_s_at" 17071 7038 1495 3514 16657 3879
"200597_at" 22059 21900 22123 21725 18616 21549
"200598_s_at" 4552 3884 3058 13192 6692 5538
"200599_s_at" 5757 5599 14162 13909 16885 4590
"200600_at" 3051 6110 9758 6276 16407 9359
"200601_at" 2878 6871 13929 3750 20244 4523
"200602_at" 15929 17438 5894 17125 17528 13776
"200603_at" 4752 7068 13071 13824 8471 7426
"200604_s_at" 1733 4669 4847 10733 925 3957
"200605_s_at" 3233 5432 5835 12312 3319 13409
"200606_at" 3238 17433 6177 10635 16807 5081
"200607_s_at" 6154 2932 1625 4246 5052 6736
"200608_s_at" 13454 7844 6536 13292 15299 7634
"200609_s_at" 19893 7909 13952 4380 6342 6230
"200610_s_at" 19584 16645 14586 15080 16447 7165
"200611_s_at" 15107 7786 2321 3782 6660 2351
"200612_s_at" 14170 4476 3184 12358 6744 14608
"200613_at" 14140 14666 13269 15040 17758 14745
"200614_at" 5423 7453 6282 7051 8369 7288
"200615_s_at" 16219 8490 13524 12825 2551 6681
"200616_s_at" 13343 4834 2720 12494 5396 6144
"200617_at" 6159 7112 6228 11912 20338 4623
"200618_at" 6358 6070 5128 4328 16147 3474
"200619_at" 6787 16983 6680 11081 7719 5180
"200620_at" 1932 5980 3225 2879 3107 3039
"200621_at" 19867 2721 5266 4347 5153 2810
"200622_x_at" 3805 9027 3118 11581 6139 4378
"200623_s_at" 13484 8732 13424 13600 21527 5341
"200624_s_at" 15061 6390 13057 16049 6829 6875
"200625_s_at" 14793 7312 15894 13129 18841 3436
"200626_s_at" 17020 16776 15863 16979 16891 5802
"200627_at" 6348 7597 14835 13298 7693 7852
"200628_s_at" 14396 3658 13392 17761 3127 13494
"200629_at" 15303 8221 17616 13592 5556 14515
"200630_x_at" 13989 16301 14399 4356 5987 7456
"200631_s_at" 14630 15690 16453 13633 8854 13640
"200632_s_at" 20512 8651 18531 2980 20364 4732
"200633_at" 14899 10488 8698 7136 9414 9538
"200634_at" 4083 14655 6488 4925 17794 3111
"200635_s_at" 2055 6353 14310 19030 17111 17920
"200636_s_at" 2358 16585 16795 20658 18806 16898
"200637_s_at" 7308 7862 12940 18911 4665 16252
"200638_s_at" 4759 5971 6489 5181 5609 5644
"200639_s_at" 2025 8678 13416 5209 8933 13698
"200640_at" 4626 6943 13209 5351 9550 5473
"200641_s_at" 4017 3722 4063 4802 1318 5266
"200642_at" 6635 8750 6508 4371 7973 6689
"200643_at" 2429 17131 4674 15518 19254 3276
"200644_at" 13909 7839 4761 4132 9443 4108
"200645_at" 2852 6849 4231 4286 7629 2654
"200646_s_at" 1889 16213 5033 17302 21985 18479
"200647_x_at" 15386 7414 14094 11844 8728 6840
"200648_s_at" 21903 8751 16462 18586 7666 18532
"200649_at" 19293 16631 6417 11529 21695 3872
"200650_s_at" 8872 10369 6099 6989 11481 6582
"200651_at" 8998 9002 6442 10972 15314 7710
"200652_at" 5193 5840 13185 16936 8675 4802
"200653_s_at" 4408 4150 6346 13186 15737 7066
"200654_at" 5976 15384 5171 11016 17018 4124
"200655_s_at" 4406 7179 16009 11445 9013 7082
"200656_s_at" 3416 4713 6187 10830 8636 5397
"200657_at" 14068 8040 12936 11588 9498 13693
"200658_s_at" 5235 3645 13775 13188 7838 7434
"200659_s_at" 19415 5194 13502 17232 15651 5661
"200660_at" 4301 7932 13039 4354 17932 4543
"200661_at" 3067 4371 2731 10593 8688 6129
"200662_s_at" 14832 7062 13221 15951 6801 6040
"200663_at" 2401 8717 14330 13211 9660 6505
"200664_s_at" 5828 3971 6639 14845 6711 19905
"200665_s_at" 9084 12371 9875 10704 19844 10498
"200666_s_at" 17887 3976 20651 20398 19886 21015
"200667_at" 19122 19505 20877 19857 8611 19362
"200668_s_at" 6057 17322 6361 11352 9706 13758
"200669_s_at" 4472 8091 14883 11644 6394 15250
"200670_at" 14877 6042 22243 22228 8100 22192
"200671_s_at" 13004 14593 18639 10686 4447 14298
"200672_x_at" 21991 3886 19014 18846 5770 17148
"200673_at" 15436 8566 4327 13983 7317 7013
"200674_s_at" 13543 14384 8781 7203 16581 9586
"200675_at" 5977 6686 13279 12809 15579 4323
"200676_s_at" 3531 17962 2807 3705 7096 1159
"200677_at" 16175 7202 4251 11201 7679 4019
"200678_x_at" 6201 6654 2432 4158 16363 6235
"200679_x_at" 15081 4157 5430 5062 7165 13725
"200680_x_at" 13827 10593 6548 7252 8460 9636
"200681_at" 3445 6788 13534 4920 6322 5703
"200682_s_at" 5845 5533 2708 4516 7279 4309
"200683_s_at" 2233 6461 3039 2658 4349 3734
"200684_s_at" 14652 4061 3478 12511 3867 2476
"200685_at" 19629 20916 21873 21484 20410 17751
"200686_s_at" 6355 18702 13836 13166 9163 4492
"200687_s_at" 5733 4583 12919 16279 17881 5365
"200688_at" 14993 15562 14062 13132 17561 4317
"200689_x_at" 14406 8653 6300 10879 15729 13634
"200690_at" 18819 5676 16592 14908 6435 6697
"200691_s_at" 15808 6500 6704 5216 4584 5099
"200692_s_at" 6516 4220 4528 5248 7479 4881
"200693_at" 4071 7672 6276 12876 7616 4556
"200694_s_at" 19638 14516 16062 15669 18829 16724
"200695_at" 14478 18303 1582 2286 8257 5766
"200696_s_at" 17365 16680 17398 19421 20603 18829
"200697_at" 13658 7033 5961 11177 7417 13961
"200698_at" 3115 6545 14631 3861 5526 5325
"200699_at" 5434 8128 6683 12445 16157 4421
"200700_s_at" 5293 8870 13435 11163 3578 5060
"200701_at" 4616 7141 5913 11863 5853 2606
"200702_s_at" 19635 14504 4645 13736 7967 7618
"200703_at" 18695 5277 3171 5395 7959 5159
"200704_at" 15626 2922 16254 4784 18400 5781
"200705_s_at" 9082 9055 14337 5479 9877 14121
"200706_s_at" 5009 4013 3522 10969 4892 5251
"200707_at" 16144 6370 13811 10756 20946 13583
"200708_at" 13674 15468 12986 14254 7847 5077
"200709_at" 15293 16874 13317 10647 21203 4282
"200710_at" 3282 17074 14303 13014 8519 2786
"200711_s_at" 6528 6839 13930 11173 3101 5768
"200712_s_at" 1887 1927 1230 2625 870 1562
"200713_s_at" 3553 4869 6235 4788 4512 4847
"200714_x_at" 5214 7050 5527 13141 17412 3509
"200715_x_at" 15414 3905 17473 18223 5749 7648
"200716_x_at" 8903 10583 14555 7239 15666 9620
"200717_x_at" 8835 10486 8696 7134 11595 9535
"200718_s_at" 4488 14841 4117 4611 7761 7451
"200719_at" 4217 5035 4951 4994 2609 2973
"200720_s_at" 13835 16228 14981 17980 9924 7667
"200721_s_at" 5692 7617 13467 17084 19619 13605
"200722_s_at" 18999 2234 5574 20043 2417 18042
"200723_s_at" 15190 8341 6005 14238 4439 14243
"200724_at" 16354 4503 5131 17514 15753 21473
"200725_x_at" 14477 16767 5426 4428 9670 14444
"200726_at" 14169 15527 13220 13607 4084 4494
"200727_s_at" 3713 2984 14132 11134 3386 3741
"200728_at" 4295 6375 5441 5387 4571 4352
"200729_s_at" 4836 6217 5222 12880 5569 7810
"200730_s_at" 15489 1576 3351 11662 563 7161
"200731_s_at" 17881 1124 15893 5420 1611 14677
"200732_s_at" 21331 5353 17147 15051 7333 15234
"200733_s_at" 17177 1800 5183 16077 3114 15502
"200734_s_at" 1939 8580 13690 4481 6012 4121
"200735_x_at" 9062 10541 8772 7194 15383 9580
"200736_s_at" 4255 16497 11149 10029 7425 9228
"200737_at" 5151 8530 6270 16930 9337 5952
"200738_s_at" 13633 15566 6527 10725 8913 6705
"200739_s_at" 1011 6947 3011 11807 7722 4757
"200740_s_at" 5849 7893 6092 11512 7404 5992
"200741_s_at" 9164 10406 8589 7029 15254 9459
"200742_s_at" 6398 14660 2622 1510 6275 2649
"200743_s_at" 5915 8497 2971 2920 7987 3875
"200744_s_at" 5241 5828 3153 4279 4697 5358
"200745_s_at" 13594 6540 13697 16213 17021 6293
"200746_s_at" 5366 7425 4843 13440 16700 4716
"200747_s_at" 15566 6836 4367 14664 19601 7106
"200748_s_at" 2091 6242 6426 10638 11714 7229
"200749_at" 21683 16374 18490 19763 9897 19106
"200750_s_at" 17990 10462 14636 11792 15679 14496
"200751_s_at" 4733 3513 3893 13596 2456 15284
"200752_s_at" 18600 17256 15515 12909 20856 5595
"200753_x_at" 18661 6116 14355 11427 5645 15688
"200754_x_at" 18551 7064 15721 14081 9258 14866
"200755_s_at" 2646 5747 13635 16061 6280 6657
"200756_x_at" 1779 5206 1260 5347 774 3695
"200757_s_at" 13709 5448 16308 13299 9095 6683
"200758_s_at" 615 2659 2119 10624 6655 2538
"200759_x_at" 929 5851 2030 11693 16552 1512
"200760_s_at" 14886 15793 3230 13164 6443 6737
"200761_s_at" 15835 16636 14643 14335 15811 6146
"200762_at" 18830 16265 19004 20029 16168 16149
"200763_s_at" 8892 10550 8786 7210 16591 9589
"200764_s_at" 1883 14209 2069 4887 13754 5253
"200765_x_at" 16874 9592 4913 10773 10054 4634
"200766_at" 15780 8315 3073 11005 19255 14865
"200767_s_at" 14197 6346 2777 13581 7355 3338
"200768_s_at" 22253 21962 21956 22086 21809 22125
"200769_s_at" 22277 21836 20799 22109 17717 22034
"200770_s_at" 349 4555 2073 14211 5306 6015
"200771_at" 17119 6570 5270 13185 3038 15548
"200772_x_at" 9156 8444 12929 5534 16350 7172
"200773_x_at" 6364 7709 13336 10915 9362 7368
"200774_at" 6304 8551 13042 5235 8745 5534
"200775_s_at" 4095 8013 4825 2039 4521 6456
"200776_s_at" 2087 3041 2592 3643 1800 2765
"200777_s_at" 4818 6968 5089 11552 7614 4630
"200778_s_at" 14632 7609 6571 12684 1705 7696
"200779_at" 14601 417 2741 1198 458 6385
"200780_x_at" 4812 7726 5532 7189 16493 5994
"200781_s_at" 9059 8967 8672 7113 8788 9518
"200782_at" 5664 6152 5932 13030 8795 3686
"200783_s_at" 4401 3528 5617 12475 7504 2892
"200784_s_at" 10121 18011 9848 6590 21565 11408
"200785_s_at" 10120 20893 11796 6221 21961 8043
"200786_at" 6275 6804 13004 10562 6301 13363
"200787_s_at" 3223 4443 1099 2148 2987 2608
"200788_s_at" 1970 1771 3762 2520 3862 1868
"200789_at" 5720 18667 13531 15358 17473 5779
"200790_at" 16449 8235 13205 14801 6140 6501
"200791_s_at" 4513 8363 15469 14536 8727 4596
"200792_at" 6460 6614 13284 12183 9701 5914
