"inst_370" "inst_431" "inst_462" "inst_504" "inst_1012" "inst_1070" "inst_1173" "inst_1232" "inst_1657" "inst_2692" "inst_4456" "inst_5229" "inst_5592" "inst_6191" "inst_6949" "inst_6991"
"1007_s_at" 21784 17463 5330 13603 17261 16602 18741 8089 5278 66 20519 17922 15478 4142 3445 3387
"1053_at" 19955 17853 11288 15515 5429 18933 18919 19478 2968 9674 19470 4126 1822 15439 4753 4654
"117_at" 19917 5291 7333 17967 118 5919 21467 96 2 21954 87 10216 11414 20376 8969 156
"121_at" 13523 15612 2658 4796 15431 3644 1700 7777 4069 22200 6150 19323 18123 13832 2916 1920
"1255_g_at" 9571 10691 18141 18315 9766 10205 10048 9754 9587 13728 8966 11710 12105 8849 11409 10356
"1294_at" 20972 4747 11404 6240 10114 11655 22005 12298 13995 9275 6009 19885 6032 13741 17003 12847
"1316_at" 17218 6112 780 14896 11529 8200 4470 17052 10686 22034 3410 1093 3741 21610 3311 131
"1320_at" 4473 21721 8042 200 11185 7933 13028 13670 9214 13832 18233 9970 321 3332 10227 2993
"1405_i_at" 2826 13503 14294 8289 12683 7048 18284 13309 9399 18550 9651 14268 13040 19946 4867 8220
"1431_at" 17119 10847 14764 15600 9646 7733 20551 5817 10735 7035 17971 6878 20898 21606 16207 9272
"1438_at" 9675 21728 11236 10225 20385 11368 8467 12747 16619 12623 22045 4414 20063 8871 14708 16076
"1487_at" 14315 7040 5627 1538 2869 18073 19731 275 20818 11612 12277 16969 13937 4384 2169 19993
"1494_f_at" 4527 5825 3360 5294 10485 16049 21031 3607 10346 17504 3667 17669 21953 4138 14661 9531
"1598_g_at" 17909 16884 5677 7170 486 2902 6252 20228 20287 9561 21428 21996 2741 781 6939 917
"160020_at" 16974 7916 2491 3924 10413 15969 12987 4766 9039 392 5414 3241 982 5375 9985 670
"1729_at" 801 508 4271 1516 1846 356 5028 19383 4761 5832 19639 4202 5467 4677 6063 6626
"1773_at" 16762 7506 19090 3722 19610 922 2525 19015 1347 20148 5670 20057 14223 899 10780 2062
"177_at" 570 10509 5356 4721 10637 13995 2374 2696 12903 20009 1123 5163 3535 21456 12950 15328
"179_at" 17507 4443 7768 14025 8455 8147 161 21581 5004 4916 16666 1882 21220 21073 10710 21870
"1861_at" 8767 17725 4630 3926 20325 3287 19488 16515 18909 6290 13988 6562 2555 3685 20782 6484
"200000_s_at" 4070 6895 18779 15729 15799 3770 4465 8126 796 18950 17872 16115 16321 18666 5662 18245
"200001_at" 16074 17958 19209 14262 16014 16355 7432 6006 5113 9296 17247 16916 5858 5352 5979 5152
"200002_at" 3484 16292 18825 16450 17437 3569 16811 7487 19676 8796 13224 6565 4131 13882 18157 17249
"200003_s_at" 14718 17430 11041 16923 8771 16719 5920 7894 4978 13422 7907 7885 7008 8970 8415 16357
"200004_at" 13960 5625 10123 17312 15996 17893 16849 4163 16826 8519 12056 3775 5876 14278 6393 18618
"200005_at" 15070 3760 8869 18295 21038 16384 4355 4407 2606 17563 12928 18111 16114 15788 5834 18113
"200006_at" 16253 2374 8707 5247 5007 4833 6617 5224 16658 5481 13237 16205 6781 13475 3657 6449
"200007_at" 13922 14791 19355 18024 15509 4203 7425 19189 18256 7592 14013 16928 6558 5587 5887 6966
"200008_s_at" 13640 14919 10886 17684 14975 4823 2398 6336 17885 19418 13072 3472 13863 17387 18430 16234
"200009_at" 13638 7802 7653 7300 4158 17975 2953 6178 16455 18487 16198 16137 15180 15068 8295 7373
"200010_at" 4157 2879 9252 2059 14983 17203 7199 16271 4873 13424 5762 7396 5351 8973 17200 6680
"200011_s_at" 2321 7948 3893 3752 15740 16689 6836 16795 4826 6921 16648 17140 14499 16527 3196 17313
"200012_x_at" 13527 15371 21138 16572 8610 16939 17603 15956 18673 13391 13057 18209 17014 8936 18882 17165
"200013_at" 3510 4639 10245 14863 2911 2822 18571 6010 17095 7652 12635 16421 4876 16243 17454 16177
"200014_s_at" 13835 15301 18853 14700 4255 21034 18051 5779 17001 8186 12781 3510 4894 6354 17944 16475
"200015_s_at" 14948 15963 9205 16359 17321 17691 17595 17980 17624 3508 14998 5828 4521 15152 5290 7092
"200016_x_at" 5722 7708 19379 7350 4713 16677 5253 17665 6251 13368 5514 7434 5680 8907 7901 16479
"200017_at" 15012 15274 20485 3486 9174 16445 17390 8242 16272 13505 7987 11296 9628 9071 7545 18161
"200018_at" 14010 3407 6729 14102 16397 3942 17305 4895 4198 13496 7981 3967 9612 9060 8247 16080
"200019_s_at" 14492 16747 11175 6390 5467 18917 7130 6875 16652 13468 13962 17033 7353 9037 18254 17731
"200020_at" 16388 7857 10066 19618 21452 16491 5111 7235 2162 5814 15012 17447 14986 6008 8327 17018
"200021_at" 14003 15536 6507 14326 9074 3017 21140 20398 3426 17597 15846 18061 9764 9171 20373 18636
"200022_at" 14487 17822 19919 18210 5418 17262 6164 5842 16393 13436 13429 17543 6632 8988 19558 7227
"200023_s_at" 16692 20082 9726 15440 5512 18632 17621 18841 16105 7231 13655 16042 5743 13520 4679 6032
"200024_at" 5853 7187 20605 16567 4837 4795 18553 7681 18553 13471 12157 18480 6073 13920 7188 6206
"200025_s_at" 15509 4691 18494 3482 14937 16410 19830 18196 17914 13494 4978 5161 6410 9059 7691 18358
"200026_at" 19411 17874 8609 5349 5350 16862 17565 16031 18726 13599 8083 7815 9770 9173 18459 16285
"200027_at" 16873 6385 11005 4453 17219 17201 6317 6860 19401 17702 15350 8190 15462 16947 4293 17099
"200028_s_at" 13529 5933 9409 1450 19552 20608 18245 6697 18802 9589 15947 6183 15835 13433 17516 20172
"200029_at" 16590 19153 19531 7259 3340 3769 19485 5266 16849 13459 12884 19841 17976 9025 17463 17228
"200030_s_at" 13659 15091 18687 18531 15938 16963 7599 17297 15678 11509 12345 7655 13861 14192 6778 16413
"200031_s_at" 16016 15610 19068 3631 9098 16495 17860 17233 18057 13487 7975 7664 9601 9055 17606 18108
"200032_s_at" 16216 2734 11020 4338 9014 16485 18763 5386 17378 13508 7990 18063 9631 9076 7734 5117
"200033_at" 19951 7441 11157 18182 18064 18475 5690 6967 16084 5026 5357 4297 5687 6576 17751 18545
"200034_s_at" 5217 7553 7424 6997 15616 17615 17362 5074 16356 9872 4601 8536 7576 15372 17123 18813
"200035_at" 15167 15602 3568 21539 4715 18623 2090 17719 17483 18345 19412 7089 16447 2161 20221 19692
"200036_s_at" 17449 5356 8416 18651 15199 3184 17126 17648 17893 11037 12497 17297 14193 16223 7475 16771
"200037_s_at" 18030 5958 8693 19235 19295 18557 6871 3170 4840 3806 3555 2845 3870 6714 5424 6664
"200038_s_at" 14330 17183 9654 3912 16778 4259 18247 6380 3123 13579 13211 16252 7410 9147 19307 5804
"200039_s_at" 16932 7592 5902 5135 5043 4964 4276 6337 17466 7087 18037 18474 14981 16839 7856 16264
"200040_at" 15205 19326 18553 19876 17658 17332 6357 19062 16347 9954 14229 8438 14375 13881 4790 7252
"200041_s_at" 5074 18053 8863 19416 15932 18177 19212 7587 5322 9445 16983 16973 15747 14119 6747 4929
"200042_at" 15746 6680 10119 7298 15338 17907 19041 17165 6286 9301 17633 16086 18373 13275 7465 18955
"200043_at" 14307 16828 9634 13991 17287 19178 16977 18659 20029 8365 12539 757 7135 18177 6359 17486
"200044_at" 13912 16746 20051 17402 16946 2863 3208 16851 16635 6036 17055 4305 5312 6674 2914 6054
"200045_at" 3356 14435 3932 19507 20301 18650 7558 5910 17126 17490 14259 20423 17364 15558 17827 17347
"200046_at" 15463 4931 11087 18926 19625 19576 4217 16375 3560 3258 15369 6324 5634 15309 4826 5279
"200047_s_at" 16319 17328 6744 19002 19037 20033 2591 18219 2651 7527 12629 5560 4675 13626 7779 18998
"200048_s_at" 3770 16736 7070 17044 18205 5003 21084 6062 15610 9857 13032 8325 4361 13575 5295 16415
"200049_at" 5456 6441 9914 16103 19367 17054 17441 17778 19238 6156 15207 4808 14002 17748 21075 6754
"200050_at" 19364 2453 5401 4759 19558 3061 18515 2928 15407 8853 4116 7988 1268 3237 20094 5108
"200051_at" 20004 21154 8866 13539 4111 19501 19944 3682 17161 18146 15267 5758 16277 21118 2160 4456
"200052_s_at" 14134 15790 7394 13516 15187 16289 4612 7161 17545 7228 15570 8632 7417 5566 7578 6953
"200053_at" 16267 20792 3309 3824 16676 19602 2599 18463 3297 8789 21567 1718 17833 20834 21851 17757
"200054_at" 18605 3756 6442 15019 19996 21438 19017 4228 18086 8982 2436 8046 16292 7318 19723 16616
"200055_at" 14409 18943 7425 14847 4170 4523 19767 16466 16029 6677 16756 20434 17049 15789 17224 5097
"200056_s_at" 19490 2795 10537 2930 19327 16334 20509 16638 16476 7706 5066 2002 3150 15431 3439 20342
"200057_s_at" 18821 7694 10772 7059 5491 16576 18327 19289 5577 9834 13184 7571 14738 16809 6710 17285
"200058_s_at" 3004 16763 19904 19610 16457 18489 21336 19749 18610 9584 17824 8344 17276 16436 3794 16769
"200059_s_at" 2016 5692 19954 13924 3755 4773 6411 16261 17131 7521 6268 6144 15185 6769 7559 18766
"200060_s_at" 14048 15475 7081 5683 18388 19550 18049 16091 18706 7879 14956 16914 15493 5299 8142 18984
"200061_s_at" 13797 17536 20108 6055 9153 16737 17187 17520 15586 13485 7974 11256 9598 9053 19640 17758
"200062_s_at" 15143 6117 10671 5060 8947 3716 17786 16587 17175 13411 7891 11059 9473 8961 19418 16929
"200063_s_at" 5676 6851 11573 6892 9085 4756 6745 7934 18896 13538 8014 11376 9667 9100 19003 16137
"200064_at" 5042 16507 4172 14791 15365 17189 17596 5535 4286 5529 13149 7606 5330 16323 6699 16812
"200065_s_at" 15409 14840 11207 15693 16108 17755 4107 6165 3233 10790 13835 18201 17057 5098 5137 16842
"200066_at" 3357 6055 19270 16365 4531 2715 19429 17548 3651 7380 14160 18799 2507 7200 5410 5015
