"inst_2452" "inst_5415" "inst_6314"
"200659_s_at" 12913 10392 6366
"200660_at" 5429 6816 17613
"200661_at" 6669 8265 18931
"200662_s_at" 20328 5326 4950
"200663_at" 6888 4729 6454
"200664_s_at" 11966 19262 19721
"200665_s_at" 16956 12389 15487
"200666_s_at" 3501 8929 16376
"200667_at" 11363 5557 8862
"200668_s_at" 7866 11249 7761
"200669_s_at" 6436 10621 4893
"200670_at" 7580 2850 2896
"200671_s_at" 19312 105 22223
"200672_x_at" 7872 7276 5113
"200673_at" 3479 5210 5687
"200674_s_at" 19754 20345 18091
"200675_at" 8941 4702 7893
"200676_s_at" 1810 11742 8138
"200677_at" 11287 9729 19110
"200678_x_at" 6220 7487 19921
"200679_x_at" 3658 7624 16555
"200680_x_at" 11855 11371 5911
"200681_at" 11750 9695 6987
"200682_s_at" 8966 9328 8792
"200683_s_at" 10081 8258 18332
"200684_s_at" 11921 10321 21526
"200685_at" 5113 19854 17609
"200686_s_at" 3325 5802 1955
"200687_s_at" 6283 7502 18339
"200688_at" 8597 19499 21173
"200689_x_at" 19717 19504 19611
"200690_at" 11714 4509 4501
"200691_s_at" 12331 7376 5210
"200692_s_at" 8605 6030 8070
"200693_at" 10208 5841 5837
"200694_s_at" 10146 5518 8211
"200695_at" 20252 20841 5200
"200696_s_at" 20267 8940 11298
"200697_at" 7047 18667 18645
"200698_at" 7039 7024 7125
"200699_at" 4483 3682 18772
"200700_s_at" 6994 7421 16655
"200701_at" 8008 9032 17695
"200702_s_at" 8767 11305 20280
"200703_at" 10369 2544 5593
"200704_at" 3906 2644 15971
"200705_s_at" 15039 11154 16731
"200706_s_at" 1108 8570 20758
"200707_at" 7107 19072 8469
"200708_at" 19716 8095 18254
"200709_at" 5608 2642 4090
"200710_at" 19488 9365 6221
"200711_s_at" 6024 9540 17405
"200712_s_at" 10124 4911 8458
"200713_s_at" 12588 19119 17671
"200714_x_at" 5008 9049 16927
"200715_x_at" 19728 11635 18921
"200716_x_at" 15350 18589 19404
"200717_x_at" 15162 14014 11294
"200718_s_at" 10405 8917 4826
"200719_at" 20605 2147 17197
"200720_s_at" 11235 11574 17488
"200721_s_at" 3186 5428 6728
"200722_s_at" 900 3192 6262
"200723_s_at" 8078 10119 16008
"200724_at" 7864 5187 16621
"200725_x_at" 21497 11699 8421
"200726_at" 11523 11479 16521
"200727_s_at" 4940 9788 3772
"200728_at" 6786 6416 17583
"200729_s_at" 6723 2011 7174
"200730_s_at" 397 8162 17858
"200731_s_at" 599 1834 18190
"200732_s_at" 2680 10405 5658
"200733_s_at" 2189 1487 3013
"200734_s_at" 20226 20936 8416
"200735_x_at" 15258 14073 18043
"200736_s_at" 11743 16500 16530
"200737_at" 10581 2021 5820
"200738_s_at" 11875 9055 6067
"200739_s_at" 9162 9007 7932
"200740_s_at" 11260 9700 5423
"200741_s_at" 15007 13946 16063
"200742_s_at" 19884 19734 20240
"200743_s_at" 12051 9132 8856
"200744_s_at" 4459 10010 4499
"200745_s_at" 9687 4802 6024
"200746_s_at" 19503 2790 17141
"200747_s_at" 2375 18530 21384
"200748_s_at" 56 11244 18815
"200749_at" 7524 6206 7007
"200750_s_at" 10128 10072 17544
"200751_s_at" 1586 4328 16992
"200752_s_at" 4705 4961 20399
"200753_x_at" 6795 7001 6095
"200754_x_at" 9344 8487 8349
"200755_s_at" 3494 9472 17125
"200756_x_at" 8152 10816 18716
"200757_s_at" 3390 5398 16822
"200758_s_at" 3945 19939 18597
"200759_x_at" 12852 7833 5211
"200760_s_at" 8194 8767 16657
"200761_s_at" 11586 5788 6941
"200762_at" 20193 9305 16772
"200763_s_at" 15276 14084 17031
"200764_s_at" 4502 18927 10341
"200765_x_at" 21430 8757 13632
"200766_at" 2180 3358 21333
"200767_s_at" 5420 1953 19057
"200768_s_at" 11224 6440 8661
"200769_s_at" 11562 6903 20178
"200770_s_at" 21104 11379 2881
"200771_at" 5136 19214 2941
"200772_x_at" 11639 19442 20224
"200773_x_at" 11020 10948 5636
"200774_at" 9953 19563 18950
"200775_s_at" 11368 9161 6414
"200776_s_at" 1320 8298 16025
"200777_s_at" 4895 5402 19047
"200778_s_at" 4250 7893 6338
"200779_at" 19737 18507 18115
"200780_x_at" 11169 19940 17251
"200781_s_at" 19618 20814 8236
"200782_at" 8379 5895 17008
"200783_s_at" 8598 4404 8145
"200784_s_at" 16495 14261 13066
"200785_s_at" 14338 17711 9676
"200786_at" 10458 8849 17289
"200787_s_at" 4440 20657 18952
"200788_s_at" 6444 6532 19678
"200789_at" 3879 3198 8598
"200790_at" 3441 18852 8133
"200791_s_at" 4986 9294 16763
"200792_at" 10792 18859 18756
"200793_s_at" 7032 9644 7363
"200794_x_at" 7945 9496 3897
"200795_at" 17374 589 18638
"200796_s_at" 2212 7252 20723
"200797_s_at" 4700 19610 4608
"200798_x_at" 3819 7499 5807
"200799_at" 18630 8649 4673
"200800_s_at" 7541 8070 16319
"200801_x_at" 14966 19283 16262
"200802_at" 12751 19789 16113
"200803_s_at" 9949 11514 18167
"200804_at" 10149 9494 8074
"200805_at" 11836 7447 16046
"200806_s_at" 7156 10763 6640
"200807_s_at" 11988 10674 8318
"200808_s_at" 7371 3085 19871
"200809_x_at" 14985 20651 18526
"200810_s_at" 6905 2951 16101
"200811_at" 4914 4743 5106
"200812_at" 8619 10203 17452
"200813_s_at" 6127 9969 7854
"200814_at" 19854 10987 18860
"200815_s_at" 9938 10290 16857
"200816_s_at" 3736 5763 6873
"200817_x_at" 14982 13930 11172
"200818_at" 9635 19112 18871
"200819_s_at" 15173 18783 17062
"200820_at" 10961 18940 17832
"200821_at" 2611 1232 5129
"200822_x_at" 11446 19332 8282
"200823_x_at" 12779 9757 8393
"200824_at" 11670 4877 20404
"200825_s_at" 4042 10777 17789
"200826_at" 11044 8679 8543
"200827_at" 7504 7403 4983
"200828_s_at" 7725 19679 17806
"200829_x_at" 11655 8394 5336
"200830_at" 5645 7654 20233
"200831_s_at" 6077 9047 2992
"200832_s_at" 9941 7486 2301
"200833_s_at" 2932 2300 3514
"200834_s_at" 15061 12020 16009
"200835_s_at" 841 10429 8404
"200836_s_at" 1696 2609 20581
"200837_at" 8914 11675 17116
"200838_at" 358 5567 6401
"200839_s_at" 2140 6560 6618
"200840_at" 20366 7908 5008
"200841_s_at" 9627 12013 16567
"200842_s_at" 20955 11972 7135
"200843_s_at" 12366 9334 8097
"200844_s_at" 10661 18611 16581
"200845_s_at" 8412 9674 6727
"200846_s_at" 7898 8999 17814
"200847_s_at" 10371 8516 8846
"200848_at" 8586 19125 17347
"200849_s_at" 8378 3360 5289
"200850_s_at" 9803 7950 4680
"200851_s_at" 4076 21488 4677
"200852_x_at" 5596 7188 4095
"200853_at" 7597 4931 8612
"200854_at" 5318 7926 16358
"200855_at" 20551 1534 17099
"200856_x_at" 9375 4153 8210
"200857_s_at" 6236 8553 3765
"200858_s_at" 8282 8800 19287
"200859_x_at" 4203 7233 16871
"200860_s_at" 10351 11562 8073
"200861_at" 6989 4749 19427
"200862_at" 10090 5585 17721
"200863_s_at" 12420 11497 7468
"200864_s_at" 1550 826 3401
"200865_at" 15415 2785 19686
"200866_s_at" 6840 7144 6419
"200867_at" 9684 19343 17835
"200868_s_at" 1739 9630 18799
"200869_at" 15025 18705 17623
"200870_at" 8227 10846 8759
"200871_s_at" 4941 6412 5716
"200872_at" 11472 20927 17073
"200873_s_at" 12119 9892 8683
"200874_s_at" 12757 9211 19449
"200875_s_at" 20756 4962 6048
"200876_s_at" 9102 9429 16715
"200877_at" 11512 19201 18576
"200878_at" 888 6781 19264
"200879_s_at" 19057 14416 1309
"200880_at" 6319 5047 4172
"200881_s_at" 5385 8336 7511
"200882_s_at" 12411 6457 8405
"200883_at" 3460 2812 18478
"200884_at" 20253 6642 8295
"200885_at" 5569 4725 16824
"200886_s_at" 11312 9438 8121
"200887_s_at" 1466 1591 4105
"200888_s_at" 11153 11922 8432
"200889_s_at" 5441 2562 16024
"200890_s_at" 3141 6127 7728
"200891_s_at" 9926 2256 17521
"200892_s_at" 4882 4463 5921
"200893_at" 11517 7664 6952
"200894_s_at" 7306 7175 20870
"200895_s_at" 2591 5697 21193
"200896_x_at" 9518 11367 18655
"200897_s_at" 11536 8152 18094
"200898_s_at" 2811 11123 20317
"200899_s_at" 12761 10772 5714
"200900_s_at" 10056 8396 20891
"200901_s_at" 10417 7146 2103
"200902_at" 9368 3920 6928
"200903_s_at" 10912 19451 7607
"200904_at" 4911 22026 3802
"200905_x_at" 8622 9670 18390
"200906_s_at" 19435 18926 19748
"200907_s_at" 17402 4797 17400
"200908_s_at" 1882 376 1901
"200909_s_at" 15085 18910 19066
"200910_at" 7307 9884 4860
"200911_s_at" 8864 20093 16412
"200912_s_at" 12089 8726 6220
"200913_at" 20176 8851 20634
"200914_x_at" 3749 1344 7753
"200915_x_at" 4902 2446 5356
"200916_at" 11905 11362 18851
"200917_s_at" 2436 990 1777
"200918_s_at" 7840 19116 18792
"200919_at" 8426 7151 17262
"200920_s_at" 2209 10184 20463
"200921_s_at" 1558 3860 2763
"200922_at" 7186 3272 8383
"200923_at" 18501 18925 8256
"200924_s_at" 7823 8300 1866
"200925_at" 10849 10459 7879
"200926_at" 15278 14085 11409
"200927_s_at" 3416 1459 3861
"200928_s_at" 514 132 10302
"200929_at" 12194 3053 6270
"200930_s_at" 2538 12317 568
"200931_s_at" 9897 8938 17967
"200932_s_at" 9105 4293 19567
"200933_x_at" 15224 14053 6271
"200934_at" 9723 2242 5075
"200935_at" 21767 6204 20643
"200936_at" 15239 14058 19517
"200937_s_at" 12292 10820 18262
"200938_s_at" 18415 19318 15948
"200939_s_at" 20419 15319 19580
"200940_s_at" 19887 18568 7521
"200941_at" 9858 7195 17101
"200942_s_at" 4097 19163 19207
"200943_at" 6097 6036 3832
"200944_s_at" 6742 18532 6416
"200945_s_at" 6536 4386 16755
"200946_x_at" 6554 11149 4861
"200947_s_at" 3582 5141 18070
"200948_at" 7323 10994 8556
"200949_x_at" 11520 19298 17335
"200950_at" 5328 20346 17841
"200951_s_at" 21499 14632 14490
"200952_s_at" 3124 1817 12099
"200953_s_at" 20152 6233 10443
"200954_at" 6579 2523 4690
"200955_at" 3454 19885 18247
"200956_s_at" 8968 7634 17056
"200957_s_at" 9187 11676 20733
"200958_s_at" 9845 6562 5488
"200959_at" 21118 11141 18780
"200960_x_at" 6598 19066 18610
"200961_at" 20076 4388 5346
"200962_at" 5223 1806 21764
