"inst_267" "inst_268" "inst_382" "inst_638" "inst_703" "inst_1015" "inst_1073" "inst_1176" "inst_1235" "inst_1660" "inst_2695" "inst_4459" "inst_5232" "inst_5595" "inst_6194" "inst_6952" "inst_6994"
"1007_s_at" 13347 10241 14813 6716 19926 3442 4552 4441 17791 8204 911 17202 5244 11694 21385 6210 7329
"1053_at" 3700 3912 12513 7019 5184 13028 5637 6261 17169 6270 6423 8741 18401 8711 3466 9380 5524
"117_at" 16845 18005 16743 16234 6166 11429 17936 21769 10267 18096 7958 5033 4163 18779 11572 12544 14182
"121_at" 13850 9039 19026 5328 16648 16597 19081 8389 20177 1272 20452 8292 2934 2000 1965 6801 2567
"1255_g_at" 16554 16832 14722 6754 15934 7857 10914 13359 7871 13905 13991 14102 8611 18744 4570 13946 10566
"1294_at" 13091 9759 4305 5518 17269 12017 13851 9038 10449 14566 6748 5370 5678 13413 13561 16026 18017
"1316_at" 21777 20044 18776 7387 19077 5708 14486 8576 18314 7848 12011 7358 19490 6029 19612 16996 2251
"1320_at" 4298 17610 720 21244 6696 7358 10938 11270 9384 14962 13175 20591 4390 4202 3184 18724 10231
"1405_i_at" 9032 11594 7845 12234 10385 7671 17657 19645 7679 11456 8094 14083 13952 18460 13046 16083 12818
"1431_at" 19374 18576 517 10340 14702 10150 15709 21309 15965 15301 10876 18824 16551 1687 20778 13344 17698
"1438_at" 19083 15422 20601 3258 18253 15220 16347 12952 10075 9145 12938 18707 21953 11233 1303 19126 18140
"1487_at" 4674 3537 15697 1526 2482 3717 1207 21537 18549 19466 18230 18328 2874 10321 14772 3942 19546
"1494_f_at" 13493 17801 21230 1588 18090 1664 18220 21487 2225 5897 12257 19795 8030 21183 1858 15471 732
"1598_g_at" 17646 9729 17609 3709 4494 2723 5502 15242 21708 8470 3297 18552 16836 20355 2623 8906 72
"160020_at" 18450 9585 20548 8744 22031 7345 9261 1241 16950 13987 1964 21518 3590 636 20259 16803 2749
"1729_at" 1022 5639 14231 19325 19616 15284 5193 20581 5083 20336 7838 7198 1954 6262 3989 9655 7384
"1773_at" 14831 7745 17727 18456 6084 19978 19792 3796 6802 2961 10000 20628 21903 8680 20995 13135 3649
"177_at" 18405 19238 16922 10983 10636 10745 16555 1077 10471 17583 1132 1620 11397 6718 18160 12939 11872
"179_at" 17470 9840 18448 6666 19492 6567 15148 314 1703 21294 5424 17083 22066 5218 11792 16194 19202
"1861_at" 12690 15536 12883 16454 4129 21141 3411 2340 19528 21269 1795 20503 17456 9979 3144 891 20709
"200000_s_at" 4718 2718 13493 19166 17414 14244 21235 20402 17000 8757 10995 9663 4205 20293 17698 4667 20262
"200001_at" 16742 18826 14305 18849 2047 16560 5445 6600 16960 9136 9749 18482 18329 11288 14938 8297 18047
"200002_at" 1651 5694 4457 5233 17160 16705 6137 8282 17089 9102 9179 10234 6883 12403 13811 10005 19338
"200003_s_at" 4448 10134 2504 17738 2353 6714 6128 9822 14779 8368 14257 13070 7010 14348 6076 19622 9325
"200004_at" 6070 3993 15033 8521 4847 15648 4116 8468 17802 9840 8569 10795 15355 9027 17613 5730 8649
"200005_at" 4646 8659 2915 18868 3981 13763 4273 9432 6389 6117 18494 9647 6817 11814 15812 5064 7705
"200006_at" 7869 15905 1905 17291 4895 13495 6776 9349 15596 8702 9946 8967 16415 11555 16019 5583 8126
"200007_at" 15101 15532 4073 5629 4304 16473 2570 5648 15158 5058 8778 8515 17290 10861 14042 9566 18201
"200008_s_at" 5474 6954 12583 17362 4708 17223 6962 2534 4781 9637 18992 20120 22113 8836 11687 10649 7069
"200009_at" 3640 5599 4187 7059 6200 14279 7506 8696 15850 9267 11358 17060 16499 12630 12181 9576 18605
"200010_at" 5511 10439 4209 20676 662 3280 6879 8781 16055 9154 14259 10434 15308 12064 6078 9199 9308
"200011_s_at" 20172 16492 18010 4480 2615 16970 4929 10216 3479 19035 10473 10327 15295 12087 17782 2965 18506
"200012_x_at" 14208 15287 11568 8095 18169 6825 19740 20833 16919 19932 18245 18474 15464 21519 6038 20733 18765
"200013_at" 3030 7341 3262 8172 3061 13213 7247 7880 15308 19005 9195 17329 7199 12875 10735 10444 18397
"200014_s_at" 3796 5792 2316 16798 5972 14011 4120 6103 16155 7501 8821 5265 5888 9667 18077 6042 7280
"200015_s_at" 5209 3568 2561 6025 20413 13332 3022 5213 19324 4990 9269 4360 5579 4113 16411 4355 5983
"200016_x_at" 13262 5777 3070 16001 5731 15059 6785 5308 18474 9226 14202 9284 5968 13932 6009 9569 7499
"200017_at" 7714 15452 12972 4208 3600 12684 6463 9507 6330 9298 14338 13142 10886 20671 6183 10121 9593
"200018_at" 12739 10361 5383 7837 5664 14517 7489 19320 17204 20140 14330 13136 6898 16608 6175 10804 19220
"200019_s_at" 2532 9028 1574 18030 3780 12789 20290 19187 4803 19631 14304 11009 5120 14478 6145 19580 19140
"200020_at" 7621 16177 3678 17540 18299 18596 4459 10127 19467 5160 18883 10501 5880 10920 17263 10076 20003
"200021_at" 17409 18175 17210 16610 2913 7032 6090 19027 6395 8988 14423 13224 7528 20775 6273 21345 20313
"200022_at" 1009 3496 11565 6574 1777 15014 19795 9947 4764 19092 14273 11088 15553 14537 6094 19955 18975
"200023_s_at" 2837 5330 1160 8500 4141 16227 2629 6511 6920 6636 7777 5454 6640 8213 14476 6363 6197
"200024_at" 14485 17334 1343 20918 2376 13066 6074 19212 14697 19746 14307 17742 16303 14269 6148 10638 19229
"200025_s_at" 5446 10653 2408 8857 2976 13330 4125 9217 15860 9949 14328 8324 5238 13459 6173 9531 8362
"200026_at" 5272 18334 12918 21110 20121 2538 4477 19064 6987 9507 14426 13229 4607 21265 6277 19775 19608
"200027_at" 3412 3899 2998 5861 5653 17280 3604 19389 17385 7659 18298 6885 8136 7417 18973 2931 5632
"200028_s_at" 5547 1306 2918 7279 6349 14240 20769 8905 18065 19413 18232 17597 6787 11861 17901 6953 18916
"200029_at" 14233 15966 2641 18772 2739 2199 6337 9850 14534 8117 14295 10561 18213 20886 6129 19450 8590
"200030_s_at" 16117 16762 4861 9016 18082 2958 4673 7406 14874 9467 11514 10720 16771 13819 15229 9003 18617
"200031_s_at" 5641 9924 4533 18161 2058 6771 20927 19462 6874 19748 14322 13131 6968 16601 6167 20575 20181
"200032_s_at" 7410 15584 2654 17709 2578 7117 20064 20304 4322 20230 14340 13145 8124 16621 6187 20202 18469
"200033_at" 7997 6799 16424 5802 16356 16953 4793 6694 16685 9938 7483 10586 15628 8177 14267 8774 8829
"200034_s_at" 13324 8662 13304 8973 6060 2935 7399 9356 6498 19320 10945 18238 7341 20940 10656 10703 9463
"200035_at" 21954 19177 20559 8349 3416 15475 21527 8356 17808 8019 18036 8798 886 6604 2881 20702 20735
"200036_s_at" 2978 8726 2091 17780 2697 15591 20687 19233 6216 18989 11838 9120 17257 13780 11000 19570 19062
"200037_s_at" 14787 8479 3603 8276 3979 17501 4200 8257 15877 4022 9443 6427 5309 6393 16981 7022 3455
"200038_s_at" 5179 9989 11593 7170 4118 14885 6976 20149 14612 8465 14403 10762 16208 14460 6253 20071 9437
"200039_s_at" 7988 17191 4288 8020 5862 3236 6809 19204 4141 19491 11904 10803 15698 10265 12517 9118 18658
"200040_at" 13699 15587 3860 8992 5381 19190 5383 19876 17464 6952 19092 10626 6821 11558 18508 7151 18326
"200041_s_at" 6363 5160 12261 7057 5749 16320 7466 9944 14741 8786 20277 9099 6340 13699 18877 6237 9680
"200042_at" 2333 2330 17142 5623 5375 14622 6282 7370 6926 5779 9996 10333 6129 11488 16502 6259 18175
"200043_at" 17045 15643 13511 2823 5741 18576 2472 5514 18216 9374 10094 4021 4464 12910 19650 8548 5366
"200044_at" 14021 16542 13573 8234 5148 16380 6694 5326 19996 19495 10403 11176 8097 8825 17378 6813 7143
"200045_at" 1803 2950 12635 3540 4536 15127 4501 20793 18591 8316 19890 17695 3352 10534 17895 6567 6898
"200046_at" 13057 18469 1702 6904 5172 19213 1035 1916 18185 1024 3061 5037 18095 5172 13510 5397 4997
"200047_s_at" 16250 5393 16565 3042 16698 18318 4046 8083 15284 5573 19563 5453 5998 5459 19980 6308 6302
"200048_s_at" 12819 8733 5077 8417 3759 16862 7623 9373 14868 9197 10542 5609 15454 5560 18693 8130 18121
"200049_at" 16329 6824 20852 6573 2692 20373 6088 4288 17229 19311 8078 5862 16275 5786 12928 2688 9493
"200050_at" 3077 2691 4428 6707 6090 20627 1209 9102 14936 19059 18786 6137 4402 6515 3008 4388 1561
"200051_at" 2504 8142 4632 6140 3433 2744 21705 19987 3944 9140 7927 17475 1119 12755 13658 2020 5726
"200052_s_at" 4098 7161 13471 8176 1993 14875 5647 9595 17098 8029 11206 17170 17964 10784 18479 8374 8460
"200053_at" 7394 17379 3410 4045 1356 17605 19122 4422 232 8080 4017 2925 1040 11167 3043 21784 20702
"200054_at" 5252 3280 1328 7379 3218 13257 1299 20864 14816 3200 12427 2839 3448 4136 19991 9661 19823
"200055_at" 16515 17850 16662 2869 16830 3197 6889 7569 2449 8804 8265 4336 6591 10660 15122 5097 7296
"200056_s_at" 18045 9370 12775 4725 1656 21583 1785 7173 20147 1378 6380 2633 15387 1923 16918 5443 8275
"200057_s_at" 14987 8181 4499 9018 5485 2934 6479 9029 6878 18895 11395 10632 16287 12132 14358 7891 18264
"200058_s_at" 2790 1449 15945 4040 18761 16538 19088 10267 17958 7480 7359 10951 4497 12043 18090 5894 18431
"200059_s_at" 20250 8621 11533 6701 5866 19201 7519 5842 15835 6360 7936 8975 20359 10100 12887 7878 9603
"200060_s_at" 14440 5711 12080 8403 4379 15234 6579 19438 17374 7882 12092 6055 6466 8600 17550 6856 18639
"200061_s_at" 13434 18069 11879 8177 18798 6862 19064 10037 9851 9777 14320 17212 10854 16598 6165 20611 19765
"200062_s_at" 13999 17413 12471 8045 5219 6747 18899 9643 6699 19675 14245 13056 10694 16505 6063 20932 19331
"200063_s_at" 14011 9462 14862 3933 17491 16545 19553 9750 15580 19260 14365 17110 15532 20640 6212 19844 18881
"200064_at" 7528 9971 12122 16516 19711 14972 5921 19484 16255 20239 18583 18883 15290 13480 14320 10670 8486
"200065_s_at" 14594 10303 5034 16592 2813 13480 6526 8302 17199 7630 11467 18084 18675 13239 16226 6573 8156
"200066_at" 1307 7103 11620 7810 3805 15769 2617 9697 17403 9654 11190 19103 7783 12524 12452 6743 19819
"200067_x_at" 17707 9610 5434 4134 4195 13568 7182 9240 15215 6821 8787 5623 20209 10890 17234 4944 8781
"200068_s_at" 13436 5204 11465 3178 5636 14123 5983 6821 19417 8134 6931 8197 7188 6695 12473 5536 6169
"200069_at" 17606 3607 21200 16314 2239 17803 2357 7966 20769 1918 19227 3620 7786 3032 16088 20047 3196
"200070_at" 19976 17433 5170 6042 5405 20258 6359 7862 1357 21401 11219 8529 2858 6811 4160 6705 18164
"200071_at" 13477 6025 2881 8043 17844 20570 3082 1073 19116 2569 7977 3358 5769 2762 16412 4134 7667
"200072_s_at" 2905 5269 11756 19171 18982 15839 7579 9370 18114 9182 19182 19947 15726 8891 17436 8799 9462
"200073_s_at" 2735 4752 5236 19150 1971 15735 3676 9234 18749 9254 18281 8634 6693 9055 17483 7533 4138
"200074_s_at" 3250 16824 3571 18666 5150 12836 19365 20068 16482 9958 9174 18588 15986 10874 4462 9822 19093
"200075_s_at" 3146 8673 12045 16933 3492 15304 6607 7287 6605 9207 10236 9975 7017 9839 13272 10831 18592
"200076_s_at" 1223 3418 4466 19872 4906 15666 6573 4586 2089 20463 10242 18787 17316 4732 12557 6019 8210
"200077_s_at" 7272 8481 3722 16040 6341 14339 2296 8092 17139 8065 9244 10841 7295 12477 10611 10377 9190
"200078_s_at" 3867 6750 3968 7868 4723 19205 4657 9833 15984 5753 12194 6969 7068 5349 16617 2935 5925
"200079_s_at" 7282 6791 14442 7064 18486 14235 5541 19368 5544 9961 20206 16894 18466 13046 20130 7322 8507
"200080_s_at" 14869 9226 15708 4823 2877 13136 2047 6320 14912 8287 6438 9018 6752 14126 10594 8606 7811
"200081_s_at" 3382 16829 2362 18593 2992 13145 19850 7020 15110 8036 8351 17193 6986 13319 11435 19965 18614
"200082_s_at" 14225 15863 4190 18453 5550 12755 7145 19990 6534 9181 14356 18151 18658 20607 6202 10396 18210
"200083_at" 7437 4852 18781 7648 18155 20500 1216 20647 20482 5073 7823 10652 3033 9474 20396 7900 7661
"200084_at" 14486 5671 4088 4449 1259 19284 4645 5109 17908 7407 9621 4760 18316 6104 16292 4498 8662
"200085_s_at" 2818 9323 1717 18739 1699 14090 19788 8611 14859 8296 10663 10924 5521 12242 16873 9851 18270
"200086_s_at" 5660 7120 4377 8459 5339 3241 3997 6035 19208 9487 8709 6148 6271 11976 17239 8699 18498
"200087_s_at" 6689 6849 5037 4819 2773 13377 1865 2299 14957 4896 2444 18100 5535 4798 11374 3404 6801
"200088_x_at" 6065 16789 4483 6463 5025 7174 19915 19483 6496 19159 14254 13065 7640 16515 6072 19951 18331
"200089_s_at" 6176 7616 3595 6967 2351 12723 19093 9525 5124 9873 14387 9044 6006 11612 6238 20005 7208
"200090_at" 5155 3611 4912 17559 18288 18437 2710 6066 6837 21635 9204 5052 16991 8863 20265 7179 19195
"200091_s_at" 7826 8105 3853 6195 338 14569 5954 10066 15588 9955 6497 16986 4548 12188 6111 8061 19539
"200092_s_at" 12859 17293 5299 4313 5477 6850 7185 19801 3715 20189 18250 17803 5872 21665 6216 20021 9572
"200093_s_at" 6708 9038 5450 7138 2862 15563 4672 4247 4367 4419 5298 3328 18770 9419 18186 7426 8646
"200094_s_at" 14155 9138 14291 8686 2292 12989 6116 9800 15624 6776 11214 19313 19037 20206 12939 10559 19192
"200095_x_at" 5116 6695 3326 8987 3980 6674 20224 19764 14569 19957 14413 13211 7635 16702 6260 20516 18696
"200096_s_at" 4018 7759 4068 7164 3645 17213 424 4639 18818 8603 6665 18907 20640 8259 19753 2845 18756
"200097_s_at" 16216 10194 13498 3665 17178 13578 1879 9331 19479 6978 9967 8829 17289 6204 19179 3834 9518
"200098_s_at" 4840 4608 13390 6097 5539 19263 5146 7849 6928 4124 8065 4823 7664 8497 19003 5842 5257
"200099_s_at" 6510 9877 3423 16273 4377 7260 6669 19515 2143 9135 14370 13170 10980 16659 6218 20397 19045
"200593_s_at" 6308 6913 18971 8244 18270 12994 21312 9746 6894 7712 20794 10736 7826 7597 17831 10142 9223
"200594_x_at" 16135 7294 11449 16167 20790 13426 4713 7290 19359 6288 9898 9048 3933 11010 17218 5683 6329
"200595_s_at" 3458 1763 3728 16369 5475 20638 2349 8482 6710 3196 10771 2142 3876 7126 19885 4395 5374
"200596_s_at" 3020 5227 14313 983 1015 14292 19602 20398 16018 5068 19567 10620 2176 13164 16882 19531 20075
"200597_at" 15420 4529 12484 4753 327 14662 21604 19129 6128 2958 19729 17880 3472 919 20928 8177 18465
"200598_s_at" 3645 4582 1101 8117 3842 12685 673 5589 6464 2171 4325 2881 3907 8050 13212 1796 5209
"200599_s_at" 16358 8214 11655 4309 1270 13637 6201 2720 15595 1889 3346 9871 1907 5967 12629 4440 6351
"200600_at" 10527 12908 9190 14071 16337 9223 9523 6366 18915 12711 8473 8351 14877 17220 17329 11867 17011
"200601_at" 16583 15680 21350 8894 19580 21215 1122 3034 22071 91 5275 3878 1045 20290 3948 603 19422
"200602_at" 13646 2793 469 7807 20549 17798 3311 4204 20854 19648 5410 6975 457 3799 21541 3448 18411
"200603_at" 16752 4418 15069 3177 4760 17569 2211 793 19160 4330 3177 5859 5315 6696 12968 3558 4681
"200604_s_at" 5925 4311 19894 19098 6347 18200 18685 195 19681 5019 5229 16820 18498 7552 3444 6579 8163
"200605_s_at" 13622 6555 12629 19121 18806 15001 2576 2518 3403 7086 2038 11531 21141 8399 3706 2418 4222
"200606_at" 16576 3526 12731 7128 21411 18577 4385 15490 15073 6156 4570 8303 15669 4527 13758 8145 7179
"200607_s_at" 1342 957 15925 20039 18523 15842 20977 4052 16348 7020 9860 6325 17454 13912 16209 19886 6602
"200608_s_at" 20778 9976 3074 3595 1258 16676 1324 6465 16920 3878 5846 3572 16086 6982 15562 3679 5433
"200609_s_at" 12728 1768 3178 5525 16879 14274 3409 20686 5882 8022 20329 19125 15858 10617 14570 10406 20026
"200610_s_at" 17413 9559 14354 4762 19789 17767 2661 19281 6208 4733 12375 5545 7804 10295 19837 9261 4664
"200611_s_at" 3360 3703 13214 20672 5589 15557 7357 4693 17665 5305 10825 9929 15560 11986 16900 8118 18865
"200612_s_at" 14494 17055 14919 3764 18649 1578 1260 1376 3535 2951 10271 21081 77 20551 14288 20442 21326
"200613_at" 4063 6295 3461 19352 6345 14974 6234 4937 19457 9066 7834 17626 6961 12878 14949 7869 19110
"200614_at" 3777 3762 13703 7795 4496 15339 6956 6542 15417 8379 8688 17578 15676 13630 16030 10880 19708
"200615_s_at" 6857 6499 15554 7561 16541 18527 19338 6710 4811 9912 11737 17052 20202 9772 19145 9624 2106
"200616_s_at" 1474 3956 3598 19216 21112 1997 4371 5246 5912 4072 7915 4993 2785 8389 15967 5218 5588
"200617_at" 1562 2204 20918 5553 20369 1354 2730 9847 16405 2223 6639 8361 2603 7013 3493 8623 6455
"200618_at" 16428 6418 14351 6260 5328 17808 5215 3590 14904 6798 3667 17613 4771 11660 3461 3547 7214
"200619_at" 3580 3309 2395 19120 4028 17849 19638 5120 15851 21057 8198 18580 1747 10558 20875 6859 8911
"200620_at" 7022 9599 3456 6736 1162 15338 4185 5593 4962 5708 7630 19217 19690 11433 12204 5902 8653
"200621_at" 14077 10104 12188 7598 933 15219 4016 3288 3761 8058 7553 5180 3417 11767 12397 3461 4044
"200622_x_at" 12822 7661 17961 7515 307 17498 19570 6147 1290 8451 10637 11142 16383 13375 12327 5457 19621
"200623_s_at" 22100 21203 20827 5175 20110 20223 4122 22213 18447 20967 20221 20224 3422 20061 4495 9698 19533
"200624_s_at" 13285 5275 13368 2724 4230 20521 19192 3987 6037 3441 7911 9038 18810 4488 15483 4559 4263
"200625_s_at" 7137 7457 2899 6080 6263 17503 4012 19749 2991 18986 8752 7380 7548 10009 16102 8431 20279
"200626_s_at" 7492 2222 3493 6312 5786 21806 4272 7652 19305 9461 11004 16707 5726 5467 16366 2566 9586
"200627_at" 16771 8793 13021 6259 16320 14028 5969 19108 16586 20396 18047 18284 18451 12670 13431 10495 9232
"200628_s_at" 13121 8544 2805 16663 19014 14290 19781 4792 3200 2546 18442 19320 21738 13543 17589 9831 2960
"200629_at" 2239 871 2773 4224 1636 1780 1812 2535 15841 7902 19375 5334 2998 11643 20446 1883 9058
"200630_x_at" 20555 19759 17029 1206 16387 13920 7349 8741 19112 7994 11940 9186 4768 9938 16352 8214 8920
"200631_s_at" 4696 7254 4541 7955 3892 18057 6622 21029 18824 7570 19709 7217 16837 8595 20732 7271 19455
"200632_s_at" 17327 18772 17826 2330 19205 1794 4516 19704 19897 4936 12390 17115 8098 12515 11350 5311 21009
"200633_at" 6746 10427 4461 8605 2815 13772 18781 7422 6859 19768 14318 13130 7802 13843 13030 9653 9709
"200634_at" 14026 3334 14951 18302 16377 13912 7253 6693 16535 20002 9995 17149 16378 13558 14971 10771 19638
"200635_s_at" 17396 2122 18163 4969 21536 21956 4927 18176 17969 1709 16874 10109 1441 5941 10285 19424 19312
"200636_s_at" 14530 5541 14239 8843 4869 20708 2334 14182 18800 20592 17644 17071 1615 20445 5567 5250 19315
"200637_s_at" 19359 7719 18917 5491 19638 19099 22216 14023 15119 3153 12575 18282 19748 9908 6186 9994 21975
"200638_s_at" 14714 7056 16390 5757 4916 15939 3967 2339 15489 6575 3902 17759 18886 8992 11628 9113 8228
"200639_s_at" 18014 15546 4890 8743 17867 16408 4591 5509 15410 5378 5282 7401 17814 8036 17169 10709 6819
"200640_at" 14536 10053 14146 8284 6486 16651 5985 3651 18759 9706 7065 10845 17484 12669 12911 8990 19700
"200641_s_at" 6428 9866 12566 19432 3208 16828 19698 2774 15755 9107 7451 19028 21902 11415 3741 6903 18382
"200642_at" 5895 9397 4032 6651 2695 14924 6990 9546 15551 9175 11636 16983 17362 11619 16574 8798 18103
"200643_at" 956 2730 4773 17202 3436 14629 2008 8715 2360 2001 4915 18143 1860 14446 2070 8574 3666
"200644_at" 16521 8256 16226 17740 3196 17942 2537 4341 17354 2978 5598 8581 6247 6297 18619 6866 4031
"200645_at" 7128 9705 16015 5543 3764 19170 5267 5762 5414 5494 8140 9799 15191 10572 13798 6747 6071
