"inst_2199" "inst_3634" "inst_3737" "inst_4293" "inst_4759" "inst_6055"
"200594_x_at" 3134 20732 12322 2806 9078 7131
"200595_s_at" 5982 18917 6499 6173 18761 4901
"200596_s_at" 16082 12059 4259 7712 17561 10487
"200597_at" 4611 8026 20914 5093 6846 2431
"200598_s_at" 16792 5337 10024 4005 6390 3977
"200599_s_at" 18172 9799 8551 14853 4810 11396
"200600_at" 8169 13203 12172 8841 18829 12781
"200601_at" 17892 19869 9631 6294 7164 2110
"200602_at" 19877 10591 20073 6633 17884 10245
"200603_at" 8587 18269 8603 6812 9018 4696
"200604_s_at" 21105 7183 3294 18818 19622 8359
"200605_s_at" 4835 8348 7190 18979 19027 5263
"200606_at" 21126 6570 10598 16468 10633 2559
"200607_s_at" 19175 3769 2802 6607 5720 10040
"200608_s_at" 16953 19328 9162 6866 5912 6605
"200609_s_at" 8691 18392 12973 20603 19644 9825
"200610_s_at" 17634 12400 9710 4723 9650 5754
"200611_s_at" 19372 11173 8698 8313 7448 10314
"200612_s_at" 5209 3062 22095 4713 21320 20689
"200613_at" 16322 9093 8683 6762 18619 8120
"200614_at" 17418 19195 9971 15659 10395 17412
"200615_s_at" 15895 3515 8948 6337 19000 4964
"200616_s_at" 3092 4038 8772 6149 4521 6767
"200617_at" 3693 9516 6496 6019 17505 11196
"200618_at" 5675 17935 10877 16519 7989 10855
"200619_at" 16216 10525 4287 19115 5082 4857
"200620_at" 15619 4906 11226 16792 6630 8405
"200621_at" 5362 7299 10264 9140 8980 10195
"200622_x_at" 18828 5318 10019 17417 6111 19600
"200623_s_at" 18295 6044 12917 19194 5686 19691
"200624_s_at" 18224 8246 1969 15059 9152 4395
"200625_s_at" 5447 10857 10494 15771 8362 8158
"200626_s_at" 8461 10803 4599 15650 8559 6053
"200627_at" 18154 9674 9603 17892 17957 11461
"200628_s_at" 21498 5722 1936 20404 21106 18011
"200629_at" 6261 6163 3252 17977 7556 10435
"200630_x_at" 7624 17882 19657 4998 9491 10205
"200631_s_at" 4919 18849 11522 7520 19171 9746
"200632_s_at" 7399 4493 10940 6797 1654 2389
"200633_at" 16004 14178 15042 11384 10677 13402
"200634_at" 7471 18600 10610 7808 9895 17500
"200635_s_at" 15594 18898 5487 14774 3262 4317
"200636_s_at" 11974 20758 19932 6285 19872 5972
"200637_s_at" 10541 10353 2090 20395 6092 6872
"200638_s_at" 19496 12446 10577 15928 10317 8698
"200639_s_at" 4242 12166 11409 16503 17390 11027
"200640_at" 6855 19184 11490 16917 18815 9156
"200641_s_at" 21404 8637 5302 21514 18965 11260
"200642_at" 16037 10600 12081 8240 9917 11540
"200643_at" 3790 19924 7028 19105 20393 2594
"200644_at" 2261 11236 19380 16653 8122 9034
"200645_at" 6637 7677 11565 9273 9281 11608
"200646_s_at" 22268 1364 1494 22061 20876 4611
"200647_x_at" 6263 9097 12137 15677 18419 17338
"200648_s_at" 21779 3495 633 20124 21054 20528
"200649_at" 7802 1671 10882 20441 20579 11119
"200650_s_at" 10831 18315 14934 11268 19194 9847
"200651_at" 10751 14268 8661 5750 19345 11480
"200652_at" 16609 12028 11534 5225 6673 10176
"200653_s_at" 4201 20462 13016 7932 6955 4028
"200654_at" 15387 12439 10096 7444 8698 9671
"200655_s_at" 4821 19163 11965 3847 7176 8904
"200656_s_at" 20182 9222 2816 15911 10698 10552
"200657_at" 8612 18942 19680 5920 17225 17531
"200658_s_at" 8164 8238 5565 7908 7370 17344
"200659_s_at" 6989 18396 4811 5020 2913 5953
"200660_at" 7101 9379 11254 17006 19660 10848
"200661_at" 15751 6395 7157 14721 19040 19772
"200662_s_at" 18674 18404 18934 18166 6339 11300
"200663_at" 16014 20204 18848 2989 9472 5612
"200664_s_at" 21381 8197 7196 16832 8408 18517
"200665_s_at" 10899 1606 13572 18792 17059 11813
"200666_s_at" 18001 20194 8445 8829 5704 8916
"200667_at" 3736 11501 12663 8549 7603 6688
"200668_s_at" 16250 7301 10393 15615 5904 9155
"200669_s_at" 8529 7360 11736 16658 9861 17278
