"inst_440" "inst_643"
"1007_s_at" 5915 3754
"1053_at" 17791 5305
"117_at" 5039 17451
"121_at" 6847 2978
"1255_g_at" 16075 15640
"1294_at" 6677 4050
"1316_at" 8409 20840
"1320_at" 10977 20097
"1405_i_at" 11523 13990
"1431_at" 15869 14938
"1438_at" 706 1116
"1487_at" 1665 4525
"1494_f_at" 3975 427
"1598_g_at" 3149 5572
"160020_at" 8739 2712
"1729_at" 7613 1899
"1773_at" 5816 7598
"177_at" 3062 16648
"179_at" 853 1602
"1861_at" 2666 17028
"200000_s_at" 10348 9113
"200001_at" 1675 4708
"200002_at" 9687 20474
"200003_s_at" 10889 16998
"200004_at" 18185 17477
"200005_at" 19180 9138
"200006_at" 18768 8335
"200007_at" 8493 17370
"200008_s_at" 7597 7603
"200009_at" 7986 5854
"200010_at" 9252 6168
"200011_s_at" 3291 9785
"200012_x_at" 7429 18069
"200013_at" 20177 19488
"200014_s_at" 19529 9068
"200015_s_at" 10743 6896
"200016_x_at" 20162 5981
"200017_at" 18313 19480
"200018_at" 18314 9060
"200019_s_at" 19383 19890
"200020_at" 10034 7554
"200021_at" 10668 18636
"200022_at" 18669 9575
"200023_s_at" 18840 17790
"200024_at" 19175 20953
"200025_s_at" 18712 20044
"200026_at" 5036 9081
"200027_at" 18204 6440
"200028_s_at" 20703 3711
"200029_at" 19877 18533
"200030_s_at" 8797 3602
"200031_s_at" 10905 17881
"200032_s_at" 20156 18160
"200033_at" 9962 7970
"200034_s_at" 11006 18040
"200035_at" 9461 1283
"200036_s_at" 9239 18659
"200037_s_at" 10555 17273
"200038_s_at" 17581 8569
"200039_s_at" 4770 7099
"200040_at" 9612 17191
"200041_s_at" 5059 9688
"200042_at" 17995 9653
"200043_at" 20231 19139
"200044_at" 6528 17056
"200045_at" 7911 3117
"200046_at" 18322 6514
"200047_s_at" 5868 7757
"200048_s_at" 10646 19479
"200049_at" 6327 3026
"200050_at" 17606 16974
"200051_at" 7816 19572
"200052_s_at" 18123 9719
"200053_at" 2702 2503
"200054_at" 18110 4916
"200055_at" 418 7263
"200056_s_at" 19881 5114
"200057_s_at" 10537 5815
"200058_s_at" 18688 7433
"200059_s_at" 18736 19030
"200060_s_at" 5324 7016
"200061_s_at" 18902 9305
"200062_s_at" 9584 17058
"200063_s_at" 19790 18844
"200064_at" 6299 5718
"200065_s_at" 7212 8960
"200066_at" 9504 7126
"200067_x_at" 6629 8931
"200068_s_at" 9742 7230
"200069_at" 7055 20003
"200070_at" 20634 19985
"200071_at" 20538 17087
"200072_s_at" 7201 17240
"200073_s_at" 19384 9948
"200074_s_at" 10192 18204
"200075_s_at" 3199 17901
"200076_s_at" 8880 17891
"200077_s_at" 18266 19355
"200078_s_at" 8441 17012
"200079_s_at" 8035 6416
"200080_s_at" 1799 5249
"200081_s_at" 18105 7432
"200082_s_at" 10722 17080
"200083_at" 9664 7616
"200084_at" 8503 18087
"200085_s_at" 10413 20348
"200086_s_at" 8084 18736
"200087_s_at" 10319 8597
"200088_x_at" 19507 9456
"200089_s_at" 18107 17786
"200090_at" 9648 17205
"200091_s_at" 19913 16931
"200092_s_at" 18231 18329
"200093_s_at" 9505 18564
"200094_s_at" 3626 7507
"200095_x_at" 17806 16837
"200096_s_at" 7879 5143
"200097_s_at" 7712 19661
"200098_s_at" 18489 19331
"200099_s_at" 19198 17804
"200593_s_at" 5194 18414
"200594_x_at" 7861 6526
"200595_s_at" 7887 9553
"200596_s_at" 17703 5403
"200597_at" 19110 18292
"200598_s_at" 8513 5562
"200599_s_at" 2991 18516
"200600_at" 17510 11592
"200601_at" 2257 19056
"200602_at" 5787 20958
"200603_at" 10021 8239
"200604_s_at" 6936 2340
"200605_s_at" 5600 8554
"200606_at" 20242 8189
"200607_s_at" 2529 9402
"200608_s_at" 20458 20684
"200609_s_at" 21810 21241
"200610_s_at" 9724 17446
"200611_s_at" 6149 5289
"200612_s_at" 19474 2015
"200613_at" 10179 7466
"200614_at" 19742 7152
"200615_s_at" 8199 4036
"200616_s_at" 18686 9265
"200617_at" 15055 7234
"200618_at" 7255 16984
"200619_at" 10245 21082
"200620_at" 17700 9005
"200621_at" 4933 7142
"200622_x_at" 3225 5559
"200623_s_at" 5267 6459
"200624_s_at" 9002 8798
"200625_s_at" 3722 21215
"200626_s_at" 19906 9711
"200627_at" 18621 6310
"200628_s_at" 7800 6408
"200629_at" 21465 20022
"200630_x_at" 8993 1883
"200631_s_at" 10856 9669
"200632_s_at" 4723 18665
"200633_at" 9985 8465
"200634_at" 5243 17665
"200635_s_at" 2231 19182
"200636_s_at" 20780 3777
"200637_s_at" 3873 20959
"200638_s_at" 18202 18350
"200639_s_at" 8939 20540
"200640_at" 20744 18276
"200641_s_at" 20311 6864
"200642_at" 6472 17106
"200643_at" 4073 5931
"200644_at" 4176 5464
"200645_at" 5581 6570
"200646_s_at" 166 688
"200647_x_at" 18271 19489
"200648_s_at" 6476 19766
"200649_at" 2500 3576
"200650_s_at" 18670 16843
"200651_at" 10501 7868
"200652_at" 9623 8737
"200653_s_at" 2797 18284
"200654_at" 6163 6991
"200655_s_at" 17832 8245
"200656_s_at" 489 18188
"200657_at" 18698 18834
"200658_s_at" 10868 7974
"200659_s_at" 20785 18886
"200660_at" 2349 7373
"200661_at" 6858 18108
"200662_s_at" 19017 18132
"200663_at" 5497 8422
"200664_s_at" 2668 9107
"200665_s_at" 13956 10958
"200666_s_at" 9509 6007
"200667_at" 18699 9195
"200668_s_at" 20264 9010
"200669_s_at" 7866 9946
"200670_at" 7838 20568
"200671_s_at" 21614 622
"200672_x_at" 4375 18893
"200673_at" 7280 13992
"200674_s_at" 19914 18223
"200675_at" 582 8862
"200676_s_at" 2809 8623
"200677_at" 18264 6468
"200678_x_at" 2266 19033
"200679_x_at" 19576 4891
"200680_x_at" 8231 4221
"200681_at" 10657 9139
"200682_s_at" 18234 9538
"200683_s_at" 5799 5596
"200684_s_at" 4459 18471
"200685_at" 16144 13183
"200686_s_at" 6825 6646
"200687_s_at" 10823 9701
"200688_at" 7340 9455
"200689_x_at" 19200 5020
"200690_at" 19835 20964
"200691_s_at" 10391 8781
"200692_s_at" 11116 4946
"200693_at" 9155 7557
"200694_s_at" 10443 5829
"200695_at" 2198 16910
"200696_s_at" 5646 1948
"200697_at" 2072 4022
"200698_at" 5173 8128
"200699_at" 3672 8567
"200700_s_at" 19149 8904
"200701_at" 2684 3048
"200702_s_at" 7979 4255
"200703_at" 4971 6803
"200704_at" 2832 17532
"200705_s_at" 8763 9940
"200706_s_at" 2438 2939
"200707_at" 229 2956
"200708_at" 5092 21687
"200709_at" 4058 2785
"200710_at" 4198 8161
"200711_s_at" 7026 6987
"200712_s_at" 7724 17450
"200713_s_at" 18483 4693
"200714_x_at" 4784 17608
"200715_x_at" 17920 5041
"200716_x_at" 19455 4716
"200717_x_at" 9970 19787
"200718_s_at" 7602 2296
"200719_at" 4329 6593
"200720_s_at" 5542 9736
"200721_s_at" 3446 4291
"200722_s_at" 2353 6682
"200723_s_at" 20969 19014
"200724_at" 2479 486
"200725_x_at" 19433 7536
"200726_at" 21207 18449
"200727_s_at" 21135 5332
"200728_at" 19446 8790
"200729_s_at" 8733 18029
"200730_s_at" 2265 17510
"200731_s_at" 7261 19531
"200732_s_at" 1133 20698
"200733_s_at" 21913 19670
"200734_s_at" 6768 6071
"200735_x_at" 8824 18949
"200736_s_at" 11862 12088
"200737_at" 5576 7744
"200738_s_at" 8472 6143
"200739_s_at" 2454 19838
"200740_s_at" 17993 18098
"200741_s_at" 9706 9418
"200742_s_at" 4217 18326
"200743_s_at" 20620 2165
