"inst_993" "inst_1051" "inst_1154" "inst_1213" "inst_1638" "inst_2673" "inst_4437" "inst_5210" "inst_5573" "inst_6172" "inst_6933" "inst_6973"
"1007_s_at" 17641 20427 18628 17087 20644 1467 18591 17727 16703 18025 18014 21211
"1053_at" 18097 14562 4250 18966 19613 7933 20538 16310 18894 13796 19086 18314
"117_at" 2 2 18 3 2 31 2 2 2 1369 2 2
"121_at" 12956 16507 17111 16785 3124 17321 6575 3189 8785 11414 15125 13889
"1255_g_at" 5015 6868 7974 3758 8962 11318 11442 8087 10666 5974 7281 7063
"1294_at" 8299 5099 3286 585 10074 925 6690 624 5659 12414 1417 1500
"1316_at" 6850 11388 22032 15949 7880 7977 21611 19207 16958 12992 13975 2653
"1320_at" 10113 12706 12893 8276 13428 14101 1117 10260 19955 3758 13824 8659
"1405_i_at" 7131 12653 2304 5960 5398 6876 10051 10932 15151 20078 2622 7165
"1431_at" 2301 4453 20693 18192 13572 18650 20387 18038 19446 17487 12283 6168
"1438_at" 2517 7984 10287 1392 185 13097 17098 1215 3401 1359 411 12927
"1487_at" 21821 19984 20703 22089 20500 18185 19635 21567 17745 19179 20105 22024
"1494_f_at" 11981 12942 21029 3327 4590 6402 7245 15210 20037 16279 7573 12428
"1598_g_at" 2313 1166 14685 11817 4962 20125 5363 1303 6552 20587 18425 15473
"160020_at" 11375 8296 1002 20642 8407 9935 2717 173 16088 17173 14224 2498
"1729_at" 21547 20298 22250 17133 18372 9671 20052 19366 19521 11920 18351 20342
"1773_at" 17760 17341 339 11761 1865 382 18721 16980 7565 20088 2237 18283
"177_at" 6171 4206 17720 6649 12651 8449 7535 1257 16911 2573 14183 12102
"179_at" 8078 8050 212 15493 17564 1522 21847 3411 17007 17330 408 19412
"1861_at" 19069 19364 694 15269 3112 8151 8388 17182 8892 18060 19147 18196
"200000_s_at" 16145 15801 6955 17549 1605 8216 17162 14376 19006 13700 2183 2357
"200001_at" 16404 1145 17215 13627 14584 9604 14774 5135 9001 14898 15307 3693
"200002_at" 14302 14169 19113 14316 3984 6809 9129 14161 6801 11297 5288 14618
"200003_s_at" 7708 16834 7072 2937 4002 11843 10860 6525 9451 4392 4879 4107
"200004_at" 16603 13737 7412 16952 15358 8329 7944 5457 5379 17472 14714 17144
"200005_at" 20294 14772 5591 12837 18090 17822 15650 18140 17648 16367 16222 17480
"200006_at" 13742 13884 6442 11826 4325 6715 8872 6198 9101 13321 5440 12899
"200007_at" 13575 17774 2734 15848 2408 5384 6023 15005 6848 12707 5074 2350
"200008_s_at" 14291 14977 2717 18627 16298 8989 20091 19374 9446 14335 17934 13602
"200009_at" 13150 15876 16854 15626 16507 9037 17695 15609 8731 14187 15099 13513
"200010_at" 13569 16190 6279 14275 4634 11845 8520 5679 7471 4394 16514 13966
"200011_s_at" 17492 14142 18357 16040 17996 18718 5536 14204 7249 20239 4327 17912
"200012_x_at" 8035 18349 18774 3660 16190 17042 16565 15650 19895 4356 5919 3603
"200013_at" 14126 15278 5245 12555 5180 6871 15822 5984 16595 10838 17639 15816
"200014_s_at" 14650 2249 5868 16558 14687 6799 17551 5338 9655 17203 5245 14205
"200015_s_at" 20127 17267 3053 19195 14697 7127 8063 15084 4093 19485 16181 17003
"200016_x_at" 13874 1626 6513 13440 4860 11785 14527 6602 8219 4329 5650 14013
"200017_at" 13440 21565 6351 11766 4312 11937 10938 9478 11816 4508 14866 13181
"200018_at" 3790 626 17804 14037 14212 11927 10929 6568 11807 4497 16067 14094
"200019_s_at" 13632 473 5941 2789 15944 11901 16176 6294 16356 9034 17620 16607
"200020_at" 13905 1079 19430 13424 1151 8379 8461 4321 4022 13867 4935 13365
"200021_at" 8062 14230 22175 1342 14853 12029 11013 14989 11953 4600 5618 12928
"200022_at" 14863 1188 4678 2675 14594 11862 8024 4639 8650 4409 15534 13109
"200023_s_at" 13683 430 3162 2950 2547 4223 7189 3534 5343 14169 5076 13675
"200024_at" 13117 1871 7468 3724 4981 11903 15912 15296 16349 4466 15606 15287
"200025_s_at" 13482 2395 5673 14416 4547 11925 7905 5677 7852 4495 14839 13033
"200026_at" 4198 1070 17727 3699 14459 12032 11016 6818 19492 4603 15243 13528
"200027_at" 16416 1962 6066 14073 5240 9746 15291 4523 4337 17391 3110 12882
