"inst_168" "inst_307" "inst_1693" "inst_1815" "inst_1857" "inst_5103" "inst_5528"
"1007_s_at" 18548 6065 3535 5145 295 8013 16930
"1053_at" 4140 16762 4544 6264 17134 3250 18094
"117_at" 2875 20340 11312 16381 3322 17108 2076
"121_at" 3947 19287 3062 8348 17410 19774 7054
"1255_g_at" 12289 20916 7714 12246 10249 15021 9970
"1294_at" 15710 19834 3907 9783 4448 21951 573
"1316_at" 17497 20696 10393 13345 2037 3586 20270
"1320_at" 18256 21655 13595 10809 6874 16881 8627
"1405_i_at" 9374 14505 10150 9887 18571 2616 9120
"1431_at" 9533 14037 14216 7061 11591 1392 5602
"1438_at" 16745 17106 14609 3293 14891 2092 548
"1487_at" 2760 6343 4242 4162 2909 1699 6057
"1494_f_at" 15483 18864 4508 10334 15361 14342 1500
"1598_g_at" 15954 4142 22128 20810 1651 20177 20608
"160020_at" 1922 21437 17316 3880 297 9293 17573
"1729_at" 16687 20039 16418 2143 17880 20478 6158
"1773_at" 5038 7265 1670 154 80 1710 1415
"177_at" 20500 15066 13437 17159 21921 6130 13119
"179_at" 15740 18758 802 22006 18444 11852 1150
"1861_at" 18016 6022 14521 19594 16988 10104 18786
"200000_s_at" 4722 16401 18322 2939 6045 8840 15447
"200001_at" 3544 3434 15777 6091 18591 8565 7042
"200002_at" 4926 1369 3870 19007 20623 9938 6206
"200003_s_at" 16010 4906 17384 18130 3495 12755 5661
"200004_at" 16194 7780 16147 7399 5479 10865 19927
"200005_at" 17360 16038 15609 4994 17074 11090 15811
"200006_at" 16342 2514 4641 7990 15461 7736 8214
"200007_at" 4425 4612 17934 18114 20337 8848 7345
"200008_s_at" 15443 7365 2937 783 4539 8146 15010
"200009_at" 15168 19436 5211 4388 3905 9968 7990
"200010_at" 3505 19655 15171 6525 5001 11155 15562
"200011_s_at" 20712 3855 17491 8671 16926 8796 18195
"200012_x_at" 4440 8275 4715 19415 4545 20686 15202
"200013_at" 17276 16490 14589 18262 16511 9041 7339
"200014_s_at" 5305 16205 5696 7777 15597 8520 16557
"200015_s_at" 3346 18187 15649 20037 17443 2742 16167
"200016_x_at" 19763 17966 17092 18453 19689 12583 16993
"200017_at" 18708 8441 16381 20032 6284 5151 7059
"200018_at" 15407 5694 4523 18164 19929 12912 7616
