"inst_2958" "inst_3519" "inst_7460"
"200659_s_at" 2110 4114 1950
"200660_at" 15647 14296 16508
"200661_at" 12330 12217 3483
"200662_s_at" 14724 19167 17959
"200663_at" 11604 5334 3152
"200664_s_at" 17719 15528 17834
"200665_s_at" 8444 10755 8249
"200666_s_at" 18700 13341 20806
"200667_at" 11744 18309 18522
"200668_s_at" 16161 17070 17038
"200669_s_at" 14400 12508 14889
"200670_at" 18873 5310 18825
"200671_s_at" 9524 21373 13682
"200672_x_at" 1556 12764 15573
"200673_at" 16478 12288 19139
"200674_s_at" 3167 7233 5554
"200675_at" 18451 14878 17592
"200676_s_at" 11854 1590 390
"200677_at" 12661 15957 5408
"200678_x_at" 14211 19093 20486
"200679_x_at" 3143 17736 15211
"200680_x_at" 11544 4219 5017
"200681_at" 13700 12525 15100
"200682_s_at" 12141 13945 16166
"200683_s_at" 16922 15872 3362
"200684_s_at" 2385 4767 18355
"200685_at" 20903 21849 17739
"200686_s_at" 19945 21255 18962
"200687_s_at" 16359 19608 2998
"200688_at" 22049 13806 20908
"200689_x_at" 3069 3632 14883
"200690_at" 16814 16245 20538
"200691_s_at" 13562 19646 15929
"200692_s_at" 16439 17746 16994
"200693_at" 16381 12682 16967
"200694_s_at" 13932 15268 17930
"200695_at" 3221 14446 3211
"200696_s_at" 20025 3066 4210
"200697_at" 1645 15289 4767
"200698_at" 13236 15642 5805
"200699_at" 1959 14741 19807
"200700_s_at" 16175 14049 15194
"200701_at" 14891 13887 4286
"200702_s_at" 12214 4327 3582
"200703_at" 20014 17102 15583
"200704_at" 15472 15917 3225
"200705_s_at" 11826 11997 4882
"200706_s_at" 12639 14639 3840
"200707_at" 2625 18665 1229
"200708_at" 13595 11675 15168
"200709_at" 1302 20335 5798
"200710_at" 15480 12375 1881
"200711_s_at" 19470 18454 4374
"200712_s_at" 18944 16527 5274
"200713_s_at" 14000 13852 3855
"200714_x_at" 12097 13890 14579
"200715_x_at" 2034 14661 16765
"200716_x_at" 6367 13857 5540
"200717_x_at" 6123 7208 15086
"200718_s_at" 15528 5136 17173
"200719_at" 16980 3420 18689
"200720_s_at" 16527 4396 14416
"200721_s_at" 1911 4464 1342
"200722_s_at" 21116 18013 3524
"200723_s_at" 12095 16315 3827
"200724_at" 5177 13020 1380
"200725_x_at" 1853 12367 5692
"200726_at" 16985 14340 15017
"200727_s_at" 15000 13681 19515
"200728_at" 16649 17110 16097
"200729_s_at" 16436 15877 15184
"200730_s_at" 16204 18604 14656
"200731_s_at" 13205 14832 18219
"200732_s_at" 17387 14783 3079
"200733_s_at" 20126 15228 21501
