"inst_5917" "inst_5922" "inst_5954" "inst_5959" "inst_6863" "inst_6868" "inst_6907" "inst_6912"
"1007_s_at" 4786 4731 8630 14936 6446 13856 18634 17039
"1053_at" 19188 10086 9279 5950 2352 18188 20521 21598
"117_at" 10578 14684 10175 3143 12500 8944 19786 11466
"121_at" 15748 2745 6504 12450 16221 2446 16534 4352
"1255_g_at" 8518 15067 10637 11175 10335 9217 9325 11868
"1294_at" 12652 18492 732 17841 3545 21802 11653 15015
"1316_at" 3184 21042 22098 4343 21575 1523 22028 19501
"1320_at" 838 21428 9134 14459 21065 11968 8785 15221
"1405_i_at" 8573 16081 20045 10176 10447 11342 7253 12045
"1431_at" 723 20225 21971 20812 10039 3914 15659 14050
"1438_at" 20354 20764 7406 22244 6579 5814 11750 16808
"1487_at" 17260 1821 2840 4275 15266 3262 18710 2876
"1494_f_at" 21221 13309 21638 3611 9201 15645 10013 19726
"1598_g_at" 17933 8653 3783 2274 20100 993 16597 5460
"160020_at" 21562 21070 2233 2468 16280 20926 2319 14374
"1729_at" 18980 6490 20119 18804 5366 18845 16221 21235
"1773_at" 14153 6888 22106 18184 2125 22106 11916 11716
"177_at" 16791 17615 1518 21169 19952 9533 20263 8982
"179_at" 16333 18012 16651 303 5472 310 20069 6513
"1861_at" 18942 2686 20623 19714 1826 14537 20337 20261
"200000_s_at" 14905 7918 5638 13526 19045 5406 19755 21899
"200001_at" 13327 11028 18419 14194 6355 4251 20677 22166
"200002_at" 15477 10031 17282 14877 7412 15863 17179 7929
"200003_s_at" 9214 13480 12180 8418 14395 13280 15005 17426
"200004_at" 14256 9904 8888 14515 7455 15450 4179 3543
"200005_at" 5358 6146 6688 13806 3946 15261 16655 18824
"200006_at" 15414 7295 8396 12552 17360 5741 14996 6926
"200007_at" 5404 9071 16182 5693 6615 14309 6130 4523
"200008_s_at" 3544 19922 15471 21812 1139 22068 6071 22075
"200009_at" 5803 18576 8722 17449 14416 13726 15125 18272
"200010_at" 12990 8974 16014 4479 6119 13673 6350 16985
"200011_s_at" 5971 7647 9503 11701 4611 5695 15638 19483
"200012_x_at" 6496 19237 8431 11523 17272 4332 5004 7851
"200013_at" 14707 9361 15110 14355 6568 4487 13790 6850
"200014_s_at" 14478 7782 15187 4753 14361 14386 3990 3338
"200015_s_at" 18117 4794 18370 17199 14795 5847 13593 2802
"200016_x_at" 12203 7345 12000 11497 6261 6156 5422 4962
"200017_at" 9464 13733 12421 8689 2705 5535 6134 5301
"200018_at" 9438 13710 12402 12122 15225 14378 5410 6847
"200019_s_at" 4951 16711 9474 12035 16636 5310 4624 7038
"200020_at" 13125 16273 9613 13203 7134 13553 15264 3883
"200021_at" 9738 13987 12703 8994 3405 3830 5053 5359
"200022_at" 9262 16472 12226 14901 3957 5545 19660 20199
"200023_s_at" 11962 8716 15255 15345 3838 16578 15154 7043
"200024_at" 6510 9406 16910 15051 7516 12969 15752 20546
"200025_s_at" 6784 9072 16075 13134 3084 13761 14161 4795
"200026_at" 9745 16395 12712 4265 6762 5332 15783 6743
"200027_at" 12168 9470 6481 14212 18875 16658 5024 5656
"200028_s_at" 12852 16543 16136 17642 17639 4671 15440 7462
"200029_at" 6737 18891 12295 5022 5941 5372 14124 16957
"200030_s_at" 6853 10014 15773 5875 5570 14448 4750 18044
"200031_s_at" 9412 13682 12378 8633 5685 5275 4116 7597
"200032_s_at" 9472 10854 12424 12387 6354 6457 5044 16577
"200033_at" 14828 16692 18217 13875 3895 17804 5026 3564
"200034_s_at" 12338 16645 16069 12005 3415 3678 14709 6262
"200035_at" 18493 1662 5798 13223 18884 14075 5030 18334
"200036_s_at" 16838 9632 9434 15626 7014 14657 5379 17698
"200037_s_at" 14056 6675 8561 11963 7482 16015 14000 1562
"200038_s_at" 9691 9319 12656 3921 5693 14977 15946 7155
"200039_s_at" 16323 9462 16336 13386 16373 13456 16076 17549
"200040_at" 12368 9271 15377 11798 6172 14171 3058 5069
"200041_s_at" 14078 5825 17195 14090 15670 4562 19772 20881
"200042_at" 18026 16292 8135 14035 3791 13551 16825 6069
"200043_at" 6274 5542 15294 4137 4998 5924 18549 129
"200044_at" 12083 7945 15155 13153 14894 17441 13603 4642
"200045_at" 6445 10212 17537 12807 16285 3841 18953 21124
"200046_at" 12049 16646 16455 14248 7205 19626 16854 17448
"200047_s_at" 17694 6026 18671 2542 7292 16202 17226 2514
"200048_s_at" 16172 4059 17031 16010 17688 16469 15750 18688
"200049_at" 1806 6138 18964 3631 4150 3654 14516 17678
"200050_at" 15750 3139 3755 16505 15638 5171 3106 1044
"200051_at" 16773 4764 9188 12660 21522 1399 18039 16600
"200052_s_at" 16957 16439 7599 14498 14111 16842 17325 18393
"200053_at" 21770 953 15061 3442 4027 18001 21585 21755
"200054_at" 18297 10217 9480 15307 2812 5772 15894 4687
