"inst_201" "inst_446" "inst_564" "inst_1011" "inst_1069" "inst_1172" "inst_1231" "inst_1656" "inst_2691" "inst_4455" "inst_5228" "inst_5591" "inst_6190" "inst_6948" "inst_6990"
"1007_s_at" 16185 20086 2425 19922 17722 766 19380 18120 5091 16657 18515 18635 18653 18329 21199
"1053_at" 4493 21196 20178 7251 15982 17228 16074 19157 19552 13986 4681 17927 8003 18953 5201
"117_at" 7661 473 17556 3 3 29 2 3 4 1 7 3 3004 6 3
"121_at" 6223 6411 4377 6334 17298 18809 19581 2141 15653 4814 18197 11127 4446 3999 7194
"1255_g_at" 10038 12935 7711 11557 8881 11031 9215 5902 12374 10264 10605 8543 9967 11253 8789
"1294_at" 19789 19400 2048 15812 14622 20400 10433 10853 16949 15337 20090 18687 18047 10495 5989
"1316_at" 654 18841 14631 13000 12485 5081 17895 10991 7682 2364 20376 20841 20470 10356 19253
"1320_at" 8707 18515 12135 11655 8156 7513 7902 9892 11729 2200 8942 16270 9762 10107 7835
"1405_i_at" 10471 9399 8864 14344 15393 20315 13493 5600 16050 12367 15408 4707 20303 12781 8926
"1431_at" 6678 10366 9709 4580 15305 16429 14166 8320 7651 21008 16853 16671 20943 6225 15870
"1438_at" 2774 20448 16589 1034 1145 12106 1928 1022 9088 21271 17322 921 5262 15209 96
"1487_at" 8823 15343 3859 16942 2897 21669 18093 15146 20552 5486 18391 14623 20294 4722 19677
"1494_f_at" 2507 5976 6452 8148 11326 16664 16128 8481 7180 2136 4842 21083 17845 9012 15705
"1598_g_at" 18003 3575 1281 3163 1611 11719 19886 18287 18025 8247 21674 17318 19599 2662 604
"160020_at" 2684 16147 4201 12974 15751 9695 21265 11250 5899 21152 1366 839 7018 1826 2023
"1729_at" 20775 16886 17260 21309 3899 3766 21211 20781 16007 18544 3802 20118 6900 20241 5794
"1773_at" 17505 16179 3082 17314 18556 20771 4195 3129 7728 18460 2300 17479 7648 10347 6723
"177_at" 19597 16269 6823 12357 14563 6242 13974 13161 21614 4107 1195 11271 5174 1765 9261
"179_at" 1459 4972 19822 10276 5737 18453 19391 17309 873 18836 842 11454 19742 348 20499
"1861_at" 4170 19913 3630 20360 19526 390 16719 15243 8454 19889 3923 13735 7422 6829 20202
"200000_s_at" 18717 6708 5902 7167 16188 18204 18173 14828 17121 14291 8656 17751 8172 19234 1870
"200001_at" 16803 6988 1925 16648 17482 6287 14163 15564 16703 17538 7793 12139 6086 4359 7366
"200002_at" 3058 17026 22020 18158 17656 17317 5501 16045 7827 14294 16917 11178 15066 8179 16947
"200003_s_at" 19498 16401 19029 10515 2919 5775 16446 4847 10399 10016 6817 4041 10503 8249 6626
"200004_at" 16267 14533 18547 18082 18152 17643 15903 16735 5416 6199 6633 15295 16425 7901 18032
"200005_at" 18022 5702 5872 16743 16922 6492 14429 14502 17141 14381 7905 15450 16567 5683 17098
"200006_at" 16685 6580 6514 16444 16767 17758 14606 15756 16997 8255 8105 12388 16906 5275 6817
"200007_at" 17925 5229 7489 6482 17714 15700 15052 15436 14915 6996 18196 10493 8664 6404 7467
"200008_s_at" 18348 6569 1563 5674 17042 2187 15104 14772 8609 18873 9576 11809 4310 18093 7540
"200009_at" 15712 15272 2864 16835 4578 4036 14712 15488 7956 18152 20217 13316 6855 7009 16345
"200010_at" 15611 19627 19830 16376 16728 15635 14172 14856 10401 6249 9421 4302 10505 7999 6261
"200011_s_at" 21275 15587 4402 20666 21490 21837 20056 20859 21356 18349 19937 18538 20019 18029 19070
"200012_x_at" 7063 4711 18563 10815 17260 16200 15991 14860 10364 15716 18710 3090 10466 18415 7607
"200013_at" 8174 6974 21583 17184 17195 16832 5363 4988 7436 6584 8085 11259 8819 6980 7168
"200014_s_at" 16636 15059 925 7036 16860 16428 15044 15402 6875 6372 5777 14717 15145 7707 16421
"200015_s_at" 7360 14686 20122 17810 18848 15729 15606 17324 7574 6306 17649 16573 14899 16886 6422
"200016_x_at" 7922 5600 19575 17228 18956 16826 15352 16065 10342 6895 8999 11083 10435 16894 16396
"200017_at" 17900 2263 20177 10667 15940 16596 5962 5199 10487 10109 12368 6190 10610 17031 17518
"200018_at" 16634 7508 18855 16702 16768 6014 3948 16368 10477 10099 6589 6177 10600 16965 16710
"200019_s_at" 17189 17457 20496 17548 15885 17765 5237 4820 10448 14725 5316 11032 10572 7848 17514
"200020_at" 16975 14558 3013 18536 21849 16916 16064 14784 16936 8441 17416 17749 18177 19690 19552
"200021_at" 3646 15904 20845 10415 19586 21620 4568 5338 10575 10201 17542 6321 14825 19254 6668
"200022_at" 2541 7480 20004 16319 16802 5796 5813 4792 10414 15660 19569 4231 10518 7875 16750
"200023_s_at" 15689 16059 20618 5210 3988 15906 6241 4504 4952 7906 7277 12128 7242 7231 5874
"200024_at" 20602 4914 6322 7170 3882 5616 5524 15186 10451 15573 8815 11423 10574 7323 7439
"200025_s_at" 7972 15119 18700 17006 17931 18010 6384 16353 10475 14403 7224 11293 10598 17493 16905
"200026_at" 8209 3992 21483 17626 16816 16801 6132 4843 10578 10208 9455 6323 10705 18098 17046
"200027_at" 4176 16101 19150 4223 2058 5338 2122 3439 6107 6849 3977 13336 19386 1585 16700
"200028_s_at" 4759 4973 6706 18006 18291 19332 3598 18197 18099 16856 6165 18132 17980 7409 18724
"200029_at" 18789 16729 4678 6716 3324 17109 14710 4151 10437 7583 18891 4018 10554 17461 18453
"200030_s_at" 17550 14991 20562 16924 16482 15951 14768 5208 15486 15070 9646 12570 14963 8075 17826
"200031_s_at" 16430 16004 19966 10645 16681 16066 5406 16669 10468 10094 9363 6167 10593 8101 16621
"200032_s_at" 17439 7358 19299 10828 4861 16467 5670 15642 10490 10112 9656 6192 10613 17636 6463
"200033_at" 17288 6001 3256 20842 19351 17232 14248 19052 8293 7227 18666 16423 15706 20796 20785
"200034_s_at" 16712 6299 7694 17511 3388 6147 4630 16865 8050 7833 9088 10750 7956 17320 17271
"200035_at" 22057 2109 7004 16396 4789 1325 2282 17044 17507 6862 8233 10478 5752 4736 17386
"200036_s_at" 6110 16140 22011 5219 3965 15569 14781 14439 8471 8228 8146 3479 10495 6083 6310
"200037_s_at" 20699 3700 18512 20383 20634 19999 17550 18318 17339 5480 8730 14823 19414 18754 18017
"200038_s_at" 15731 16406 20164 7161 3923 16108 14918 3915 10562 8127 9195 10851 10683 17347 18025
"200039_s_at" 16743 4675 18754 4160 1383 2027 2533 2331 4813 15670 5098 3413 1444 1995 3853
"200040_at" 20429 19721 1699 4247 16451 6250 6266 16384 5376 7467 6908 15472 7499 7715 6731
"200041_s_at" 8312 6809 5429 18838 16796 19912 16838 17826 20623 18035 9372 16703 18951 17854 20260
"200042_at" 5706 20760 19152 3277 4177 16142 16805 5303 6076 16172 7577 12593 6089 5164 4798
"200043_at" 7016 5206 21386 19478 18913 19927 15354 19785 16271 16023 4417 11850 16262 7938 16540
"200044_at" 8529 16818 7266 18647 18256 15763 18579 18000 16340 17124 8925 12908 16291 16941 16486
"200045_at" 8720 18324 7012 19838 19786 17521 14943 16257 17934 14208 19706 17938 19412 7122 5474
"200046_at" 5638 4242 20833 18496 19187 19140 19096 16040 8512 16138 5907 15446 15267 6563 18221
"200047_s_at" 5954 17722 6272 6447 18709 16392 19166 4907 5167 5566 8455 14577 17913 17941 17333
"200048_s_at" 15793 14642 7254 17007 17961 18000 18420 16295 7223 8005 8020 14235 17967 7175 17418
"200049_at" 4434 18346 3476 3204 3691 5720 15128 16355 6477 7489 5893 16021 5992 17484 6726
"200050_at" 18032 4490 1235 5925 3916 18858 14347 17445 15569 7417 17620 18314 19534 2295 4584
"200051_at" 5515 15098 19218 5140 2585 6448 17107 15746 6813 19188 7016 13017 15582 4005 16869
"200052_s_at" 16576 14883 6032 18170 17400 5522 16641 18125 6956 15813 7504 15539 16503 17648 16634
"200053_at" 3293 19907 4417 19832 17736 6497 15646 4269 17036 7760 3228 17354 8063 6961 16848
"200054_at" 18815 1309 693 1662 2821 19608 3375 3774 5888 7033 4080 16741 18837 5692 4843
"200055_at" 5689 18813 21020 18415 4175 17886 17933 15238 16666 19498 19939 12466 16866 7826 16578
"200056_s_at" 7074 16452 14641 19653 16655 19155 18785 15720 6430 6622 5036 13330 17302 5199 16983
"200057_s_at" 20218 17192 5448 16492 16084 17174 15686 14540 7957 14950 9146 12881 8363 17298 17937
"200058_s_at" 6429 17102 7435 18313 16266 6150 14527 16739 7584 14532 17118 15282 8109 7630 5648
"200059_s_at" 18132 6243 20544 7347 17410 17472 15241 16629 8640 16699 9448 12449 8398 16938 17860
"200060_s_at" 17416 17442 4777 3489 17411 17379 16423 15544 7929 8472 17247 14538 16550 4973 6762
"200061_s_at" 8167 6482 21789 10559 16100 5874 9166 4306 10466 10093 18635 6164 10591 17728 17889
"200062_s_at" 19320 15572 18508 10600 4795 17489 14313 14610 10387 10001 12150 6041 10489 17734 16846
"200063_s_at" 7907 5379 21311 10481 16303 17051 14329 14871 10517 10137 17456 6229 10637 19242 18323
"200064_at" 3713 3112 3390 1950 1262 549 304 1090 756 4164 5526 2994 1636 1898 2350
"200065_s_at" 8710 6641 18419 6907 18547 2280 5440 17349 4427 14169 8022 14373 6925 6544 16254
"200066_at" 8742 14776 4445 17637 16414 18319 18102 19825 8593 16469 7654 12867 5184 17641 17388
"200067_x_at" 7158 6255 20017 3121 1469 4554 5057 1316 4410 14999 3350 4318 4866 1131 2656
"200068_s_at" 5133 15660 18527 6470 17792 5642 3499 5213 5774 7104 8070 10562 7343 4422 5564
"200069_at" 6418 6588 16382 1641 3472 17624 5154 18510 6232 4663 4160 18560 18486 964 16967
"200070_at" 3065 5041 18667 1151 19111 18004 17579 1883 15706 7449 18938 3228 3763 4985 4354
"200071_at" 8387 4298 20726 16871 20126 17014 18489 5322 5017 15283 9264 18461 15698 6171 19503
"200072_s_at" 7150 18661 18908 17088 19405 17300 5540 4921 7874 16803 8075 14892 18074 8232 6040
"200073_s_at" 19557 1552 19238 18434 4171 17975 14455 18722 16896 5518 18344 13239 18034 7913 16943
"200074_s_at" 20138 15428 5755 16664 4415 5781 5191 15684 7593 8088 6260 10961 7176 8073 6974
"200075_s_at" 20232 18970 2879 17757 2726 18029 4370 18846 15212 16304 6204 13689 8073 7667 7169
"200076_s_at" 5559 6298 869 5887 15867 15613 17682 18704 17530 20194 17651 16396 14675 18647 16820
"200077_s_at" 17154 15052 7607 6484 4113 17756 14067 14754 7177 14024 8474 10736 8675 7233 6012
"200078_s_at" 6742 6889 18459 4519 2140 5667 3593 4510 6739 5974 3527 11098 15621 2771 6011
"200079_s_at" 7839 15392 4545 6271 4367 5651 3887 14818 16348 14600 19388 17394 17411 7180 17602
"200080_s_at" 4425 14925 21920 17143 17698 18653 15618 18557 8734 14780 9055 10422 8131 7404 18095
"200081_s_at" 17526 7453 18470 6193 16481 6398 6391 5102 14962 8301 6473 10467 7171 6735 17109
"200082_s_at" 20438 6310 20191 16681 3960 5820 4732 15717 10506 14765 8358 11419 10628 7232 7422
"200083_at" 7126 18359 3527 16403 2301 19127 18436 15616 3735 15124 7097 16864 18685 4643 16929
"200084_at" 8714 14411 4937 5833 17212 4928 5756 5425 6578 7859 6247 12644 14960 3803 5963
"200085_s_at" 15595 18604 20413 6832 17454 16693 5216 14921 6333 7293 5819 11001 18155 6260 6952
"200086_s_at" 3633 15927 18906 7058 4869 16745 5634 5319 7415 14866 18954 3838 14978 6029 5019
"200087_s_at" 3616 15960 4918 17259 16889 3451 14743 15764 5678 5953 6353 12755 5766 7668 18550
"200088_x_at" 7272 6235 20422 10923 4735 5794 16696 5125 10396 10009 18637 6055 10499 17155 16585
"200089_s_at" 8038 14314 4163 16304 4004 5710 5639 14650 10545 7212 8489 11570 10664 6854 7235
"200090_at" 8286 3250 5770 4407 1069 19350 16010 4527 7147 17147 7729 14001 15060 2797 4764
"200091_s_at" 8410 7085 22074 17518 16059 15728 4706 18162 6512 6557 5964 4082 10538 7312 7514
"200092_s_at" 6451 15642 21846 10978 15871 17856 1677 2943 10522 14026 17497 6239 10642 17150 7012
"200093_s_at" 6106 7011 4518 4030 4481 18895 6424 3929 6896 6264 5563 10916 7162 4953 5802
"200094_s_at" 20435 5352 1263 18268 17429 6020 4029 3008 8488 13971 9451 11055 6402 18371 6610
"200095_x_at" 4155 5987 19699 10435 3752 17795 14371 5188 10567 10190 8604 6306 10690 17931 17223
"200096_s_at" 3022 16321 5966 19359 16837 2387 2565 3958 2508 1270 9223 13799 5178 6030 5644
"200097_s_at" 7923 15786 5540 7096 20702 16433 18767 17156 7946 6640 7121 13039 17991 8047 19194
"200098_s_at" 6389 18212 4949 17165 19224 19837 17548 18460 17234 6384 16989 16535 18390 17685 19879
"200099_s_at" 17658 15069 19792 10916 16717 6526 14197 15059 10525 10147 12475 6242 10645 17884 18327
"200593_s_at" 3326 5198 20720 17751 17098 20574 2728 19760 19300 7117 6324 17069 19261 20470 19762
"200594_x_at" 17323 16930 19289 19209 19361 20330 17672 18500 18229 7512 8716 17702 19022 18262 19093
"200595_s_at" 16625 14590 20292 5628 4110 20698 4117 14803 14900 4896 6293 16584 20374 5222 6662
"200596_s_at" 17314 18438 2110 3018 3298 20203 1302 5090 16551 4997 3486 11484 19155 5979 4252
"200597_at" 6941 18026 3440 3855 3487 20069 19683 17212 20824 18371 4119 14012 21690 17997 20839
"200598_s_at" 19211 3634 1891 6612 2849 2166 4415 14546 3338 2998 3947 4173 6914 18865 5315
"200599_s_at" 22134 14766 2355 5572 16668 3256 4268 3392 3810 5105 6523 13286 17083 7299 16335
"200600_at" 11520 15658 3255 15887 14420 6543 4541 6159 8319 3687 10990 3636 8557 9617 10118
