"inst_2938" "inst_4099" "inst_4179" "inst_6555" "inst_6571" "inst_6576" "inst_7358"
"1007_s_at" 15272 9011 5940 6906 4732 4673 5645
"1053_at" 7033 6083 7040 4633 967 1137 11218
"117_at" 20795 504 1126 12576 11094 12671 14893
"121_at" 15783 10128 9185 19612 4687 4292 21603
"1255_g_at" 7276 14253 16221 7901 15746 14794 15170
"1294_at" 19348 7804 9466 17810 14562 17200 5599
"1316_at" 15818 16690 4658 20748 19840 20120 1562
"1320_at" 7588 6338 2407 5926 16454 9607 13099
"1405_i_at" 20845 15783 17452 7891 12709 18606 13414
"1431_at" 15641 1303 4645 19008 8498 22089 5814
"1438_at" 10576 260 8654 19190 1718 21224 3108
"1487_at" 20780 3067 12185 1400 17586 19313 3020
"1494_f_at" 1279 4415 12950 2216 13671 15981 14066
"1598_g_at" 17954 11385 6277 14095 21085 5781 11668
"160020_at" 15170 2028 22146 1026 1877 4001 21438
"1729_at" 20319 4978 5356 18053 4762 21409 955
"1773_at" 15819 1749 7501 20175 375 14071 5466
"177_at" 1431 11234 2896 11086 17331 17638 14164
"179_at" 3388 4832 20473 21709 5653 9306 4968
"1861_at" 5184 9365 5344 6514 1487 767 1778
"200000_s_at" 4550 17430 11516 17332 386 912 8647
"200001_at" 6343 2265 10062 5231 4180 3187 9388
"200002_at" 6121 10148 20227 14184 5069 8784 11872
"200003_s_at" 9569 13087 16571 10071 7720 8349 11787
"200004_at" 5493 11096 13999 15292 2835 4273 8697
"200005_at" 17918 10168 12237 14157 5590 8087 8947
"200006_at" 16834 10874 13804 6848 8193 6879 9580
"200007_at" 7199 16844 20615 14974 17293 7681 10376
"200008_s_at" 5178 946 14630 20754 96 3339 20229
"200009_at" 15353 4715 13441 5849 5796 7081 11439
"200010_at" 5683 6330 20447 14362 3613 6956 20409
"200011_s_at" 18239 9491 11136 15665 7264 4707 3629
"200012_x_at" 5983 11732 20545 13729 18182 21234 20808
"200013_at" 5496 8863 12792 14576 5751 6717 12331
"200014_s_at" 14676 9225 13018 13788 17932 8265 9551
"200015_s_at" 5820 9319 13653 15180 19520 3659 8402
