"inst_2976" "inst_3538" "inst_6357"
"200659_s_at" 12714 19663 20576
"200660_at" 13723 9800 9132
"200661_at" 17936 17958 19945
"200662_s_at" 17939 4501 21233
"200663_at" 11287 9898 9526
"200664_s_at" 14273 6488 5319
"200665_s_at" 7293 15942 12726
"200666_s_at" 17282 5957 10985
"200667_at" 11723 6513 9010
"200668_s_at" 17389 7109 7170
"200669_s_at" 20687 6831 10652
"200670_at" 18134 5547 19796
"200671_s_at" 3119 506 10505
"200672_x_at" 402 19748 19584
"200673_at" 18250 6168 9564
"200674_s_at" 1552 19863 19246
"200675_at" 20265 18929 10683
"200676_s_at" 18899 21595 20344
"200677_at" 17719 6753 6057
"200678_x_at" 11637 18966 9933
"200679_x_at" 16182 18067 10565
"200680_x_at" 15229 7358 19753
"200681_at" 13491 6739 18568
"200682_s_at" 19025 7902 9403
"200683_s_at" 21556 9485 11090
"200684_s_at" 20711 8094 8423
"200685_at" 18328 17003 1735
"200686_s_at" 20172 3033 2872
"200687_s_at" 12304 9132 5516
"200688_at" 13334 18842 4057
"200689_x_at" 11075 18160 20217
"200690_at" 19403 6480 1609
"200691_s_at" 17785 8352 8016
"200692_s_at" 18638 17437 10958
"200693_at" 18538 8736 10664
"200694_s_at" 17508 9419 10176
"200695_at" 19708 17904 20923
"200696_s_at" 14976 1766 21395
"200697_at" 22016 6632 18297
"200698_at" 16327 4845 4452
"200699_at" 15470 4690 8165
"200700_s_at" 14285 17002 19920
"200701_at" 14869 17941 19909
"200702_s_at" 18502 4710 4010
"200703_at" 15271 6909 9529
"200704_at" 16166 6760 3978
"200705_s_at" 1994 7767 8505
"200706_s_at" 19654 6944 1966
"200707_at" 14407 18270 4117
"200708_at" 16791 8533 10841
"200709_at" 17365 5336 6924
"200710_at" 19206 20597 7101
"200711_s_at" 19309 3824 7774
"200712_s_at" 18290 6806 4508
"200713_s_at" 17611 10244 8289
"200714_x_at" 11867 19282 20643
"200715_x_at" 11645 8530 20033
"200716_x_at" 10310 17975 19358
"200717_x_at" 4956 12198 13867
"200718_s_at" 14269 7959 8845
"200719_at" 16559 5523 19988
"200720_s_at" 18229 18207 20001
"200721_s_at" 13761 7136 21569
"200722_s_at" 21079 3694 1688
"200723_s_at" 18284 5842 7164
"200724_at" 3827 4907 1420
"200725_x_at" 10481 19895 18349
"200726_at" 18168 4757 11010
"200727_s_at" 21875 5665 2836
"200728_at" 13427 18191 4804
"200729_s_at" 20483 4600 5026
"200730_s_at" 18961 17517 20895
"200731_s_at" 16199 655 4025
"200732_s_at" 20121 18692 5052
"200733_s_at" 19313 3132 1205
"200734_s_at" 15270 8801 3516
"200735_x_at" 5099 17780 10554
"200736_s_at" 14619 15501 19794
"200737_at" 13594 4259 6149
"200738_s_at" 10781 17309 10778
"200739_s_at" 15558 17417 10487
"200740_s_at" 18028 4744 9667
"200741_s_at" 4770 12136 19317
"200742_s_at" 18815 19245 10035
"200743_s_at" 16485 2542 20339
"200744_s_at" 19652 9369 10423
"200745_s_at" 21634 19741 6229
"200746_s_at" 16288 7727 11100
"200747_s_at" 10762 18263 9291
"200748_s_at" 10912 18931 9688
"200749_at" 19467 3737 5852
"200750_s_at" 14592 9716 10606
"200751_s_at" 17893 8371 9650
"200752_s_at" 18128 4094 21611
"200753_x_at" 19543 6594 4887
"200754_x_at" 15265 7866 18906
"200755_s_at" 18751 5656 3765
"200756_x_at" 18156 17570 20319
"200757_s_at" 19492 3946 10725
"200758_s_at" 19413 18405 20316
"200759_x_at" 14545 6891 10789
"200760_s_at" 21422 7521 10523
"200761_s_at" 19045 4826 3092
"200762_at" 14989 18188 18336
"200763_s_at" 1784 18934 10197
"200764_s_at" 13036 8978 15713
"200765_x_at" 11159 8992 12380
"200766_at" 10683 18386 1031
"200767_s_at" 22221 5934 5093
"200768_s_at" 12791 6261 5593
"200769_s_at" 19507 7664 5753
"200770_s_at" 15994 8264 6746
"200771_at" 16721 8799 2971
"200772_x_at" 11186 9779 18588
"200773_x_at" 10864 9645 10335
"200774_at" 19252 8282 4468
"200775_s_at" 16481 4940 18844
"200776_s_at" 19867 3114 7136
"200777_s_at" 14121 6041 8564
"200778_s_at" 20592 2491 4779
"200779_at" 12479 19186 21321
"200780_x_at" 14991 17874 10322
"200781_s_at" 1508 17192 10502
"200782_at" 16746 5145 10525
"200783_s_at" 18118 8698 4685
"200784_s_at" 8846 14029 17410
"200785_s_at" 7218 2720 15191
"200786_at" 15649 18880 18654
"200787_s_at" 17500 6731 8302
"200788_s_at" 13446 5072 19923
"200789_at" 18851 20565 7134
"200790_at" 19641 9906 18775
"200791_s_at" 16920 17279 7765
"200792_at" 11932 7349 9870
"200793_s_at" 12583 8619 21356
"200794_x_at" 21147 6500 8577
"200795_at" 3389 20685 3283
"200796_s_at" 21965 21518 7144
"200797_s_at" 18416 4809 20025
"200798_x_at" 17916 5403 19686
"200799_at" 7810 7092 10950
"200800_s_at" 13674 8140 18602
"200801_x_at" 11062 9893 9191
"200802_at" 17027 10092 19762
"200803_s_at" 19970 4573 11127
"200804_at" 16507 5613 6197
"200805_at" 15934 9613 20648
"200806_s_at" 14765 7900 8095
"200807_s_at" 11972 17441 9963
"200808_s_at" 10772 17421 5915
"200809_x_at" 1961 19505 20014
"200810_s_at" 17735 8306 7321
"200811_at" 21287 8157 4756
"200812_at" 16159 17551 8334
"200813_s_at" 18582 5013 8884
"200814_at" 15492 6193 18247
"200815_s_at" 13386 4736 8737
"200816_s_at" 13776 18522 8382
"200817_x_at" 4735 12124 13729
"200818_at" 13232 17344 9930
"200819_s_at" 11788 18976 19023
"200820_at" 13496 7920 8007
"200821_at" 18443 2850 1780
"200822_x_at" 13395 6251 19577
"200823_x_at" 11033 20749 18696
"200824_at" 19478 16854 10973
"200825_s_at" 22094 9879 20662
"200826_at" 14393 17819 11005
"200827_at" 10955 20206 8139
"200828_s_at" 19537 8381 19593
"200829_x_at" 14753 2966 9655
"200830_at" 13001 7563 6943
"200831_s_at" 12571 19901 6157
"200832_s_at" 12263 4665 10462
