"inst_640" "inst_1542" "inst_1959" "inst_2043" "inst_5320" "inst_6720"
"200594_x_at" 17517 16711 19667 19100 17410 7082
"200595_s_at" 14755 19161 21479 7297 2281 6173
"200596_s_at" 1321 7550 20260 708 4009 17183
"200597_at" 3306 19498 21011 1274 4437 17298
"200598_s_at" 21315 4766 19295 6633 5864 3288
"200599_s_at" 1375 8841 16572 5408 17099 5536
"200600_at" 12156 15873 20609 2084 13430 21074
"200601_at" 553 5808 20537 19903 17583 16743
"200602_at" 15985 18386 22241 164 19145 1603
"200603_at" 14401 7342 22249 19420 5186 3653
"200604_s_at" 19002 9597 902 18807 17140 20998
"200605_s_at" 16517 4201 3020 20726 19351 8395
"200606_at" 18364 6447 17293 11628 20693 754
"200607_s_at" 19123 5016 19124 3374 19372 5994
"200608_s_at" 2253 8233 22224 18981 5431 3893
"200609_s_at" 3317 8392 404 2924 2476 6280
"200610_s_at" 5832 18484 20632 22078 16458 14651
"200611_s_at" 19453 6680 1556 7143 4296 18296
"200612_s_at" 21030 21851 575 7131 18400 18610
"200613_at" 17116 16986 1593 4144 4634 20759
"200614_at" 4737 6605 16594 5204 6905 7727
"200615_s_at" 20451 3645 247 21764 19129 18992
"200616_s_at" 17882 4291 4109 4691 16758 4798
"200617_at" 19521 4671 4027 20237 17659 19346
"200618_at" 20401 5518 20795 2791 16482 18505
"200619_at" 19121 17391 2263 20431 16953 20557
"200620_at" 4023 4831 2447 18738 19126 18934
"200621_at" 6055 7318 4159 2179 2464 16996
"200622_x_at" 16655 9342 3615 19460 5936 14757
"200623_s_at" 17403 7909 339 19487 2171 8956
"200624_s_at" 3690 9380 15250 20995 3781 19431
"200625_s_at" 3116 16985 3102 2525 1514 18865
"200626_s_at" 14024 17990 4245 3860 3797 17418
"200627_at" 4451 6283 16228 6180 17899 18101
"200628_s_at" 5058 2295 1490 2502 19482 19989
"200629_at" 1948 16978 2689 809 6486 15383
"200630_x_at" 3640 18673 16824 20478 5620 3830
"200631_s_at" 16112 8103 16996 7025 19118 7349
"200632_s_at" 16861 8550 449 19056 16552 6349
"200633_at" 5065 8177 16164 6764 5324 10625
"200634_at" 14763 5745 4510 6713 2673 22145
"200635_s_at" 15251 3021 4365 5009 3849 5087
"200636_s_at" 3820 6786 21026 14024 2987 3833
"200637_s_at" 20210 4200 17901 15739 5604 20191
"200638_s_at" 14072 6196 18521 3247 17446 16245
"200639_s_at" 17945 9219 20622 22235 18195 8428
"200640_at" 2685 17912 16101 6318 17103 17680
"200641_s_at" 16949 7742 1681 7876 20220 20410
"200642_at" 14243 9645 3266 3558 16806 19265
"200643_at" 15376 16823 347 5735 3160 21590
"200644_at" 1890 18628 17451 21666 4857 17820
"200645_at" 14749 17530 2491 8107 18438 18342
"200646_s_at" 18216 4957 6334 16244 2736 22273
"200647_x_at" 15684 9109 3943 18512 19628 18317
"200648_s_at" 15806 9221 2512 20945 3793 20802
"200649_at" 19606 18000 1516 21701 4014 21814
"200650_s_at" 4302 17675 16127 19421 17704 10554
"200651_at" 16125 17458 2459 4702 6508 20910
"200652_at" 4077 9094 1802 2247 5061 20266
"200653_s_at" 13844 9418 21015 19477 18541 19490
"200654_at" 18271 9580 970 20940 1642 15963
"200655_s_at" 2958 19296 17222 18672 5612 5528
"200656_s_at" 18369 20245 19010 1234 4494 20957
"200657_at" 5865 9007 4465 5760 6665 14428
"200658_s_at" 20023 16940 233 7407 17920 20911
"200659_s_at" 18142 20027 4079 21612 20889 22133
"200660_at" 1720 5449 17101 21382 2735 21279
"200661_at" 17367 5488 1583 4714 5441 21343
"200662_s_at" 17009 7775 15423 1505 17652 15477
"200663_at" 13589 8713 17245 7317 18954 16294
"200664_s_at" 15230 5405 2369 6858 18047 15377
"200665_s_at" 6282 16438 6148 13907 13963 3519
"200666_s_at" 15262 5976 2208 3214 20129 7770
"200667_at" 17913 8482 2562 5246 19503 4615
"200668_s_at" 13407 8158 20045 2801 5566 8709
"200669_s_at" 17051 7992 16554 398 16921 14978
"200670_at" 5080 20907 17717 4454 2369 4091
"200671_s_at" 5445 11184 12689 13704 17542 19091
"200672_x_at" 15202 19336 1911 13920 18133 18913
"200673_at" 16098 18963 20278 21061 7031 6841
