"inst_2547" "inst_3406" "inst_3606" "inst_3708" "inst_4269" "inst_4730"
"200594_x_at" 15594 17443 10993 14491 15763 5390
"200595_s_at" 17219 18842 10345 14106 17519 3529
"200596_s_at" 19033 17056 10733 3431 11039 13711
"200597_at" 18728 19033 9100 20645 16631 2637
"200598_s_at" 18979 1668 12109 13914 19842 4137
"200599_s_at" 14813 20362 9075 3271 8748 4463
"200600_at" 16398 10235 5273 4574 13603 15655
"200601_at" 18748 2418 9666 11385 2335 2756
"200602_at" 19710 14108 9214 1877 20936 5136
"200603_at" 14304 16965 2780 12374 12043 3997
"200604_s_at" 20729 16557 16483 4178 21005 18898
"200605_s_at" 18767 15616 18313 4466 17282 20527
"200606_at" 2808 3156 10960 18168 19046 5100
"200607_s_at" 21702 20365 21152 10928 17506 19482
"200608_s_at" 13251 13060 11431 12739 12782 4231
"200609_s_at" 18699 17110 11590 21560 18057 7368
"200610_s_at" 16694 15584 11459 14880 11986 4385
"200611_s_at" 19284 4022 12233 10922 16270 15013
"200612_s_at" 13287 19781 19010 18 17930 21837
"200613_at" 18205 15568 11777 4956 9365 7408
"200614_at" 16178 15151 12086 11020 9726 14108
"200615_s_at" 13488 4268 15585 14614 10721 15497
"200616_s_at" 16666 13279 15850 10874 21337 15075
"200617_at" 12720 3082 11529 12710 8290 5036
"200618_at" 13938 18101 11363 16263 11878 6808
"200619_at" 17691 16899 16987 4411 11182 5432
"200620_at" 17558 16222 18192 3865 10153 16779
"200621_at" 16140 13328 2397 12038 11807 3599
"200622_x_at" 15815 20910 12407 4805 18743 18631
"200623_s_at" 3103 21626 16695 2786 1522 3659
"200624_s_at" 19354 17654 17360 13266 13794 6494
"200625_s_at" 13482 17664 10331 11575 9080 4637
"200626_s_at" 17876 16420 14535 12958 13790 14585
"200627_at" 13382 14233 10420 4207 9557 4332
"200628_s_at" 16855 2297 15843 2824 12476 7020
"200629_at" 14881 15563 2632 12735 15838 4857
"200630_x_at" 14843 13171 2385 16621 11482 5917
"200631_s_at" 16293 17365 10913 13466 11614 14274
"200632_s_at" 15106 21941 19751 14861 12068 6310
"200633_at" 12619 3481 4813 6686 4586 15554
"200634_at" 13739 13548 2563 3684 12163 5349
"200635_s_at" 5852 17983 20878 13573 18971 19499
"200636_s_at" 4409 17681 11534 18736 14504 15408
"200637_s_at" 3624 20015 20636 14050 21154 5213
"200638_s_at" 19013 15286 9952 11586 10036 4386
"200639_s_at" 17357 17156 12085 3130 2651 4293
"200640_at" 14705 14137 10514 11051 8654 5740
"200641_s_at" 21535 3928 19959 2318 10571 16499
"200642_at" 13985 13806 9585 4683 11997 17037
"200643_at" 3297 1393 9365 18117 12445 6467
"200644_at" 19259 17167 14901 11637 2878 4377
"200645_at" 18588 15669 10738 18169 15017 5815
"200646_s_at" 11129 1531 15374 13714 1856 2675
"200647_x_at" 20719 3732 10349 15076 17873 14542
"200648_s_at" 17158 17083 17214 1926 15025 17690
"200649_at" 12261 20055 3276 12300 1824 14862
"200650_s_at" 9856 4420 9171 6562 4461 7001
"200651_at" 5417 12967 4911 4602 11145 7255
"200652_at" 14802 13779 2369 13264 18086 2786
"200653_s_at" 14124 3267 9146 3926 13669 2716
"200654_at" 12812 14551 2833 4375 9202 4291
"200655_s_at" 15367 17033 12493 3765 10389 7293
"200656_s_at" 17455 14337 13556 4080 17009 4704
"200657_at" 13483 4229 9380 4230 9331 14479
"200658_s_at" 20409 17520 11974 11155 18946 16099
"200659_s_at" 18501 19699 16112 2356 16389 16377
"200660_at" 11132 2426 2817 4999 14194 14720
"200661_at" 16912 14889 15341 14706 11654 21098
"200662_s_at" 19462 14693 11871 14946 16422 3838
"200663_at" 12526 3874 9488 13819 10146 15842
"200664_s_at" 22020 13402 21095 3762 10679 19751
"200665_s_at" 6486 7724 8724 6116 8929 13596
"200666_s_at" 19180 15708 11124 3859 13569 5683
"200667_at" 13053 17648 13788 4185 17267 13970
"200668_s_at" 17262 15016 12339 15134 13043 5306
