"inst_3689" "inst_3692" "inst_4711" "inst_4714" "inst_7388" "inst_7390"
"200594_x_at" 5866 6326 6531 5764 16249 5630
"200595_s_at" 1834 5984 5402 18589 2088 14881
"200596_s_at" 4839 14873 18713 5146 2969 2604
"200597_at" 6628 7162 9709 5058 19288 1204
"200598_s_at" 14786 19180 5925 17167 3269 6130
"200599_s_at" 4978 6536 8111 5409 5079 4360
"200600_at" 6018 5311 13464 9274 16514 16484
"200601_at" 4958 20362 7980 15566 19624 20784
"200602_at" 5566 18853 19152 15650 7465 19314
"200603_at" 6056 16163 4312 7098 5679 19903
"200604_s_at" 16390 6269 4885 6477 6521 18009
"200605_s_at" 7993 6071 2789 17775 17888 20763
"200606_at" 17444 16361 7472 17447 17542 16415
"200607_s_at" 20906 15824 3713 16353 19180 15413
"200608_s_at" 7757 7817 7967 8079 20124 17060
"200609_s_at" 18777 8313 6644 7017 3349 16784
"200610_s_at" 5307 5243 8892 3553 6862 14581
"200611_s_at" 5061 14612 6789 15183 17798 15926
"200612_s_at" 640 15335 21095 5539 20086 2404
"200613_at" 6241 6251 17061 7565 4915 15094
"200614_at" 7523 8286 19881 17094 7392 17620
"200615_s_at" 18474 15378 9348 17779 18415 14455
"200616_s_at" 15423 18606 8578 7627 4702 15966
"200617_at" 2004 7483 21028 2735 2683 3599
"200618_at" 6692 5905 8556 5842 5868 4982
"200619_at" 7162 14214 18059 15001 19138 19439
"200620_at" 21261 15805 7444 7410 7584 15398
"200621_at" 4465 15752 9645 17439 4289 15352
"200622_x_at" 18101 16524 18394 5249 5240 6270
"200623_s_at" 14780 18863 21625 8135 6078 19487
"200624_s_at" 3945 16018 8249 20423 16939 17227
"200625_s_at" 7417 7864 18006 17641 7959 16767
"200626_s_at" 5515 4615 9852 15876 18215 19447
"200627_at" 7824 3613 9586 16637 16952 16197
"200628_s_at" 20265 1851 5627 20814 5205 19624
"200629_at" 18994 8316 2493 5640 3820 16827
"200630_x_at" 14179 15987 8154 6715 16882 16947
"200631_s_at" 4892 15609 19753 17630 15946 16393
"200632_s_at" 17180 7265 17524 1472 20641 14756
"200633_at" 10119 10177 18126 16952 17268 15240
"200634_at" 4974 5700 18210 16060 4994 4965
"200635_s_at" 2558 6115 3465 1162 5088 6291
"200636_s_at" 16889 7894 19203 6234 2658 3600
"200637_s_at" 21057 19518 4487 4733 2299 18969
"200638_s_at" 6741 5396 7436 18153 6778 16614
