"inst_417" "inst_422" "inst_1010" "inst_1068" "inst_1171" "inst_1230" "inst_1486" "inst_1655" "inst_1905" "inst_1986" "inst_2690" "inst_4085" "inst_4164" "inst_4454" "inst_5227" "inst_5590" "inst_5916" "inst_5921" "inst_6189" "inst_6989"
"207050_at" 3914 17306 13907 15220 17249 7409 18503 12463 12929 9151 13210 8111 19750 18447 13237 8969 1174 12511 18042 15869
"207051_at" 16698 20821 12551 8129 9421 7966 16453 14314 1792 18750 12895 18273 3183 10022 3216 10465 21520 2465 11564 15273
"207052_at" 12511 14650 12889 13217 15300 5957 15123 11174 9701 11687 13834 7590 3741 11464 8108 1546 13575 11476 11826 10213
"207053_at" 9798 10386 13388 14204 9208 7901 11963 8366 9953 7984 1143 4973 11076 4313 12428 6259 9531 9663 346 11060
"207054_at" 7693 12401 14222 8532 10544 6542 14254 11482 10269 9969 827 1428 954 11755 12450 10855 403 11956 9725 543
"207055_at" 6572 13231 9684 10337 13018 7269 17844 7993 8421 10587 3868 11545 12136 13150 13259 8949 13789 14810 9308 14379
"207056_s_at" 5362 15275 5026 13917 9822 20838 21919 18132 8946 11741 6624 1918 20488 22175 21097 5267 1811 13727 21923 5766
"207057_at" 2250 17822 17932 20710 1610 14485 20453 4232 21032 19423 2839 20469 13014 5842 4781 13368 5125 2206 19182 17767
"207058_s_at" 6329 20557 7490 6219 9579 12816 16986 11742 15082 16307 20513 315 10821 4844 7062 958 12154 11851 12753 960
"207059_at" 12029 5225 662 15466 15752 20654 587 8459 3519 12722 14726 21404 14411 6504 2116 21737 3157 2069 3555 9610
"207060_at" 11941 3585 10724 14143 13831 10645 17936 8901 18884 8638 13759 15487 3768 2640 14703 19097 1310 614 10289 9404
"207061_at" 1732 3404 9867 12968 15390 1980 20822 8396 3877 528 14439 13705 2888 894 17090 14630 1003 4328 725 12582
"207062_at" 6320 12643 12813 4911 7807 12646 14681 13410 12959 7567 18360 1420 10451 9856 7838 11174 9316 10959 13633 8081
"207063_at" 6848 11017 9013 11111 10786 8226 13393 9786 9082 10327 12958 7734 10253 9345 8486 6542 10070 8122 10345 10848
"207064_s_at" 21635 482 3305 8393 15564 2259 17847 6313 12050 14216 6219 22157 3659 18316 5611 14562 21036 19912 362 9903
"207065_at" 12449 20799 11092 10633 8012 14891 10870 10167 21582 13357 14892 17270 1313 7333 13556 322 21552 19742 1783 15679
"207066_at" 6626 12028 11610 14094 12308 11170 11455 12239 7297 13060 13203 5786 11640 11677 10803 9648 6236 9651 8760 11025
"207067_s_at" 11337 1488 13629 7449 14037 5990 10881 11401 15247 11418 895 8196 13209 10658 11891 12968 20633 19183 8111 9869
"207068_at" 11479 13834 15731 12676 12292 7313 1710 10925 14855 5857 2715 1546 20282 13265 2607 1957 5855 7839 18052 9905
"207069_s_at" 11433 11299 18528 1256 3573 4709 3460 4067 17627 13942 9428 17686 17476 20574 22076 15881 4651 2934 349 21661
"207070_at" 359 9335 9110 15341 9372 11667 11035 14189 7012 6325 19820 9660 11401 13683 7388 8408 10944 11182 9803 9248
"207071_s_at" 17797 2638 4092 3098 19857 13630 5170 15650 21348 708 7785 18925 6541 14082 4128 20683 17659 3009 2099 20694
"207072_at" 14540 1893 14252 6250 59 12320 13380 13836 9764 3746 14408 8497 11470 3574 12166 11544 13533 11138 2456 11312
"207073_at" 9738 9002 12390 5949 10828 11876 11628 9876 8518 9535 12613 2222 11122 13171 7072 6187 2553 12330 12295 12896
"207074_s_at" 19293 19890 6059 10233 8180 11457 16674 12917 12920 12351 1169 9291 1659 7762 12583 6151 13874 12217 10384 12561
"207075_at" 10555 8569 8155 15078 21463 879 2500 14200 11527 18991 20627 331 1985 10808 6573 2550 20694 7815 16274 9959
"207076_s_at" 1020 16707 1891 3251 2585 5030 7055 15418 5678 2461 18253 3453 5394 2388 4845 11741 6047 3553 16805 3869
"207077_at" 13229 9384 7517 10137 13633 11670 10756 10356 9496 12053 11298 6776 9071 9035 7823 8588 10411 18076 12803 11155
"207078_at" 11186 15228 1321 10322 860 14628 22130 1676 9596 7995 4392 16756 1358 6970 5880 15021 15191 1370 21943 832
"207079_s_at" 21513 20312 20600 19823 2361 17568 18188 15761 16144 5403 4461 17258 19013 15378 5116 17938 16363 21225 16619 19397
"207080_s_at" 7138 16141 5882 7175 13037 10334 17463 11196 9313 10487 11605 7424 12630 10789 13189 11163 13816 3984 13093 15451
"207081_s_at" 2856 20507 4791 5070 19348 20545 5156 18193 18568 2730 16468 14618 5996 20977 14768 12599 4079 17300 15576 7290
"207082_at" 10805 14697 13159 13458 9764 12552 15795 14024 13810 8965 10792 5305 20924 13005 11788 1138 14064 9128 16247 11262
"207083_s_at" 6174 14548 12031 8973 12778 12439 17583 7479 7127 10112 10403 8228 8414 20380 11441 10163 21447 7125 9159 14179
"207084_at" 7661 8433 10797 14483 9922 8024 13949 7098 10453 10093 1942 3695 12618 21886 4634 1782 16033 16753 15336 957
"207085_x_at" 5812 12926 9590 6137 155 10822 13275 9292 9014 14283 7384 6613 8381 10795 8378 8319 11477 10243 1952 10375
"207086_x_at" 684 21063 12187 7926 12525 9579 14802 6098 12084 15142 10817 10995 10664 10894 12553 10777 12125 7370 13557 10616
"207087_x_at" 1420 8345 5871 10256 11346 5894 11244 12764 12358 7697 12436 6775 8848 9826 11864 9866 10048 10017 12266 14098
"207088_s_at" 4239 16676 20953 19731 4409 20508 20419 21195 21327 20444 19542 20692 19921 15537 20617 16088 19759 21710 16836 20872
"207089_at" 18965 18008 8465 13111 15840 12267 14377 12158 6877 13676 17864 153 10237 2822 8116 716 9404 10863 20745 13748
"207090_x_at" 4780 6599 22168 3093 18238 888 20304 21368 21445 20810 20972 22102 16111 4907 13665 3791 1474 19217 4059 7716
"207091_at" 12381 13884 13950 9553 19 11109 16847 6855 13633 125 303 17065 3079 18330 11430 6431 906 19027 804 11443
"207092_at" 7005 13011 13005 5859 13609 10239 15786 12944 12204 14785 13296 8874 8022 11020 8710 9125 21325 9960 5118 8381
"207093_s_at" 20636 1738 13857 13333 9798 9298 14289 13276 11321 20226 14590 6075 13750 13302 12158 418 17970 8686 14457 1065
"207094_at" 9097 15153 6472 11622 15105 9318 12216 13105 6542 9927 11741 5191 9926 9565 10795 7582 12507 7756 8546 13263
"207095_at" 2654 14047 13524 14519 9211 6913 12624 10241 9218 11786 12952 9635 19872 1309 10187 9328 21052 16320 13517 9805
"207096_at" 20579 1156 9995 14943 20268 489 6119 452 12106 1587 3724 11271 12832 20358 2515 5282 17603 12265 19705 44
"207097_s_at" 8973 13903 7466 5642 15508 4075 12382 16992 6661 8320 21542 463 20693 8972 3563 4190 12642 7972 21647 15782
"207098_s_at" 14611 3224 16173 16937 3055 19320 19408 18378 2244 2913 2930 19963 16706 4800 15761 16682 18492 5782 17793 3680
"207099_s_at" 7304 10706 2428 9274 787 21134 13451 6573 13007 8696 19334 3030 19437 2730 520 20045 647 17894 17825 9923
"207100_s_at" 7518 8956 7260 15945 19164 7251 13842 8910 14598 19398 2631 1968 6790 21755 1354 15553 5507 20939 20600 16084
"207101_at" 10229 14305 9481 1998 13165 5711 12274 14639 14960 14155 1939 15932 5247 21077 1374 14290 18613 10508 21669 20794
"207102_at" 9868 13506 14662 7884 8779 6980 16584 6504 6014 6204 13219 115 1462 19920 11358 5840 10906 8809 913 11668
"207103_at" 5385 9986 13336 15042 9037 6413 16418 11226 7513 15069 10229 8096 10651 9603 9900 6779 13947 529 8374 12345
"207104_x_at" 8639 15235 8670 15851 2303 7322 16187 13106 6324 8012 2828 12133 10639 3940 9073 11084 14031 10007 2596 13553
"207105_s_at" 2610 1963 15267 17376 6822 21243 22264 19984 21411 20133 19492 10445 20738 22066 20403 16223 1389 21190 14306 21059
"207106_s_at" 7014 9122 14744 8552 13384 13222 14550 5934 8911 15243 15041 7999 11613 11472 8874 8806 13836 10717 9687 12799
"207107_at" 4963 8772 6110 6078 13965 13039 16970 7767 6037 9335 12563 2756 7897 8728 12537 6899 9359 12285 12322 15195
"207108_s_at" 20824 839 17505 2623 18828 1522 4843 3432 8140 19156 5888 11291 3713 6802 2139 12484 17676 17954 4724 21026
"207109_at" 9791 15556 11196 6307 7732 9672 999 1900 12571 14363 14503 9575 3841 21006 10157 4918 5335 460 8501 10100
"207110_at" 10987 14843 8279 8806 7697 19231 4966 9716 15421 7825 14505 13242 11172 20059 8149 1544 13129 2946 8531 14228
"207111_at" 19146 7029 6544 14579 4883 6994 12385 8974 12636 8991 20918 8039 20568 11603 5867 1939 314 9656 19574 4924
"207112_s_at" 440 15386 9718 7395 8527 1982 21076 15416 11965 13145 1375 1281 13839 4413 475 22022 7609 21059 15506 19269
"207113_s_at" 10143 11520 5827 7070 345 9014 10628 6199 7078 450 2026 9076 10189 12335 13526 492 13914 12215 7713 11930
"207114_at" 20411 2467 6610 15689 17126 224 20737 7878 158 21252 17271 12314 19953 314 21517 21372 21600 10112 21179 14528
"207115_x_at" 19296 10107 18245 13519 21517 1580 524 193 6343 109 21344 15600 433 1921 20819 16347 14575 3667 3723 1860
"207116_s_at" 12694 5791 10145 12450 10495 10999 16645 10373 12087 9195 13154 7913 10906 11976 7317 8312 21107 12253 13746 12250
"207117_at" 3036 14422 9824 1273 11761 9797 3034 10513 7870 12054 2500 10038 21881 1695 661 14352 2806 16184 1692 17621
"207118_s_at" 10584 9101 12507 10970 14116 11369 16524 7467 5938 10157 15274 8327 7826 19155 7887 8927 10717 17308 11681 15064
"207119_at" 11355 11478 11425 12147 7507 12670 16543 7123 5813 6080 14163 10047 12064 301 2297 9769 13125 18322 12375 11257
"207120_at" 7821 12769 9071 6474 19522 131 16140 6552 11544 6039 20419 18531 9429 21577 9513 8673 11877 18772 4366 11587
"207121_s_at" 16438 8061 2620 2687 4192 2900 2682 2778 1047 17646 6637 4857 6921 2457 4783 3888 7168 2103 15466 6152
"207122_x_at" 13039 4852 2814 3762 18729 21040 1155 19627 16656 20269 6069 3838 5354 17223 16416 4185 17171 16843 15280 5475
"207123_s_at" 6053 13723 10528 12051 11748 8552 13242 9332 9639 15836 14300 6898 11333 11682 9585 7960 11973 8329 10322 12428
"207124_s_at" 17043 20870 19549 19143 3883 18321 20614 3573 733 18774 20822 11745 14010 6882 4392 12736 14823 20374 4712 16914
"207125_at" 5845 12435 10194 13582 523 4364 14971 12668 11064 6916 2859 648 8420 21070 12696 7396 9238 648 17426 11879
"207126_x_at" 18851 1809 1816 17625 15411 11128 10267 3177 2592 12794 14052 5055 18326 16455 6431 3523 5769 12397 157 1651
"207127_s_at" 18693 2499 16254 1593 19012 14353 8839 15819 5590 17324 6901 15654 16045 8272 14897 16352 16280 4549 16218 16679
"207128_s_at" 11601 13632 6927 9761 818 9071 17416 14064 6679 3715 4255 7523 1753 3520 9101 7398 1971 10204 5668 13804
"207129_at" 6160 13416 6940 13261 12984 16138 14465 13812 14857 9116 12025 1831 8392 1918 7616 9702 12962 3709 9761 15345
"207130_at" 1756 20134 2380 606 2254 16501 1289 3157 12715 7245 5316 2997 502 21764 6179 16272 3818 20523 1708 3833
"207131_x_at" 12676 5425 6344 6732 16896 15934 21885 8453 2361 16905 9412 11715 14794 21179 12596 458 22097 12228 7817 4534
"207132_x_at" 3925 16717 5152 4820 16824 15764 7583 15279 16356 3847 8502 17030 6531 14543 6238 12530 7501 14526 7323 7615
"207133_x_at" 21660 19985 103 12123 4357 2769 71 19139 132 22014 1833 18268 22010 18984 17000 754 18276 5865 20318 4136
"207134_x_at" 20118 7469 13867 13304 13994 7193 16567 13714 2406 15869 19072 9941 12325 13350 10721 294 9890 14596 2287 12638
"207135_at" 21424 5684 14315 13696 9242 9762 12752 7083 9190 10663 19774 771 1352 12246 12832 10888 1826 4534 9502 12851
"207136_at" 15368 1150 1513 6942 912 16839 7222 1704 517 18977 5408 13343 20843 19727 3137 4316 1252 16913 1443 9198
"207137_at" 9261 10387 9572 13876 16322 13196 5506 14410 9809 14064 8427 17018 18032 4676 1518 17236 16035 2753 18534 13180
"207138_at" 9889 15567 10312 7029 13593 11419 15810 5943 10529 11564 8366 3622 8837 10359 2191 9729 13441 9211 8464 14427
"207139_at" 12065 4283 11453 13824 7472 8856 13537 12767 11969 5803 12608 7650 8370 11990 7369 9551 11804 11588 936 8775
"207140_at" 8030 12375 11517 9349 13980 11653 11855 11356 10420 10161 2567 9123 8147 9218 10089 7702 11858 12375 12643 12300
"207141_s_at" 20547 19620 21967 22039 11755 12549 21531 19789 9109 14093 11258 5678 12886 12783 22126 18199 1702 8075 8818 5977
"207142_at" 8794 10535 22283 22182 12197 7979 22144 20187 10544 14766 15630 659 20874 9772 19265 14819 1359 10189 12619 5344
"207143_at" 9529 10296 9943 8706 4631 19088 1524 8271 12799 18785 17138 4780 22031 4325 10251 11755 20268 6621 16624 18926
"207144_s_at" 6746 13980 6028 13665 11979 8440 16184 7620 5835 13626 12999 1191 7776 1326 10037 6876 13913 12036 9223 13215
"207145_at" 5564 9387 12012 6928 12716 12487 12128 6916 9437 13922 12472 10251 9913 12943 7311 11134 10479 9710 9967 8950
"207146_at" 22020 20015 14069 7528 7898 12327 11287 10300 3822 17874 10888 20354 9843 2092 7592 6738 9248 16996 1159 9880
"207147_at" 20912 16177 1144 791 1794 18395 74 820 20096 1619 6558 2971 5090 1318 14255 4974 2749 4958 5930 16616
"207148_x_at" 8673 11044 11163 10367 7693 10227 15327 10800 10189 10165 17156 7617 10446 13153 8700 6471 12129 6826 235 8617
"207149_at" 10947 9242 12143 11281 7468 9203 14726 7399 8797 11426 15672 1292 2861 9880 13347 10989 7902 822 4600 13829
"207150_at" 11389 13306 2390 9176 9523 8089 17446 7009 9507 15183 15600 2273 10459 11425 10813 2069 18581 2632 12649 8589
"207151_at" 226 7412 7708 6953 15512 12317 17050 6051 13174 16052 14614 6740 8153 11366 11307 11014 9189 9539 11084 8367
"207152_at" 12384 16790 15617 15514 9338 1708 7477 10926 525 21480 15568 10656 17148 2233 18985 4897 8058 16764 14299 15462
"207153_s_at" 21656 10476 21695 22056 16777 21840 8737 5253 21871 19737 9353 20475 13880 20670 21792 17555 17830 18086 16642 21416
"207154_at" 18268 6252 7361 6575 14884 12761 15870 8082 8125 8566 13938 878 8853 3747 6838 1478 11403 964 12036 11933
"207155_at" 5837 14175 6939 14965 9326 4463 11967 10913 15316 10631 12045 5426 438 9010 11774 11316 19248 2052 7745 13934
"207156_at" 5766 11034 1296 394 481 14552 1215 1923 4287 6199 4081 16065 17129 17260 4305 12721 15484 17276 19834 2277
"207157_s_at" 21243 1972 17748 16762 16839 16110 3318 16496 5463 17256 6836 4409 13017 5775 3718 5710 4808 6508 15622 3249
"207158_at" 12211 5345 6300 6644 5157 4888 13907 9961 7243 1951 20252 20131 14068 9843 13297 19123 5196 15249 5826 12841
"207159_x_at" 4531 3640 19779 13607 15120 19006 3798 5413 597 2189 14867 21628 13380 21901 21719 14811 1822 13857 1322 15555
"207160_at" 9606 10914 8317 10583 15701 7981 13728 12588 2635 10640 11110 19917 3114 6132 12716 10424 815 21922 10618 9393
"207161_at" 11518 12066 6707 13825 14221 4896 2238 6020 6392 16032 1748 18193 582 673 7425 280 20962 11109 13985 13206
"207162_s_at" 8599 11219 9073 10790 14981 5838 14051 7675 10372 9913 12384 6286 8128 11383 9618 7787 10209 10028 12870 12014
"207163_s_at" 18608 4792 20018 20799 19090 21558 7689 21974 2877 19288 18393 16282 15653 18496 20763 20829 4833 16763 18416 21873
"207164_s_at" 7444 13826 6801 13086 3793 7417 6642 11280 14034 12746 18681 2076 3303 7514 5096 9236 3144 14223 21698 8890
"207165_at" 1872 7679 4166 3445 2521 21789 4591 4416 21984 3614 9115 20452 6313 20960 14203 15686 8273 17540 15988 18859
"207166_at" 11141 9648 7612 6197 11029 8457 10590 8830 10112 11495 10434 6874 11563 10596 12994 6020 12815 10743 10725 13404
"207167_at" 18624 9831 5964 7189 632 4200 11920 8218 13538 1219 16610 1149 10317 8400 9805 19003 16039 5819 2938 8690
"207168_s_at" 17441 1310 4868 5480 17171 16956 5403 5594 19719 18415 9276 15254 7357 14985 17073 14906 16253 6064 7819 18020
"207169_x_at" 2189 5605 918 1090 8420 1826 2224 3007 3620 12976 17603 4184 1298 3113 1180 3864 3056 3087 12409 1223
"207170_s_at" 2551 16380 1466 986 4376 18335 1411 2700 17499 4824 15869 15303 3141 7490 2742 3071 2333 15021 7227 2015
"207172_s_at" 9498 15178 5912 15237 3512 16512 16564 8369 3974 15784 11907 20002 1956 7570 9653 6990 245 19460 5430 2768
"207173_x_at" 7155 10431 2196 15960 16213 20128 7507 13089 16942 11492 16381 17243 2574 17027 2673 21158 1475 6952 14368 12635
"207174_at" 5395 8815 5909 12512 10718 12307 17120 6290 12933 9896 15657 9100 10682 11982 5991 9283 12181 12127 8565 9286
"207175_at" 11419 10329 7056 12854 9940 7672 14884 13794 6797 11659 14178 9596 11228 12973 8968 8313 10622 20397 2708 14873
"207176_s_at" 1703 7396 10536 14177 6707 17433 1589 8307 2639 2393 13718 11786 3108 17746 13086 1538 11141 1302 3722 13788
"207177_at" 6688 12616 12367 6935 15301 22004 16376 6474 2883 13174 12004 14227 8471 7125 12488 9464 10104 13552 11483 12032
"207178_s_at" 11612 8939 4053 13979 10940 9256 19511 11410 6599 9811 10638 12882 4401 21299 2826 3120 21164 15824 9984 20998
"207179_at" 9808 10518 11183 9652 10715 9966 10797 8810 10166 10170 12866 6104 10370 10197 10552 6123 13567 8294 12092 10918
"207180_s_at" 3558 18679 3284 3174 1065 20010 18455 5178 5061 2641 2445 17779 5339 16287 1533 12934 15457 17135 7844 3649
"207181_s_at" 21266 3136 15603 1956 3268 21860 8870 5125 20482 1917 2323 4770 3963 6014 2747 3356 6829 18859 982 2972
"207182_at" 8023 15590 8782 11925 14850 7651 11099 9252 12340 13346 4443 9160 7890 11197 7867 9006 13794 15194 8601 11630
"207183_at" 11952 9652 3461 18880 15639 21861 3198 21675 14918 9019 17033 21697 4260 1424 18052 22242 15063 21222 2827 19175
"207184_at" 804 4936 11172 13661 13896 12713 16918 9088 18334 17944 13765 7104 2581 11624 7622 5972 10276 2420 1641 12003
"207185_at" 356 754 3931 15434 12067 1440 12519 8159 1578 22148 12683 3912 146 4577 10729 3712 105 3339 21599 8133
"207186_s_at" 16710 20543 15047 16670 17769 16811 7763 16249 4962 4737 9389 2531 6894 3612 6391 11947 14581 7052 8084 6957
"207187_at" 13165 18980 13469 14690 11458 1831 13323 8356 19800 17267 446 14204 21217 2181 17145 1271 13379 18596 659 12483
"207188_at" 16256 4706 4141 490 594 21965 22209 12150 12784 8864 19622 20489 21329 18985 15952 19067 4559 18092 22223 3221
"207189_s_at" 18070 72 8288 8828 15192 13185 15631 7784 13875 12558 1015 15885 19196 19704 4812 13318 13676 12412 15935 13169
"207190_at" 7637 12010 1862 10050 8864 11097 15351 7289 7872 10322 2470 516 16908 15792 17478 1534 29 19295 17127 10226
"207191_s_at" 21971 18017 13654 7592 13577 10346 15591 9338 15262 10941 11941 6867 7693 9441 1412 7563 13880 11508 6642 13170
"207192_at" 1550 22176 14132 9953 8350 13328 19411 8557 8666 12089 6915 8886 7556 12982 10474 14033 628 7708 19211 9565
"207193_at" 15149 19745 8295 7899 14833 6110 16966 13487 1341 20302 15304 2053 4488 9011 2239 10330 592 8571 13763 8989
"207194_s_at" 6284 8670 10637 7119 19706 9843 18413 11939 13833 13518 6517 3159 9566 5691 10673 20296 493 10064 3056 13529
"207195_at" 4852 15728 10233 10331 13497 12957 11853 11367 14942 14080 11940 6747 11116 8880 8178 11255 9239 10556 10563 11415
"207196_s_at" 20337 19052 1443 1650 3068 215 440 1524 1102 3302 2666 2932 3357 236 3284 13077 5215 436 4207 1850
"207197_at" 9925 15466 18483 10266 15670 12821 21764 11865 6169 6526 1812 21217 2166 12275 2244 19160 1268 20918 1067 13422
"207198_s_at" 16990 1543 16208 20339 1343 13854 20385 14860 3256 2821 4072 10600 12936 2519 19832 16578 4105 5794 8184 3895
"207199_at" 10237 15280 12102 14881 22251 6357 10749 14218 7480 20870 21476 5237 12397 13040 13425 6587 4202 10132 21558 14353
"207200_at" 10381 9288 7081 8854 12718 6448 10538 10747 14453 13508 11751 7308 10520 12088 13188 10169 13659 8814 9925 10939
"207201_s_at" 8884 11114 14353 8326 10323 10250 13860 14568 11370 13205 18569 20105 8000 18611 3697 760 1221 19322 10459 8095
"207202_s_at" 8807 10367 7754 12596 10047 11299 14937 10461 14349 15541 15283 6537 873 9173 10980 10168 9983 10644 11680 12843
"207203_s_at" 3284 19774 7697 13701 8590 10819 10832 6652 14470 15968 12671 5021 4342 13209 9951 9532 1605 8301 517 8403
"207204_at" 10614 15040 11483 11587 15323 10205 16479 12388 5777 13202 13866 9091 7779 11311 7248 7555 11228 9537 8281 12883
"207205_at" 4305 22258 6811 16091 204 332 17877 20282 1927 20817 12031 11678 2140 1118 2860 21666 20520 11621 14912 9025
"207206_s_at" 6493 10497 7398 7776 9739 12907 16035 8358 9199 6972 3089 3963 5609 6004 4540 8148 7388 10450 16723 9538
"207207_at" 4512 1269 8227 12027 7622 5994 12458 12266 13605 10695 15473 3835 10482 12093 13248 6823 10680 9861 13890 11577
"207208_at" 5508 11321 11970 11112 13176 6380 15638 9769 6444 15366 13165 5104 10518 6891 9388 7037 11238 10219 11057 11121
"207209_at" 4054 21430 11139 11805 12056 6477 14126 7403 1571 4795 11503 6944 10055 11894 11620 1611 9899 10200 6752 12119
"207210_at" 7898 12213 13722 8949 10298 9458 10884 13417 10246 9443 12014 9392 9834 9064 9239 7521 10291 9477 11019 8395
"207211_at" 21034 16275 9839 14974 7633 9562 16439 5894 1179 3149 11643 6420 11788 2545 11411 7908 9716 9597 12963 13689
"207212_at" 6265 11289 14700 6482 10500 10635 12967 8940 7926 8996 2608 16279 8279 5108 11198 6064 10617 16271 4759 8303
"207213_s_at" 11267 15351 6996 9807 2878 7283 17470 8549 8842 10538 14528 8992 20378 13339 15834 1031 21888 11386 415 20350
"207214_at" 4357 8127 17780 8794 7620 11952 3299 17756 7650 9291 12624 7479 20925 11393 3022 1977 16138 11741 10742 672
"207215_at" 7306 14178 8489 6061 12236 315 6064 10110 12269 12688 15209 12655 2281 4083 19240 15589 22237 5129 17383 9305
"207216_at" 3173 16939 9280 11417 9171 11014 14649 9432 3129 14458 10499 5498 10786 11025 9015 9089 9561 11093 13743 10953
"207217_s_at" 4387 2255 6459 12520 14216 12475 3158 6811 7215 9158 14670 6449 3429 11789 4727 962 9939 15296 5288 15905
"207218_at" 5295 9681 7478 12377 8880 12729 16400 10067 13265 6218 2545 7615 20995 19715 11336 14032 1905 7137 3362 9227
"207219_at" 10149 10182 20842 13721 12643 2575 19329 1451 11587 6128 20666 3685 15953 4889 4105 21508 15368 859 3861 22028
"207220_at" 5589 14810 7486 10925 9121 9261 15436 9984 14805 7701 12756 9475 11665 10073 6991 9083 11848 7343 10269 12863
"207221_at" 5220 15932 13122 8514 16292 11493 17571 12652 6697 13457 2958 8093 11735 654 12797 10199 6619 775 7895 12359
"207222_at" 1164 19826 5251 12638 12049 12942 20420 16344 14970 6933 6262 9671 6821 523 1432 2188 14271 21554 10148 7505
"207223_s_at" 18437 7841 21408 16397 5941 16576 18318 21329 1966 2009 22279 14257 20019 782 16459 4458 18123 7045 20041 17634
"207224_s_at" 5511 6376 11407 7186 20721 9668 15640 13100 14525 22132 19904 11612 265 9508 10271 8642 9987 11459 21088 12214
"207225_at" 7804 10385 11588 10605 13160 8352 11013 5916 8054 9392 1446 6686 11856 12425 10462 8866 9468 9654 11627 14467
"207226_at" 10506 14187 7393 510 9234 11367 813 703 14709 6123 3318 597 375 1317 889 111 1903 21473 14428 1961
"207227_x_at" 15690 4385 13485 6200 8105 10028 17591 6278 13215 6755 11346 7985 476 13039 8342 2742 20535 4263 2142 15011
"207228_at" 7487 13639 5594 8115 11826 9866 12664 613 14483 16303 19545 2861 1474 20339 15302 17906 14216 880 1374 6693
"207229_at" 6782 10991 8289 16136 13659 8787 4207 7062 7161 6665 5957 17099 21769 1256 3636 18518 10573 5954 11287 14230
"207230_at" 8839 15189 7880 9854 12060 14678 21502 11661 10882 9562 4937 3120 67 209 203 1354 1381 836 9039 10014
"207231_at" 6561 11755 2914 10198 8551 19441 8713 20792 13774 13703 2061 19960 18723 20930 5875 21855 17350 4428 4001 21403
"207232_s_at" 10385 11412 2001 16608 13976 20926 19908 900 13301 7675 14484 22250 5919 21250 15436 22097 17539 22260 9474 2630
"207233_s_at" 17276 19881 15043 1295 57 901 1771 5118 4148 1072 883 4696 3577 478 1512 21198 999 613 1926 927
"207234_at" 4353 6387 13174 13611 10249 11220 13719 9021 6062 11544 882 15743 1473 9526 8978 10924 10147 9959 10275 8789
"207235_s_at" 8466 10156 11905 11207 12107 9552 14120 9850 14913 14688 11955 6851 8142 12017 9501 6315 10926 11158 9605 11566
"207236_at" 6214 15920 13573 15488 842 13396 15146 13066 13134 7613 1696 8963 12789 13467 5088 8504 18744 18614 2373 8363
"207237_at" 10620 11431 13865 9330 1947 6262 16943 8253 13228 17849 20397 9312 12178 9913 12177 10977 10903 10408 6823 15696
"207238_s_at" 6140 14880 9912 10260 2898 8450 14160 9456 10115 2501 6778 6274 9482 9052 9602 7770 11994 11526 5429 11895
"207239_s_at" 17247 3977 4663 4389 20619 17740 8429 18120 4680 4979 3824 16961 7164 5861 19374 15623 19726 19067 19628 16861
"207240_s_at" 6652 14280 8887 13635 8277 11019 16034 12758 12115 6671 8789 5124 11851 10374 8962 6262 11375 11702 10294 12681
"207241_at" 5727 14511 10633 8291 8964 9070 8753 1292 7326 15557 18364 3195 2567 11379 12608 19621 18587 10456 1319 9974
"207242_s_at" 11241 10261 8122 15889 7429 12190 10565 10802 5856 5880 14430 144 8369 10785 11119 172 10382 10277 11352 10584
"207243_s_at" 4817 19321 15751 17299 18382 15330 10524 15961 2698 18928 18208 11363 12677 8195 15016 13431 9157 12865 16419 17785
"207244_x_at" 22250 20063 10566 10341 11917 11047 15912 12802 1258 7552 13622 5234 11985 1304 5553 8966 10542 8224 10675 15009
"207245_at" 7764 12678 12366 14349 15605 6191 12110 7528 10691 9662 1196 2073 10905 13049 7202 9776 12384 10736 12249 10073
"207246_at" 7410 16240 11562 8671 8261 10728 11326 9700 12032 11357 12646 6954 10861 11672 11703 9396 13525 11391 11831 8348
"207247_s_at" 5020 15509 16630 266 10201 14731 20205 3135 14872 14433 993 17207 14025 20373 785 18710 4175 21032 2259 2295
"207248_at" 9949 8714 8551 14191 12046 6129 16056 10791 13391 14906 13682 2618 8815 838 10135 7140 10308 15197 10620 11926
"207249_s_at" 9670 11138 13344 10943 11023 8253 14692 9299 10307 8993 15310 8375 9962 10852 11766 6491 11222 7673 9695 10442
"207250_at" 4011 11367 10853 9319 8160 8126 11312 11133 9118 12049 13652 5274 12221 12129 8372 8122 9979 10789 11818 12286
"207251_at" 4082 17019 7063 13337 14007 11475 11550 14362 13389 8085 19201 357 8321 11121 12602 341 21628 9236 7473 4913
"207252_at" 5879 21519 12961 13789 15366 9207 16055 12323 4936 8495 11366 11127 9088 8802 13629 11162 1070 17499 958 9074
"207253_s_at" 3668 3537 16124 17579 18511 18326 5728 20458 2863 4497 6111 2166 19549 1178 20978 15924 5143 12867 15971 17752
"207254_at" 10034 14807 6228 14089 14407 15418 16590 6867 13142 13419 18926 2580 20195 18025 11460 11909 21671 523 12280 15810
"207255_at" 15851 1263 5874 15450 13723 12369 17531 6187 3273 10422 13857 5926 586 13706 11057 10174 11152 7978 9051 12621
"207256_at" 7590 12155 5980 6837 15885 3167 11685 7293 7801 9606 2448 670 247 13363 8713 10008 10523 8092 13360 11244
