"inst_417" "inst_422" "inst_1010" "inst_1068" "inst_1171" "inst_1230" "inst_1486" "inst_1655" "inst_1905" "inst_1986" "inst_2690" "inst_4085" "inst_4164" "inst_4454" "inst_5227" "inst_5590" "inst_5916" "inst_5921" "inst_6189" "inst_6989"
"200047_s_at" 15308 16243 16363 5116 5086 15672 6137 15803 4082 4404 7117 11726 13977 6927 5081 13206 19326 5026 17924 6156
"200048_s_at" 11975 18619 16468 16378 7364 15696 7486 15461 17380 17643 7511 10390 13374 5809 15264 14400 15663 4289 16173 6755
"200049_at" 14876 604 17340 1600 3635 5305 7944 19238 16372 19158 17934 18549 17743 13965 18769 19523 14688 6673 7784 18949
"200050_at" 19724 4275 5559 21658 19272 19296 20527 16269 17808 4972 18652 18043 7322 8003 13867 14824 5142 3535 7659 3203
"200051_at" 17334 17372 5564 21867 7289 19068 10384 17676 5603 18529 8184 14891 16324 15304 15332 16094 8598 12875 20449 6787
"200052_s_at" 15965 4884 18393 17528 18177 17414 6276 17843 16648 18445 10041 18009 14629 15358 15066 17448 15616 17377 20068 7813
"200053_at" 2660 2828 15954 17385 4504 5568 20095 3981 15725 3713 8550 18714 7420 5658 2496 15512 7489 13955 17854 18980
"200054_at" 13057 7566 15093 18075 20467 17263 1650 17192 3265 20392 16948 17262 16855 4017 18606 20302 18184 6097 18845 7611
"200055_at" 11848 18975 5248 4049 16561 4955 4819 5647 18816 17950 9835 11857 13600 7100 16808 13829 15401 14031 16109 6603
"200056_s_at" 18304 17343 15502 16576 17450 17833 6047 19558 19254 17726 9651 16477 15464 7004 6356 14766 17105 16288 16090 17312
"200057_s_at" 2255 17409 15174 17088 6270 15930 9097 5631 16544 1902 15847 10122 16837 16392 14051 12164 15443 14633 8104 17669
"200058_s_at" 14251 7853 5792 20124 20031 16025 5488 17217 19335 4816 16670 15923 6480 17112 15596 16077 6642 13224 16092 16884
"200059_s_at" 18828 6411 17600 3904 5866 16083 18315 16159 20462 2860 7562 12104 13393 17089 4603 5186 14693 18544 5303 7599
