"inst_835" "inst_919" "inst_952" "inst_1683" "inst_1805" "inst_1847" "inst_5093" "inst_5518"
"1007_s_at" 15193 18915 14224 20780 16668 257 2423 16424
"1053_at" 20983 21038 20788 18659 20578 15618 4863 20658
"117_at" 2 10744 2 10392 7196 2182 13469 1918
"121_at" 3754 8509 20922 12338 531 15562 20991 2620
"1255_g_at" 6705 14365 7109 8793 9007 8864 12895 3725
"1294_at" 10986 11508 5152 229 1866 15876 21257 3423
"1316_at" 12066 16390 8547 2621 9805 9663 6698 22026
"1320_at" 9891 15652 8330 4568 11439 9035 11744 12676
"1405_i_at" 704 2457 5000 9249 10054 20317 15906 9236
"1431_at" 2137 14622 8212 5950 4767 8205 8802 1885
"1438_at" 19138 21210 15326 12792 9632 13750 19270 12626
"1487_at" 16074 7707 18963 12357 19822 3117 6047 21202
"1494_f_at" 9831 13025 8080 17559 1478 13843 587 19258
"1598_g_at" 22173 2690 1896 13033 15954 698 19162 16458
"160020_at" 6095 34 9183 1268 3373 8603 2365 850
"1729_at" 18578 1777 2148 16852 1432 21254 11084 15074
"1773_at" 17926 4846 22226 693 1851 14491 11335 19351
"177_at" 11111 2998 4531 5341 7737 2452 20223 3729
"179_at" 20522 4252 13988 1020 16870 21894 9451 379
"1861_at" 21290 4045 20762 13636 18338 15223 21669 4034
"200000_s_at" 18128 19192 17789 15751 14727 18343 20717 14385
"200001_at" 15938 19049 16246 13917 3942 3750 3555 5957
"200002_at" 2888 20041 13949 2767 16911 4188 8042 6968
"200003_s_at" 7145 13870 13727 14550 17735 4401 11104 6321
"200004_at" 15228 9480 15301 14837 17151 15603 7596 19598
"200005_at" 14881 8073 14340 16951 16392 17789 10490 14269
"200006_at" 14061 9164 14526 3225 4273 4996 5687 14914
"200007_at" 3464 8190 13704 16665 15836 18861 9841 17874
"200008_s_at" 17574 5228 18670 13540 854 1077 21070 3632
"200009_at" 13356 9860 14471 12546 4808 4868 11224 14960
"200010_at" 13930 9688 13260 14482 5052 15156 11611 16065
"200011_s_at" 20415 6995 16525 16682 14542 19491 4234 19726
"200012_x_at" 3655 14309 2143 2397 3737 2459 19264 7611
"200013_at" 13253 19018 14683 13625 15241 4534 8025 17008
"200014_s_at" 15066 8801 13951 13483 17883 14351 4829 4822
"200015_s_at" 18405 10040 14927 17782 16523 14880 1746 5495
"200016_x_at" 13740 13704 13799 12978 16998 19879 18234 15619
"200017_at" 7216 14103 14733 3488 18642 4234 4320 5498
"200018_at" 13859 9778 2905 2893 5304 16059 10906 6878
"200019_s_at" 14502 18987 2985 13434 14868 17144 11724 15342
"200020_at" 17977 6153 15933 21280 19797 21078 18581 18218
"200021_at" 7049 13744 2329 14227 20774 19997 20465 9570
"200022_at" 6939 18931 13316 2909 15356 4891 8615 7288
"200023_s_at" 14198 7160 15127 19547 19112 17130 9082 15213
"200024_at" 13640 20131 13696 2463 3672 3744 18929 5056
