"inst_161" "inst_1509" "inst_1927" "inst_2009" "inst_5387" "inst_6287"
"200594_x_at" 18612 11657 8790 17505 8232 3004
"200595_s_at" 16367 6782 4085 21167 16317 16873
"200596_s_at" 14688 11635 20526 20563 6989 13713
"200597_at" 16404 19819 5801 17773 2266 20516
"200598_s_at" 15846 9227 21329 5089 18750 13797
"200599_s_at" 3935 20194 2240 19728 7483 13314
"200600_at" 11472 15720 1286 6530 14426 15030
"200601_at" 18945 5563 8168 20936 7518 2213
"200602_at" 20876 4702 519 3711 15797 18075
"200603_at" 21737 7998 405 6723 15255 14501
"200604_s_at" 17523 12595 8529 1467 6680 19154
"200605_s_at" 18489 3116 5581 20457 18834 12971
"200606_at" 16616 7653 2330 9642 4615 14907
"200607_s_at" 16050 1856 22178 4072 19167 21020
"200608_s_at" 18757 8832 717 18515 16335 12675
"200609_s_at" 20975 8845 20667 20501 994 2822
"200610_s_at" 18849 11389 5133 5814 4565 4349
"200611_s_at" 19005 9726 21385 5412 7401 16317
"200612_s_at" 14558 1431 8470 19056 8449 21725
"200613_at" 20610 21388 7582 18874 18272 13225
"200614_at" 16398 20444 7264 17183 6761 14772
"200615_s_at" 20578 7427 8710 17228 16447 19318
"200616_s_at" 21819 20995 19622 6740 19134 16637
"200617_at" 19119 3862 8700 19456 5749 12781
"200618_at" 17257 8193 6414 21239 1890 16145
"200619_at" 18835 11180 20137 1638 3990 15243
"200620_at" 16925 5626 7854 6570 8190 14234
"200621_at" 15757 3062 4066 6326 8346 3745
"200622_x_at" 15831 8012 2080 5502 17092 19317
"200623_s_at" 19210 20243 7804 22129 6552 17017
"200624_s_at" 18758 9828 20287 17254 5117 17926
"200625_s_at" 20723 9179 5800 4729 6526 14488
"200626_s_at" 21385 20463 3699 4259 4893 17063
"200627_at" 18630 9209 7631 6055 15198 15320
"200628_s_at" 2551 11023 21132 3923 5150 19182
"200629_at" 19301 11437 19450 126 7371 13039
"200630_x_at" 3618 9173 4871 18633 15856 17208
"200631_s_at" 16959 7420 8539 17861 8368 3249
"200632_s_at" 15822 20748 4214 21423 1072 1477
"200633_at" 17846 19920 20689 20538 10717 7589
"200634_at" 3840 11496 8282 17312 4546 15704
"200635_s_at" 17319 8531 3295 2092 4739 13403
"200636_s_at" 17130 20952 181 1653 8182 19831
"200637_s_at" 19797 4590 3254 10178 3611 1538
"200638_s_at" 17809 8352 3899 5109 8297 14683
"200639_s_at" 1635 2952 95 19228 3173 5025
"200640_at" 16889 10989 7176 17883 5954 12918
"200641_s_at" 3320 7501 22029 2830 17600 16840
"200642_at" 3795 12394 6786 4655 8333 13325
"200643_at" 18809 2707 1440 18897 4056 19417
"200644_at" 20359 7097 6309 5649 8553 14192
"200645_at" 19894 12052 21321 5407 7077 4068
"200646_s_at" 19783 7402 7927 14532 8315 22010
"200647_x_at" 17714 20968 20923 4612 7239 13205
"200648_s_at" 1107 11487 17538 20143 6628 12968
"200649_at" 20286 9881 2808 21386 2979 3198
"200650_s_at" 14691 20801 6692 5430 15248 5053
"200651_at" 15057 20365 21152 17379 18376 13010
"200652_at" 18414 6655 19913 6627 7100 13849
"200653_s_at" 18021 11827 6968 20336 4482 3131
"200654_at" 20183 20749 20301 5823 4163 4077
"200655_s_at" 19757 19716 5329 4572 6760 5156
"200656_s_at" 17196 7848 19643 1958 3922 16378
"200657_at" 14422 20300 19612 4062 15967 3251
"200658_s_at" 19935 10884 22142 2489 8354 17709
"200659_s_at" 21605 19404 19213 1604 19546 3726
"200660_at" 18653 10255 4925 22136 16094 16534
"200661_at" 16028 10870 20256 19058 4866 16372
"200662_s_at" 18419 20841 5267 4828 15805 3188
"200663_at" 19558 10199 19267 6470 6844 4736
"200664_s_at" 16290 6974 9186 17743 20590 18403
"200665_s_at" 5933 17001 16150 12409 9367 9713
"200666_s_at" 20253 12634 19662 19368 19902 17621
"200667_at" 20136 9468 6166 18625 19331 4008
