"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74"
"K",47,47,47,47,48,56,61,66,72,77,78,79,82,80,80,82,89,92,126,112,111,124,145,139,147,152,160,162,149,152,158,164,174,175,176,178,167,183,178,161,160,161,169,178,186,199,137,133,138,134,127,128,137,142,142,98,33,10,6,6,4,3,3,2,2,1,1,1,1,1,1,1,1,1
"IncDrugs",1295,1295,1295,1295,1291,1293,1288,1281,1262,1246,1252,1254,1256,1250,1239,1228,1224,1207,991,1208,1208,1206,1016,1216,1199,1211,1204,1000,1169,1175,1168,1178,1158,1132,1107,1125,1095,1106,1009,1009,1005,986,1004,994,1003,978,831,794,795,781,698,638,656,637,617,488,218,69,49,47,38,32,27,19,17,11,11,11,10,10,10,9,9,9
"EnrichedClusters",0,0,0,0,0,0,2,3,3,3,2,3,9,7,10,8,14,14,20,4,7,4,9,2,15,10,10,19,1,1,1,1,27,19,18,15,18,28,29,21,25,20,21,19,21,24,25,22,25,29,23,29,32,33,31,19,4,3,2,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1
"Percentage",0,0,0,0,0,0,3.28,4.55,4.17,3.9,2.56,3.8,10.98,8.75,12.5,9.76,15.73,15.22,15.87,3.57,6.31,3.23,6.21,1.44,10.2,6.58,6.25,11.73,0.67,0.66,0.63,0.61,15.52,10.86,10.23,8.43,10.78,15.3,16.29,13.04,15.62,12.42,12.43,10.67,11.29,12.06,18.25,16.54,18.12,21.64,18.11,22.66,23.36,23.24,21.83,19.39,12.12,30,33.33,50,75,66.67,33.33,50,50,100,100,100,100,100,100,100,100,100
"EnrichedClustersDT",0,0,0,0,0,0,0,1,1,1,1,1,7,7,7,6,6,10,12,8,6,6,13,7,13,8,10,15,11,11,11,9,19,19,16,15,14,22,20,16,14,14,17,16,15,11,11,13,18,20,17,15,15,13,14,9,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PercentageDT",0,0,0,0,0,0,0,1.52,1.39,1.3,1.28,1.27,8.54,8.75,8.75,7.32,6.74,10.87,9.52,7.14,5.41,4.84,8.97,5.04,8.84,5.26,6.25,9.26,7.38,7.24,6.96,5.49,10.92,10.86,9.09,8.43,8.38,12.02,11.24,9.94,8.75,8.7,10.06,8.99,8.06,5.53,8.03,9.77,13.04,14.93,13.39,11.72,10.95,9.15,9.86,9.18,18.18,20,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pval_ATC",0.999999999454859,0.999999999454859,0.999999999454859,0.999999999454859,0.999999999992068,1,1,1,1,1,0.99996964949996,0.999965016992511,0.162636509664152,0.0636658693108768,1.87278875122247e-05,2.37567392477596e-05,0.000411023989833011,0.00273651882661632,2.0108950529119e-05,7.44578354190638e-08,1.67097281619498e-09,1.86276436404865e-06,2.83969793492254e-05,2.8923649591507e-06,4.24230572770422e-09,1.91674669608073e-11,4.8835355956464e-13,0.011543748769201,4.17614410569218e-06,4.26936750323956e-14,1.1628559840318e-14,6.88603858321061e-13,7.7859114030128e-19,3.61394735936624e-14,3.60793488164839e-10,4.02244081153876e-13,9.11511201888353e-16,8.75667819563782e-23,3.55541802278493e-06,7.5281169304988e-18,3.02810656132385e-14,2.69096514414559e-22,3.9827754064419e-11,1.7344868616031e-20,5.69188933905372e-26,9.33223757830268e-12,3.96613614908327e-15,5.12868258662336e-08,0.000200972794895406,5.87903672712027e-11,3.10741321934913e-08,3.54937189579317e-15,1.96490379412337e-11,3.00086853247051e-09,9.34701073793238e-10,2.06156306936098e-06,0.000224867850600827,0.0549036975636711,0.0611848695352074,0.00118163891304559,0.0611848695352074,0.0242384924088002,0.191961661562319,0.101090110786162,0.101090110786162,0.0518913194559354,0.0518913194559354,0.0518913194559354,0.0518913194559354,0.0518913194559354,0.0518913194559354,0.0518913194559354,0.0518913194559354,0.0518913194559354
"Pval_DT",0.000589537464024523,0.000589537464024523,0.000589537464024523,0.000589537464024523,0.0370625586579438,0.000217727004268708,0.677040900642283,0.462339339897938,0.197620806988739,0.0024266672474684,7.64557799610312e-05,4.26212720770871e-05,1.98559851225044e-07,6.59015430650973e-10,3.18520270687012e-12,1.0023690003941e-11,1.73436346822122e-13,1.59661334675176e-15,3.49364581901813e-27,1.03007010034685e-15,7.03823341638663e-17,8.46335896393433e-16,3.21957279799692e-22,1.91774013798018e-20,5.29988276581702e-18,6.14763540022495e-18,2.16288727740076e-18,1.4377860361622e-14,5.51036613403553e-15,3.18057426207842e-19,7.30648169408117e-19,8.38208042815846e-20,1.52694342122164e-22,5.10329244943035e-15,3.61477620958819e-12,1.17958682538667e-16,9.42420360576387e-16,4.47979948019339e-20,9.21615910887399e-09,4.90194484057769e-07,8.81158587446941e-05,8.59957290185059e-14,1.97040728632822e-14,1.69411333342199e-16,5.33243820357172e-18,1.59990338218144e-10,0.000497034682276445,0.00333014323533123,0.00153175794941621,4.86805521677128e-16,2.96831690579006e-12,3.65303894138561e-12,4.26047198508562e-10,2.0448647226282e-08,2.55083628762429e-08,3.66484420161382e-05,5.7783314905651e-05,0.0709237206640218,1,0.149222483865336,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ARIndex",0.0468446224146461,0.0468446224146461,0.0468446224146461,0.0468446224146461,0.047954516107184,0.0514417612057637,0.0546739668442091,0.0638088971956789,0.0715484181057646,0.0808002041692128,0.0853491230112296,0.0896655699127594,0.0907429969053676,0.0952565384388134,0.0974612487890857,0.104024266919062,0.106197099291903,0.112897509593529,0.155440138645593,0.12091588820692,0.125530682092999,0.128348458809722,0.164311128681558,0.13593531467568,0.141994316191779,0.14396063907997,0.145925986203822,0.174833954317188,0.152258356707828,0.151587263050992,0.15267684517354,0.14929852250056,0.15564183632931,0.160688390527411,0.173816106304622,0.165795240496024,0.16247826830832,0.163088293814315,0.18466517122706,0.166562359194267,0.152228674980519,0.177021726098978,0.174068920945053,0.192332608502926,0.187453367179156,0.143262140901219,0.178384327949739,0.183934622044746,0.206598557000315,0.265456221006024,0.291692504907878,0.342022259503418,0.280498651324432,0.286468604681213,0.293267155301773,0.313147013079069,0.454867474047575,0.551763951777922,0.514729332773814,0.440811086766351,0.372130165701737,0.394545671073002,0.325598581140999,0.321260233192756,0.416666666666667,0,0,0,0,0,0,0,0,0
"Overlap_ATC",0,0,0,0,0,0,0.0625,0.1875,0.1875,0.1875,0.125,0.1875,0.375,0.3125,0.3125,0.25,0.25,0.3125,0.375,0.25,0.25,0.25,0.4375,0.125,0.5,0.4375,0.4375,0.5,0.0625,0.0625,0.0625,0.0625,0.75,0.5,0.4375,0.4375,0.5625,0.5625,0.625,0.4375,0.5625,0.5,0.5625,0.5625,0.5625,0.6875,0.6875,0.625,0.5625,0.5625,0.5625,0.625,0.75,0.6875,0.75,0.6875,0.125,0.125,0.125,0.125,0.125,0.125,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625
"Overlap_DT",0,0,0,0,0,0,0,0.0434782608695652,0.0434782608695652,0.0434782608695652,0.0434782608695652,0.0869565217391304,0.260869565217391,0.391304347826087,0.347826086956522,0.347826086956522,0.347826086956522,0.478260869565217,0.521739130434783,0.347826086956522,0.347826086956522,0.391304347826087,0.521739130434783,0.391304347826087,0.434782608695652,0.391304347826087,0.391304347826087,0.521739130434783,0.478260869565217,0.434782608695652,0.434782608695652,0.304347826086957,0.652173913043478,0.565217391304348,0.608695652173913,0.695652173913043,0.695652173913043,0.695652173913043,0.652173913043478,0.608695652173913,0.521739130434783,0.565217391304348,0.565217391304348,0.521739130434783,0.521739130434783,0.521739130434783,0.304347826086957,0.347826086956522,0.434782608695652,0.608695652173913,0.478260869565217,0.478260869565217,0.478260869565217,0.478260869565217,0.478260869565217,0.434782608695652,0.304347826086957,0.0434782608695652,0,0.0434782608695652,0,0,0,0,0,0,0,0,0,0,0,0,0,0
