"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74"
"K",47,47,47,47,48,56,61,66,72,77,78,79,82,80,80,82,89,92,126,112,111,124,145,139,147,152,160,162,149,152,158,164,174,175,176,178,167,183,178,161,160,161,169,178,186,199,137,133,138,134,127,128,137,142,142,98,33,10,6,6,4,3,3,2,2,1,1,1,1,1,1,1,1,1
"IncDrugs",1295,1295,1295,1295,1291,1293,1288,1281,1262,1246,1252,1254,1256,1250,1239,1228,1224,1207,991,1208,1208,1206,1016,1216,1199,1211,1204,1000,1169,1175,1168,1178,1158,1132,1107,1125,1095,1106,1009,1009,1005,986,1004,994,1003,978,831,794,795,781,698,638,656,637,617,488,218,69,49,47,38,32,27,19,17,11,11,11,10,10,10,9,9,9
"EnrichedClusters",3,3,3,3,3,5,5,7,8,13,7,11,15,16,17,17,23,26,43,24,28,28,54,27,40,39,39,49,37,36,35,35,32,33,35,31,31,38,41,36,35,34,36,42,40,40,37,36,38,35,31,32,32,31,30,17,6,3,2,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1
"Percentage",6.38,6.38,6.38,6.38,6.25,8.93,8.2,10.61,11.11,16.88,8.97,13.92,18.29,20,21.25,20.73,25.84,28.26,34.13,21.43,25.23,22.58,37.24,19.42,27.21,25.66,24.38,30.25,24.83,23.68,22.15,21.34,18.39,18.86,19.89,17.42,18.56,20.77,23.03,22.36,21.88,21.12,21.3,23.6,21.51,20.1,27.01,27.07,27.54,26.12,24.41,25,23.36,21.83,21.13,17.35,18.18,30,33.33,50,75,66.67,33.33,50,50,100,100,100,100,100,100,100,100,100
"EnrichedClustersDT",0,0,0,0,0,0,0,1,1,1,1,1,7,7,7,6,6,10,12,8,6,6,13,7,13,8,10,15,11,11,11,9,19,19,16,15,14,22,20,16,14,14,17,16,15,11,11,13,18,20,17,15,15,13,14,9,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PercentageDT",0,0,0,0,0,0,0,1.52,1.39,1.3,1.28,1.27,8.54,8.75,8.75,7.32,6.74,10.87,9.52,7.14,5.41,4.84,8.97,5.04,8.84,5.26,6.25,9.26,7.38,7.24,6.96,5.49,10.92,10.86,9.09,8.43,8.38,12.02,11.24,9.94,8.75,8.7,10.06,8.99,8.06,5.53,8.03,9.77,13.04,14.93,13.39,11.72,10.95,9.15,9.86,9.18,18.18,20,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pval_ATC",0.391357568380719,0.391357568380719,0.391357568380719,0.391357568380719,0.784101373951062,0.552867298703939,0.445462634134123,0.0710487930397011,0.0961036808652615,0.00980994548362724,3.99039588572975e-05,7.79774633814899e-06,0.00010093225787966,5.97309872773454e-05,3.54261114797682e-05,0.000129530603475684,0.000378614997089086,4.04980145756518e-05,3.4753713690821e-32,2.38446297061384e-06,1.56985423957822e-07,1.34082082324695e-06,9.72272507599047e-33,2.11874219432653e-07,4.36140772773465e-08,5.0458026704807e-10,1.04828304431632e-11,3.40020770464322e-26,5.76504454292837e-10,3.64385916015049e-12,1.02499132195857e-11,5.21340422253484e-11,2.63272046968923e-17,4.66827072756207e-17,1.96533544278809e-17,3.89674558569699e-16,1.67111931322082e-18,7.50982311062992e-23,5.84543996740294e-14,9.24387540898839e-13,2.34682770159479e-07,7.65613738556925e-20,2.92669326224685e-12,1.14086882983118e-24,3.93896799169028e-29,7.80634625122252e-12,0.000299801365746419,4.99317363112778e-05,3.66404071828251e-07,2.80866027681224e-27,2.41672124668917e-31,1.89090095493935e-36,1.40289817637734e-28,2.62620047037785e-20,1.19198827088017e-20,7.45545869092992e-14,6.1258974954183e-09,0.00195723600794812,0.00964557689082771,2.64828321250705e-05,0.00964557689082771,0.00358030579831373,0.0749705929313995,0.0382153698765094,0.0382153698765094,0.0192937750273016,0.0192937750273016,0.0192937750273016,0.0192937750273016,0.0192937750273016,0.0192937750273016,0.0192937750273016,0.0192937750273016,0.0192937750273016
"Pval_DT",0.000589537464024523,0.000589537464024523,0.000589537464024523,0.000589537464024523,0.0370625586579438,0.000217727004268708,0.677040900642283,0.462339339897938,0.197620806988739,0.0024266672474684,7.64557799610312e-05,4.26212720770871e-05,1.98559851225044e-07,6.59015430650973e-10,3.18520270687012e-12,1.0023690003941e-11,1.73436346822122e-13,1.59661334675176e-15,3.49364581901813e-27,1.03007010034685e-15,7.03823341638663e-17,8.46335896393433e-16,3.21957279799692e-22,1.91774013798018e-20,5.29988276581702e-18,6.14763540022495e-18,2.16288727740076e-18,1.4377860361622e-14,5.51036613403553e-15,3.18057426207842e-19,7.30648169408117e-19,8.38208042815846e-20,1.52694342122164e-22,5.10329244943035e-15,3.61477620958819e-12,1.17958682538667e-16,9.42420360576387e-16,4.47979948019339e-20,9.21615910887399e-09,4.90194484057769e-07,8.81158587446941e-05,8.59957290185059e-14,1.97040728632822e-14,1.69411333342199e-16,5.33243820357172e-18,1.59990338218144e-10,0.000497034682276445,0.00333014323533123,0.00153175794941621,4.86805521677128e-16,2.96831690579006e-12,3.65303894138561e-12,4.26047198508562e-10,2.0448647226282e-08,2.55083628762429e-08,3.66484420161382e-05,5.7783314905651e-05,0.0709237206640218,1,0.149222483865336,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ARIndex",0.0468446224146461,0.0468446224146461,0.0468446224146461,0.0468446224146461,0.047954516107184,0.0514417612057637,0.0546739668442091,0.0638088971956789,0.0715484181057646,0.0808002041692128,0.0853491230112296,0.0896655699127594,0.0907429969053676,0.0952565384388134,0.0974612487890857,0.104024266919062,0.106197099291903,0.112897509593529,0.155440138645593,0.12091588820692,0.125530682092999,0.128348458809722,0.164311128681558,0.13593531467568,0.141994316191779,0.14396063907997,0.145925986203822,0.174833954317188,0.152258356707828,0.151587263050992,0.15267684517354,0.14929852250056,0.15564183632931,0.160688390527411,0.173816106304622,0.165795240496024,0.16247826830832,0.163088293814315,0.18466517122706,0.166562359194267,0.152228674980519,0.177021726098978,0.174068920945053,0.192332608502926,0.187453367179156,0.143262140901219,0.178384327949739,0.183934622044746,0.206598557000315,0.265456221006024,0.291692504907878,0.342022259503418,0.280498651324432,0.286468604681213,0.293267155301773,0.313147013079069,0.454867474047575,0.551763951777922,0.514729332773814,0.440811086766351,0.372130165701737,0.394545671073002,0.325598581140999,0.321260233192756,0.416666666666667,0,0,0,0,0,0,0,0,0
"Overlap_ATC",0.0810810810810811,0.0810810810810811,0.0810810810810811,0.0810810810810811,0.0810810810810811,0.135135135135135,0.135135135135135,0.135135135135135,0.135135135135135,0.162162162162162,0.162162162162162,0.189189189189189,0.216216216216216,0.27027027027027,0.243243243243243,0.216216216216216,0.27027027027027,0.27027027027027,0.432432432432432,0.297297297297297,0.324324324324324,0.324324324324324,0.621621621621622,0.324324324324324,0.540540540540541,0.378378378378378,0.405405405405405,0.567567567567568,0.459459459459459,0.378378378378378,0.405405405405405,0.486486486486487,0.486486486486487,0.540540540540541,0.567567567567568,0.486486486486487,0.540540540540541,0.648648648648649,0.594594594594595,0.648648648648649,0.567567567567568,0.621621621621622,0.675675675675676,0.72972972972973,0.72972972972973,0.675675675675676,0.621621621621622,0.567567567567568,0.567567567567568,0.513513513513513,0.459459459459459,0.432432432432432,0.513513513513513,0.405405405405405,0.378378378378378,0.324324324324324,0.0810810810810811,0.0540540540540541,0.0540540540540541,0.0540540540540541,0.0540540540540541,0.0540540540540541,0.027027027027027,0.027027027027027,0.027027027027027,0.027027027027027,0.027027027027027,0.027027027027027,0.027027027027027,0.027027027027027,0.027027027027027,0.027027027027027,0.027027027027027,0.027027027027027
"Overlap_DT",0,0,0,0,0,0,0,0.0434782608695652,0.0434782608695652,0.0434782608695652,0.0434782608695652,0.0869565217391304,0.260869565217391,0.391304347826087,0.347826086956522,0.347826086956522,0.347826086956522,0.478260869565217,0.521739130434783,0.347826086956522,0.347826086956522,0.391304347826087,0.521739130434783,0.391304347826087,0.434782608695652,0.391304347826087,0.391304347826087,0.521739130434783,0.478260869565217,0.434782608695652,0.434782608695652,0.304347826086957,0.652173913043478,0.565217391304348,0.608695652173913,0.695652173913043,0.695652173913043,0.695652173913043,0.652173913043478,0.608695652173913,0.521739130434783,0.565217391304348,0.565217391304348,0.521739130434783,0.521739130434783,0.521739130434783,0.304347826086957,0.347826086956522,0.434782608695652,0.608695652173913,0.478260869565217,0.478260869565217,0.478260869565217,0.478260869565217,0.478260869565217,0.434782608695652,0.304347826086957,0.0434782608695652,0,0.0434782608695652,0,0,0,0,0,0,0,0,0,0,0,0,0,0
