"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74"
"K",46,46,46,46,47,54,59,64,70,75,76,77,80,79,79,81,87,90,124,110,109,121,143,135,143,148,156,161,147,150,156,162,171,171,173,174,165,181,176,159,158,159,168,177,183,198,135,131,136,132,125,126,135,140,141,98,33,10,6,6,4,3,3,2,2,1,1,1,1,1,1,1,1,1
"IncDrugs",1256,1256,1256,1256,1253,1250,1244,1238,1215,1194,1204,1206,1206,1202,1189,1180,1177,1157,928,1142,1147,1140,949,1136,1114,1123,1110,932,1108,1115,1110,1115,1087,1063,1034,1050,1043,1052,961,973,975,946,969,957,954,938,817,781,784,770,686,626,645,626,610,486,218,69,49,47,38,32,27,19,17,11,11,11,10,10,10,9,9,9
"EnrichedClusters",2,2,2,2,2,4,4,6,6,8,5,5,10,10,11,5,15,17,40,16,18,13,43,17,14,17,28,44,32,33,31,33,30,32,28,27,30,35,40,34,31,28,31,36,35,37,36,35,37,34,30,31,31,30,30,17,6,3,2,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1
"Percentage",4.35,4.35,4.35,4.35,4.26,7.41,6.78,9.38,8.57,10.67,6.58,6.49,12.5,12.66,13.92,6.17,17.24,18.89,32.26,14.55,16.51,10.74,30.28,12.78,9.93,11.64,18.06,27.33,21.77,22.15,20,20.62,17.75,18.82,16.28,15.61,18.18,19.34,22.73,21.52,19.62,17.72,18.56,20.57,19.34,18.88,26.67,26.72,27.21,25.76,24,24.6,22.96,21.43,21.28,17.35,18.18,30,33.33,50,75,66.67,33.33,50,50,100,100,100,100,100,100,100,100,100
"EnrichedClustersDT",0,0,0,0,0,0,0,1,1,2,1,1,1,1,1,1,1,3,4,4,2,2,6,2,8,4,7,10,9,7,7,7,11,16,13,13,14,21,18,15,13,13,15,15,14,11,11,13,18,19,16,14,15,13,14,9,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PercentageDT",0,0,0,0,0,0,0,1.56,1.43,2.67,1.32,1.3,1.25,1.27,1.27,1.23,1.15,3.33,3.23,3.64,1.83,1.65,4.23,1.5,5.67,2.74,4.52,6.21,6.12,4.7,4.52,4.38,6.51,9.41,7.56,7.51,8.48,11.6,10.23,9.49,8.23,8.23,8.98,8.57,7.73,5.61,8.15,9.92,13.24,14.39,12.8,11.11,11.11,9.29,9.93,9.18,18.18,20,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pval_ATC",0.685993576109108,0.685993576109108,0.685993576109108,0.685993576109108,0.766208055286922,0.687961652402755,0.382932417390243,0.0638673672113718,0.0812112536431247,0.00994925082471444,2.90870057489826e-05,1.95146715267781e-05,0.000295609508850275,0.000143831098603959,6.04337976509798e-05,0.000203235623545022,0.000711197642362676,6.75609992860078e-05,2.42675365460776e-30,3.08195053366575e-06,2.52385562711611e-07,5.59007367604884e-06,3.88303767850918e-30,1.34555206893799e-06,3.46427473395296e-07,1.74102045912519e-09,2.12380601001173e-11,4.91002045894534e-26,7.39048462548989e-10,2.5481687273134e-12,1.43671981525006e-11,3.98624698235027e-11,4.00706791753684e-17,6.09553091338838e-17,1.20044364237292e-17,3.90481247726925e-16,2.91541049875654e-19,4.56158012217211e-23,4.43375855880839e-14,1.44285291347621e-12,2.29242491667214e-07,3.92727903419488e-20,2.92231214650523e-12,3.4059062511725e-24,7.61754286988403e-29,9.8601717474407e-12,0.000312555619483777,5.54936439838795e-05,4.61593569719538e-07,3.91778999703873e-27,3.19219450796599e-31,2.45795959096417e-36,2.71202760385489e-28,5.03812249273778e-20,6.60034566009473e-21,5.95073664834499e-14,6.1258974954183e-09,0.00195723600794812,0.00964557689082771,2.64828321250705e-05,0.00964557689082771,0.00358030579831373,0.0749705929313995,0.0382153698765094,0.0382153698765094,0.0192937750273016,0.0192937750273016,0.0192937750273016,0.0192937750273016,0.0192937750273016,0.0192937750273016,0.0192937750273016,0.0192937750273016,0.0192937750273016
"Pval_DT",0.0181826056476493,0.0181826056476493,0.0181826056476493,0.0181826056476493,0.0519502372151926,0.000407845039838443,0.646225188762555,0.480163971026031,0.318987101353391,0.00439848270577834,0.000117629355177071,0.000175409549715613,1.43306677175689e-06,6.14168731746701e-09,1.37237438642421e-11,4.10301705662161e-11,8.52976678678368e-13,6.83865197901625e-15,1.70092474714425e-25,2.04540406516843e-15,5.10039754586927e-16,8.73008094074069e-16,7.73149249312891e-22,9.77286833592813e-20,5.95377961711168e-18,6.17159757378173e-18,2.19668744259664e-18,7.40460723214002e-15,4.79480437876517e-15,1.95133387923081e-19,6.30269402365457e-19,3.66421576512713e-20,9.51278897148412e-23,6.40969123480308e-15,2.0369788962397e-12,5.75715079315486e-17,2.789304195266e-16,3.47831474050649e-20,1.07829933921411e-08,5.71388322132308e-07,8.74302365786534e-05,4.21533492655409e-14,1.33329756677709e-14,8.85985721375767e-17,2.56170567917431e-18,5.42657761349016e-11,0.000384660863716403,0.00281853388332756,0.00135102567370893,1.01120000095222e-15,5.27749568883116e-12,7.27082723554835e-12,3.16476261976545e-10,1.53453891940369e-08,1.87292333840858e-08,3.39664259052366e-05,5.7783314905651e-05,0.0709237206640218,1,0.149222483865336,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ARIndex",0.048571732781539,0.048571732781539,0.048571732781539,0.048571732781539,0.0491339090268166,0.052978017477485,0.056971874737999,0.066540408387104,0.0749214658896308,0.0845332126068725,0.0884072753968054,0.0924808033595873,0.0934796326579219,0.0976498156145774,0.0997331886118487,0.105978243490826,0.109338673740436,0.116253299365105,0.136746500641348,0.122727578836562,0.127255505233937,0.130096641631228,0.14064480859148,0.137808946903781,0.142872178430147,0.144167315719762,0.145103797719793,0.144148598885298,0.14886846298338,0.149422842824461,0.150575356244166,0.147002307092947,0.150550146533592,0.151308833312319,0.162804068021644,0.154932700360661,0.15015996493962,0.149607630176342,0.15429622592615,0.143021393565096,0.13100511347114,0.148629590829693,0.14410173197616,0.156764542675812,0.154878037694407,0.112596548591301,0.121435306561378,0.120175953525979,0.134210003762355,0.174208650579092,0.158433390254536,0.144299872912523,0.116562483102991,0.111783474129055,0.104262686287548,0.0813311187691503,0.062895169840335,0.0172753096940836,0.0161722234359506,0.0141499495936977,0.0112041280613092,0.00894992530388697,0.00596892471788717,0.00474288451415828,0.00440449304448908,0.00284030806431305,0.00284030806431305,0.00284030806431305,0.00367552768615759,0.00273044044363481,0.00273044044363481,0.00275301959921989,0.00369866154758151,0.00369866154758151
"Overlap_ATC",0.0540540540540541,0.0540540540540541,0.0540540540540541,0.0540540540540541,0.0540540540540541,0.108108108108108,0.108108108108108,0.108108108108108,0.108108108108108,0.135135135135135,0.135135135135135,0.135135135135135,0.162162162162162,0.162162162162162,0.162162162162162,0.0810810810810811,0.216216216216216,0.189189189189189,0.351351351351351,0.243243243243243,0.216216216216216,0.189189189189189,0.513513513513513,0.216216216216216,0.189189189189189,0.243243243243243,0.351351351351351,0.567567567567568,0.405405405405405,0.324324324324324,0.405405405405405,0.432432432432432,0.432432432432432,0.513513513513513,0.486486486486487,0.432432432432432,0.486486486486487,0.594594594594595,0.567567567567568,0.567567567567568,0.513513513513513,0.594594594594595,0.648648648648649,0.675675675675676,0.648648648648649,0.594594594594595,0.594594594594595,0.540540540540541,0.540540540540541,0.486486486486487,0.432432432432432,0.405405405405405,0.486486486486487,0.378378378378378,0.378378378378378,0.324324324324324,0.0810810810810811,0.0540540540540541,0.0540540540540541,0.0540540540540541,0.0540540540540541,0.0540540540540541,0.027027027027027,0.027027027027027,0.027027027027027,0.027027027027027,0.027027027027027,0.027027027027027,0.027027027027027,0.027027027027027,0.027027027027027,0.027027027027027,0.027027027027027,0.027027027027027
