"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74"
"K",46,46,46,46,47,54,59,64,70,75,76,77,80,79,79,81,87,90,124,110,109,121,143,135,143,148,156,161,147,150,156,162,171,171,173,174,165,181,176,159,158,159,168,177,183,198,135,131,136,132,125,126,135,140,141,98,33,10,6,6,4,3,3,2,2,1,1,1,1,1,1,1,1,1
"IncDrugs",1256,1256,1256,1256,1253,1250,1244,1238,1215,1194,1204,1206,1206,1202,1189,1180,1177,1157,928,1142,1147,1140,949,1136,1114,1123,1110,932,1108,1115,1110,1115,1087,1063,1034,1050,1043,1052,961,973,975,946,969,957,954,938,817,781,784,770,686,626,645,626,610,486,218,69,49,47,38,32,27,19,17,11,11,11,10,10,10,9,9,9
"EnrichedClusters",0,0,0,0,0,0,0,1,1,1,1,1,3,4,5,3,6,3,13,2,3,2,14,6,7,6,6,26,1,1,8,7,21,16,14,13,17,25,28,16,20,15,17,13,19,21,24,22,24,27,22,28,31,32,31,19,4,3,2,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1
"Percentage",0,0,0,0,0,0,0,1.56,1.43,1.33,1.32,1.3,3.75,5.06,6.33,3.7,6.9,3.33,10.48,1.82,2.75,1.65,9.86,4.51,4.96,4.11,3.87,16.15,0.68,0.67,5.16,4.38,12.43,9.41,8.14,7.51,10.3,13.81,15.91,10.13,12.66,9.49,10.18,7.43,10.5,10.71,17.78,16.79,17.65,20.45,17.6,22.22,22.96,22.86,21.99,19.39,12.12,30,33.33,50,75,66.67,33.33,50,50,100,100,100,100,100,100,100,100,100
"EnrichedClustersDT",0,0,0,0,0,0,0,1,1,2,1,1,1,1,1,1,1,3,4,4,2,2,6,2,8,4,7,10,9,7,7,7,11,16,13,13,14,21,18,15,13,13,15,15,14,11,11,13,18,19,16,14,15,13,14,9,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PercentageDT",0,0,0,0,0,0,0,1.56,1.43,2.67,1.32,1.3,1.25,1.27,1.27,1.23,1.15,3.33,3.23,3.64,1.83,1.65,4.23,1.5,5.67,2.74,4.52,6.21,6.12,4.7,4.52,4.38,6.51,9.41,7.56,7.51,8.48,11.6,10.23,9.49,8.23,8.23,8.98,8.57,7.73,5.61,8.15,9.92,13.24,14.39,12.8,11.11,11.11,9.29,9.93,9.18,18.18,20,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pval_ATC",0.999999999971014,0.999999999971014,0.999999999971014,0.999999999971014,0.999999997584055,1,1,1,1,1,0.999991842111937,0.999998708342855,0.403671369178421,0.190317956191899,0.000118631917250009,0.000155955689466266,0.00184219659877214,0.00930605838886144,0.000512325778451557,1.52379903400919e-06,8.64284119670484e-08,1.12047807590827e-05,0.000407061955878181,2.31796571481121e-05,3.06806014495191e-08,7.59684890900937e-11,1.37773830573337e-12,0.022718144342969,5.17714703294327e-06,1.11050518147849e-13,2.28875961957124e-14,8.11433176700102e-13,3.2956965525719e-18,5.78814401189261e-14,5.66311229585139e-10,1.28131271782927e-12,5.21904986598934e-16,3.42697363203371e-23,2.60632614087846e-06,6.87368923125124e-18,5.04288711478134e-14,4.14554753008305e-22,3.54364684830794e-11,2.60259588765506e-20,5.61488273261918e-25,1.73167112239788e-11,3.14625509028589e-15,3.63462647758213e-08,0.000187814127391323,7.81730841644006e-11,4.02961240954747e-08,5.22338144512834e-15,2.08759332796464e-11,3.18349001986774e-09,5.2910586756293e-10,1.67016374167891e-06,0.000224867850600827,0.0549036975636711,0.0611848695352074,0.00118163891304559,0.0611848695352074,0.0242384924088002,0.191961661562319,0.101090110786162,0.101090110786162,0.0518913194559354,0.0518913194559354,0.0518913194559354,0.0518913194559354,0.0518913194559354,0.0518913194559354,0.0518913194559354,0.0518913194559354,0.0518913194559354
"Pval_DT",0.0181826056476493,0.0181826056476493,0.0181826056476493,0.0181826056476493,0.0519502372151926,0.000407845039838443,0.646225188762555,0.480163971026031,0.318987101353391,0.00439848270577834,0.000117629355177071,0.000175409549715613,1.43306677175689e-06,6.14168731746701e-09,1.37237438642421e-11,4.10301705662161e-11,8.52976678678368e-13,6.83865197901625e-15,1.70092474714425e-25,2.04540406516843e-15,5.10039754586927e-16,8.73008094074069e-16,7.73149249312891e-22,9.77286833592813e-20,5.95377961711168e-18,6.17159757378173e-18,2.19668744259664e-18,7.40460723214002e-15,4.79480437876517e-15,1.95133387923081e-19,6.30269402365457e-19,3.66421576512713e-20,9.51278897148412e-23,6.40969123480308e-15,2.0369788962397e-12,5.75715079315486e-17,2.789304195266e-16,3.47831474050649e-20,1.07829933921411e-08,5.71388322132308e-07,8.74302365786534e-05,4.21533492655409e-14,1.33329756677709e-14,8.85985721375767e-17,2.56170567917431e-18,5.42657761349016e-11,0.000384660863716403,0.00281853388332756,0.00135102567370893,1.01120000095222e-15,5.27749568883116e-12,7.27082723554835e-12,3.16476261976545e-10,1.53453891940369e-08,1.87292333840858e-08,3.39664259052366e-05,5.7783314905651e-05,0.0709237206640218,1,0.149222483865336,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ARIndex",0.048571732781539,0.048571732781539,0.048571732781539,0.048571732781539,0.0491339090268166,0.052978017477485,0.056971874737999,0.066540408387104,0.0749214658896308,0.0845332126068725,0.0884072753968054,0.0924808033595873,0.0934796326579219,0.0976498156145774,0.0997331886118487,0.105978243490826,0.109338673740436,0.116253299365105,0.136746500641348,0.122727578836562,0.127255505233937,0.130096641631228,0.14064480859148,0.137808946903781,0.142872178430147,0.144167315719762,0.145103797719793,0.144148598885298,0.14886846298338,0.149422842824461,0.150575356244166,0.147002307092947,0.150550146533592,0.151308833312319,0.162804068021644,0.154932700360661,0.15015996493962,0.149607630176342,0.15429622592615,0.143021393565096,0.13100511347114,0.148629590829693,0.14410173197616,0.156764542675812,0.154878037694407,0.112596548591301,0.121435306561378,0.120175953525979,0.134210003762355,0.174208650579092,0.158433390254536,0.144299872912523,0.116562483102991,0.111783474129055,0.104262686287548,0.0813311187691503,0.062895169840335,0.0172753096940836,0.0161722234359506,0.0141499495936977,0.0112041280613092,0.00894992530388697,0.00596892471788717,0.00474288451415828,0.00440449304448908,0.00284030806431305,0.00284030806431305,0.00284030806431305,0.00367552768615759,0.00273044044363481,0.00273044044363481,0.00275301959921989,0.00369866154758151,0.00369866154758151
"Overlap_ATC",0,0,0,0,0,0,0,0.125,0.125,0.125,0.125,0.125,0.125,0.1875,0.1875,0.125,0.1875,0.1875,0.25,0.1875,0.125,0.0625,0.4375,0.375,0.375,0.375,0.3125,0.625,0.0625,0.0625,0.4375,0.4375,0.75,0.5,0.3125,0.375,0.5625,0.5,0.625,0.4375,0.5,0.5,0.5,0.5625,0.5625,0.5625,0.6875,0.625,0.5625,0.5625,0.5625,0.625,0.75,0.6875,0.75,0.6875,0.125,0.125,0.125,0.125,0.125,0.125,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625
