"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69"
"K",47,47,47,47,48,56,61,66,72,77,78,79,82,80,80,82,89,92,126,112,111,124,145,139,147,152,160,162,149,152,158,164,174,175,176,178,167,183,178,161,160,161,169,178,186,199,137,133,138,134,127,128,137,142,142,98,33,10,6,6,4,3,3,2,2,1,1,1,1
"EnrichedClusters",1,1,1,1,0,0,0,0,0,0,1,0,0,1,2,2,0,3,21,2,7,16,26,13,15,15,17,29,19,9,10,11,17,12,14,11,10,9,22,16,12,14,9,17,15,17,14,15,13,15,12,12,15,16,12,9,3,2,1,2,1,1,0,1,0,1,1,1,1
"Percentage",2.13,2.13,2.13,2.13,0,0,0,0,0,0,1.28,0,0,1.25,2.5,2.44,0,3.26,16.67,1.79,6.31,12.9,17.93,9.35,10.2,9.87,10.62,17.9,12.75,5.92,6.33,6.71,9.77,6.86,7.95,6.18,5.99,4.92,12.36,9.94,7.5,8.7,5.33,9.55,8.06,8.54,10.22,11.28,9.42,11.19,9.45,9.38,10.95,11.27,8.45,9.18,9.09,20,16.67,33.33,25,33.33,0,50,0,100,100,100,100
"EnrichedClustersDT",0,0,0,0,0,1,0,0,1,0,2,0,2,1,1,2,1,3,8,5,3,7,7,6,5,5,7,11,7,2,1,3,4,7,3,4,5,4,10,4,3,3,4,6,5,5,8,8,6,3,5,6,6,8,6,5,2,1,0,1,0,0,0,0,0,0,0,0,0
"PercentageDT",0,0,0,0,0,1.79,0,0,1.39,0,2.56,0,2.44,1.25,1.25,2.44,1.12,3.26,6.35,4.46,2.7,5.65,4.83,4.32,3.4,3.29,4.38,6.79,4.7,1.32,0.63,1.83,2.3,4,1.7,2.25,2.99,2.19,5.62,2.48,1.88,1.86,2.37,3.37,2.69,2.51,5.84,6.02,4.35,2.24,3.94,4.69,4.38,5.63,4.23,5.1,6.06,10,0,16.67,0,0,0,0,0,0,0,0,0
"Pval_ATC",0.324152361976204,0.324152361976204,0.324152361976204,0.324152361976204,0.741675215547659,0.309095554139652,0.589082378166683,0.937549997154675,0.142341526063132,0.480512306683569,0.529531862515024,0.309611528292434,0.719446861391574,0.877492257829594,0.672037598473503,0.577898749962764,0.230797668817769,0.0850722620210766,0.400010467609154,0.396223551977433,0.367353975384336,0.390008873363508,0.644418719377337,0.0844335014931508,0.216911099984141,0.378457651319469,0.375557167941544,0.658299897652411,0.214410323960195,0.530227170318992,0.705967741753683,0.842888442686933,0.226067172615019,0.706511782707903,0.683666330823685,0.722824299214952,0.36223959916947,0.700285214225664,0.633950732555856,0.681367530974133,0.775794233075447,0.295597264737904,0.763059237307182,0.623626745078217,0.66747902237813,0.36099031178988,0.8103747714077,0.486580652116614,0.646162175679561,0.265706808255203,0.325042983934825,0.383520547856897,0.19198350635193,0.287447200454821,0.566562527090378,0.259376223676369,0.428149518822779,0.46391921764907,0.267817842731346,0.110321448760673,1,0.127487085294088,1,0.110321448760673,1,0.0192937750273016,0.0192937750273016,0.0192937750273016,0.0192937750273016
"Pval_DT",0.570268352774198,0.570268352774198,0.570268352774198,0.570268352774198,0.548607044896452,0.693504347957877,0.341931300334464,0.281265554455287,0.855003999473981,0.321641990986112,0.512603772936033,0.487735216308206,0.492416401818144,0.540079086652071,0.410074114960762,0.683458017130504,0.350417228174826,0.508788769863933,0.629883056185311,0.446965033793304,0.425097920433412,0.504940174730661,0.638147595242359,0.379604819199461,0.681348515225515,0.827312345609165,0.524647528351994,0.840781197973688,0.837064039175779,0.605361113901502,0.558545797729444,0.353353079465545,0.485882721406318,0.425389745089077,0.801118984394195,0.606904070809382,0.406125577490626,0.762320146412996,0.549514226300334,0.386381691462642,0.388798079477869,0.380309337560594,0.793032767779571,0.656559685517472,0.392743611353204,0.63792915272207,0.711727433778211,0.445075280916376,0.627937527368608,0.724545574084309,0.634828174832185,0.69218005689726,0.497441040118232,0.380040823174903,0.437033867651322,0.40654875795206,0.424734891159809,0.454514167413325,1,1,1,1,1,1,1,1,1,1,1
