"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"K",2,6,10,14,18,22,26,30,34,38,42,46,50,54,58,62,66,70,74,78,82,86,90,94,98,102,106,110,114,118,122,126,130,134,138,142,146,150,154,158,162,166,170,174,178,182,186,190,194,198,202,206,210,214,218,222,226,230,234,238,242,246,250,254,258,262,266,270,274,278,282,286,290,294,298,302,306,310,314,318,322,326,330,334,338,342,346,350,354,358,362,366,370,374,378,382,386,390,394,398
"IncDrugs",1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1308,1308,1308,1308,1308,1308,1307,1307,1307,1307,1307,1307,1306,1305,1305,1305,1305,1305,1304,1303,1302,1301,1301,1299,1299,1298,1297,1297,1295,1294,1294,1291,1290,1288,1286,1284,1283,1282,1281,1280,1279,1278,1278,1276,1273,1272,1271,1269
"EnrichedClusters",0,0,1,2,2,9,9,20,20,23,24,25,26,26,25,25,27,25,25,24,23,23,24,23,23,23,21,21,21,21,21,20,21,22,20,20,20,20,19,19,20,19,18,17,17,17,17,17,17,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,19,18,18,18,18,18,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
"Percentage",0,0,10,14.29,11.11,40.91,34.62,66.67,58.82,60.53,57.14,54.35,52,48.15,43.1,40.32,40.91,35.71,33.78,30.77,28.05,26.74,26.67,24.47,23.47,22.55,19.81,19.09,18.42,17.8,17.21,15.87,16.15,16.42,14.49,14.08,13.7,13.33,12.34,12.03,12.35,11.45,10.59,9.77,9.55,9.34,9.14,8.95,8.76,9.09,8.91,8.74,9.09,8.92,8.76,8.6,8.44,8.3,8.19,8.05,7.92,7.79,7.66,7.54,7.45,7.36,7.25,7.14,7.04,6.93,6.86,7.14,7.07,6.64,6.21,6.16,6.08,6.02,5.96,5.56,5.19,5.14,5.08,5.06,5.02,4.98,4.95,4.92,4.88,4.83,4.79,4.75,4.71,4.66,4.61,4.58,4.57,4.53,4.49,4.47
"EnrichedClustersDT",0,0,1,1,1,2,6,6,12,15,15,15,15,15,14,15,16,15,18,19,21,21,22,22,21,22,21,21,21,21,20,19,19,18,18,18,17,17,16,16,17,15,14,16,15,15,15,18,18,18,18,18,19,20,19,19,20,19,19,18,18,18,18,17,17,17,17,17,16,16,16,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
"PercentageDT",0,0,10,7.14,5.56,9.09,23.08,20,35.29,39.47,35.71,32.61,30,27.78,24.14,24.19,24.24,21.43,24.32,24.36,25.61,24.42,24.44,23.4,21.43,21.57,19.81,19.09,18.42,17.8,16.39,15.08,14.62,13.43,13.04,12.68,11.64,11.33,10.39,10.13,10.49,9.04,8.24,9.2,8.43,8.24,8.06,9.47,9.28,9.09,8.91,8.74,9.09,9.39,8.76,8.6,8.89,8.3,8.19,7.63,7.5,7.38,7.26,6.75,6.67,6.59,6.49,6.39,5.93,5.84,5.78,5,4.95,4.9,4.83,4.79,4.73,4.68,4.64,4.25,4.22,4.18,4.13,4.11,4.08,4.05,4.02,4,3.96,3.93,3.89,3.86,3.82,3.79,3.75,3.72,3.71,3.68,3.65,3.63
"Pval_ATC",0.695833140874003,0.477939810594383,0.0961597706464377,0.126669568977967,0.0758792345318701,0.0305406488657295,0.0155260771381197,0.000110700775073884,5.20391226243602e-05,0.000281278610257519,7.18424129264203e-05,3.68936604252352e-05,1.451282723243e-05,9.01322773387409e-05,3.19939484526279e-05,8.75531918889022e-06,8.16259898917087e-06,5.32665174355622e-06,3.91484293765385e-06,5.22081911633313e-06,5.10882757244695e-06,1.95021794824602e-06,5.99686092958338e-07,9.52503648994871e-07,5.30266435142132e-07,2.02210233367443e-07,4.90591033233295e-07,2.93397153031332e-07,6.43381671719338e-07,5.09858827575145e-07,2.04636157416058e-07,5.44368843877563e-07,8.72096231755252e-07,3.54115342637514e-07,1.30424128823866e-06,6.44193194048641e-07,4.52936618466078e-07,3.21556074856631e-07,3.1408430418962e-07,1.82306128737531e-07,1.79651378365058e-05,3.14319288098751e-05,4.42581039649769e-05,7.01555831628933e-05,4.45807337488476e-05,3.84609581196471e-05,2.96178758059969e-05,5.38240131272116e-06,4.63791726805578e-06,2.82375290022219e-06,1.4770965680617e-06,7.24112861364351e-07,8.57518981918386e-06,1.20288829470254e-05,1.06045171014192e-05,4.27451633679767e-05,1.04342100431149e-05,6.00343863237419e-06,5.09302296677129e-06,3.43849277007679e-06,2.7951937370537e-06,1.9634617120038e-06,1.72055104667829e-06,9.03906972614617e-07,7.36575587330142e-07,5.6024462278719e-07,4.90807336921889e-07,3.45765041812826e-07,1.69237162541084e-07,1.36177863384022e-07,1.07595312945246e-07,9.00438927539046e-06,9.00438927539046e-06,2.08065958259092e-05,2.3477957105895e-05,1.91673245672133e-05,1.55816751419313e-05,1.26114128465034e-05,9.62027782214789e-06,2.42403777217476e-05,4.19014085624027e-05,3.44061320976997e-05,2.96944730433483e-05,2.81295047190685e-05,2.48742820687776e-05,2.28954094312821e-05,2.10584330758613e-05,1.88144296675233e-05,1.6078512466823e-05,1.06498693670998e-05,8.87781046265722e-06,7.60878149748369e-06,6.00974806580967e-06,5.46001727489464e-06,3.44701027588272e-06,3.06258755383749e-06,2.58051822168968e-06,2.28513947846133e-06,2.05671850285585e-06,1.69096378716452e-06
"Pval_DT",0.294874876248381,0.0558053180419362,0.00212321286295802,0.295995132932229,0.159212588331178,0.0703311914371921,0.023362642420672,0.00224984063903502,0.00047968882570361,0.000383407418578359,0.000438169771957891,0.000165067351318484,0.000281726494237815,6.70017634004512e-05,6.49403332885503e-05,1.8633613788164e-05,4.84480362525364e-06,7.50173190956658e-06,3.71689186536876e-06,9.7577713169474e-06,1.21857655406781e-05,5.15715474448738e-06,5.61590662775387e-06,4.07262619478167e-06,4.67507418129236e-06,1.87575265480897e-06,1.98406140614933e-06,1.44536207434343e-06,1.12177160367535e-06,2.12154803962918e-07,3.24644343715347e-07,9.29846903011248e-07,1.56270871295981e-06,2.80015401571415e-06,1.95026569285401e-06,2.76668993146374e-06,1.96891863393071e-05,1.59941416051945e-05,2.40319639138604e-05,3.17027552149588e-05,0.00440420609269324,0.00587342177118916,0.00727969590798869,0.00546346082398024,0.0064083615322389,0.00536175490297767,0.00467426656362377,0.00433921141179582,0.00413540438432299,0.00272967476179476,0.00148492218692028,0.000953793294478585,0.00289951068334339,0.00193243198020491,0.00372672462031844,0.00311438089809933,0.00114772263911641,0.00183076331256755,0.00168723861744893,0.00318992384770107,0.00301018535858208,0.00223438649785511,0.00210162310316986,0.00514124998627369,0.00476297592597129,0.00399564609310502,0.00376400819499576,0.0030712767682107,0.00391334630173065,0.00345406900588529,0.00297603877361292,0.00690442171725783,0.00690442171725783,0.00539515980977499,0.00245519495371252,0.00182735350399617,0.0014890522186953,0.0012716378890927,0.000942710892258229,0.00175502316477772,0.00116437141707199,0.000872725984827556,0.00082260011932123,0.000729701274794829,0.000686729439029722,0.000686729439029722,0.000666070882382325,0.000552983228379679,0.000442310926650784,0.00032852236895263,0.000267634207847109,0.000216814093614225,0.000145146416517749,0.000134636357707114,9.14763476988809e-05,9.14763476988809e-05,8.79198000479848e-05,8.79198000479848e-05,7.48820653969505e-05,6.90277142289713e-05
"ARIndex",0.0131738339750723,0.0307064815429121,0.039462465051138,0.0531125298263651,0.0582028591516512,0.0646736836251256,0.0682667006972564,0.0808512432419763,0.0833766945458813,0.0829396128066898,0.0897850897600244,0.0925981663183175,0.0939853503420467,0.102441580432256,0.107446997934833,0.111660513148275,0.114537038727492,0.117602260257782,0.119939100069071,0.119597786222264,0.120406804581385,0.122125431400125,0.123130728294684,0.123875874646777,0.124139882496544,0.125726550111691,0.127104269166998,0.128478978640551,0.128456798309643,0.131224307050647,0.132020870912325,0.131267289659379,0.129321066932821,0.130667291573903,0.130661932674125,0.1320856984217,0.132311109233197,0.133020867280254,0.134043544950272,0.131796414537489,0.122836978516815,0.123180707980526,0.123141746990566,0.123353582942328,0.122767432066099,0.123060576937945,0.12341622490386,0.121556126815136,0.121586496140576,0.121523295894403,0.121880669313475,0.12205658635141,0.117741509598891,0.11656469304671,0.116697016119863,0.116952735808642,0.116507945602557,0.113873658803855,0.113858703466594,0.113764216885974,0.11325795623949,0.113026831967824,0.113053642937542,0.111349462019106,0.111779756116102,0.111645393556153,0.111366786691204,0.110843026791082,0.11046967371949,0.109601730770116,0.108100287372722,0.107950647238873,0.107295018839814,0.107408941463871,0.107850349341756,0.107605684140445,0.107426789378955,0.10724003802869,0.107501832005208,0.107469398153304,0.107164061915195,0.107168868308905,0.107449215049129,0.107328715832781,0.105113380031414,0.105049457438045,0.104729643684264,0.104868625528728,0.104236611435983,0.10380323223594,0.1029481655047,0.102105111457479,0.102041915446143,0.102172433013016,0.101312929146539,0.101530318110893,0.101283544136922,0.101294216457836,0.10111751194929,0.100997084820893
"Overlap_ATC",0,0,0.0294117647058824,0.0882352941176471,0.0882352941176471,0.235294117647059,0.264705882352941,0.470588235294118,0.352941176470588,0.529411764705882,0.558823529411765,0.529411764705882,0.529411764705882,0.529411764705882,0.5,0.5,0.5,0.5,0.5,0.441176470588235,0.441176470588235,0.441176470588235,0.441176470588235,0.441176470588235,0.441176470588235,0.441176470588235,0.411764705882353,0.411764705882353,0.411764705882353,0.411764705882353,0.411764705882353,0.382352941176471,0.470588235294118,0.470588235294118,0.470588235294118,0.470588235294118,0.470588235294118,0.470588235294118,0.470588235294118,0.470588235294118,0.441176470588235,0.441176470588235,0.441176470588235,0.441176470588235,0.441176470588235,0.441176470588235,0.441176470588235,0.441176470588235,0.441176470588235,0.441176470588235,0.441176470588235,0.441176470588235,0.411764705882353,0.382352941176471,0.382352941176471,0.352941176470588,0.352941176470588,0.352941176470588,0.352941176470588,0.352941176470588,0.352941176470588,0.352941176470588,0.352941176470588,0.352941176470588,0.352941176470588,0.352941176470588,0.352941176470588,0.352941176470588,0.352941176470588,0.352941176470588,0.352941176470588,0.352941176470588,0.352941176470588,0.352941176470588,0.352941176470588,0.352941176470588,0.352941176470588,0.352941176470588,0.352941176470588,0.323529411764706,0.294117647058824,0.294117647058824,0.294117647058824,0.294117647058824,0.294117647058824,0.294117647058824,0.294117647058824,0.294117647058824,0.294117647058824,0.294117647058824,0.294117647058824,0.294117647058824,0.294117647058824,0.294117647058824,0.294117647058824,0.294117647058824,0.294117647058824,0.294117647058824,0.294117647058824,0.294117647058824
