"K","IncDrugs","EnrichedClusters","Percentage","EnrichedClustersDT","PercentageDT","Pval_ATC","Pval_DT"
106,1309,19,17.92,9,8.49,0.345648123828136,0.114271174596654
106,1309,8,7.55,13,12.26,0.853202778978927,0.07932632681326
106,1309,17,16.04,5,4.72,0.0581856045029408,0.247477158836467
106,1309,24,22.64,12,11.32,0.0148629944095596,0.843471687471735
106,1309,11,10.38,3,2.83,0.576427829749297,0.938772367771881
106,1309,17,16.04,9,8.49,0.685790993616367,0.81954066840354
106,1309,16,15.09,8,7.55,0.754150860997509,0.7196231034322
106,1309,15,14.15,15,14.15,0.343503784065531,0.000952904969381964
106,1309,15,14.15,10,9.43,0.913954010298802,0.727868270948352
106,1309,23,21.7,9,8.49,0.0493530456775287,0.727096467641285
106,1309,10,9.43,3,2.83,0.689259205067793,0.799420609069344
106,1309,21,19.81,14,13.21,0.135801038696433,0.45315231344072
106,1309,11,10.38,13,12.26,0.979154213043604,0.785687290091238
106,1309,16,15.09,5,4.72,0.687001829627369,0.792636719238698
106,1309,10,9.43,10,9.43,0.769593741500854,0.336277009259124
106,1309,18,16.98,10,9.43,0.291242108777438,0.637993155159111
106,1309,14,13.21,11,10.38,0.304636403843724,0.00804904603427942
106,1309,16,15.09,14,13.21,0.228758370933015,0.257907636330684
106,1309,18,16.98,11,10.38,0.771840862876706,0.00513328787948704
106,1309,12,11.32,9,8.49,0.762827158178945,0.0714512383964653
106,1309,17,16.04,11,10.38,0.686368718198208,0.848486087677278
106,1309,18,16.98,14,13.21,0.539382482308667,0.221053460201946
106,1309,20,18.87,8,7.55,0.0857487690130248,0.776482453714184
106,1309,14,13.21,13,12.26,0.128313864509628,0.286999073551492
106,1309,16,15.09,11,10.38,0.65539571746122,0.769879631531792
106,1309,14,13.21,9,8.49,0.719866026163587,0.343822761595942
106,1309,14,13.21,3,2.83,0.376743951021821,0.794247188616308
106,1309,12,11.32,7,6.6,0.981767379698443,0.598380538429453
106,1309,15,14.15,10,9.43,0.31915755004019,0.0840816873540991
106,1309,20,18.87,8,7.55,0.620849629804869,0.573698690166373
106,1309,14,13.21,8,7.55,0.483120611821111,0.214312973585011
