"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74"
"K",46,46,46,46,47,54,59,64,70,75,76,77,80,79,79,81,87,90,124,110,109,121,143,135,143,148,156,161,147,150,156,162,171,171,173,174,165,181,176,159,158,159,168,177,183,198,135,131,136,132,125,126,135,140,141,98,33,10,6,6,4,3,3,2,2,1,1,1,1,1,1,1,1,1
"IncDrugs",1256,1256,1256,1256,1253,1250,1244,1238,1215,1194,1204,1206,1206,1202,1189,1180,1177,1157,928,1142,1147,1140,949,1136,1114,1123,1110,932,1108,1115,1110,1115,1087,1063,1034,1050,1043,1052,961,973,975,946,969,957,954,938,817,781,784,770,686,626,645,626,610,486,218,69,49,47,38,32,27,19,17,11,11,11,10,10,10,9,9,9
"EnrichedClusters",2,2,2,2,2,2,2,2,2,2,2,10,11,11,11,11,14,12,25,17,18,22,24,16,12,17,19,21,16,18,20,24,20,21,17,16,19,20,22,18,21,16,18,22,21,20,19,18,18,21,18,17,17,14,15,11,4,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
"Percentage",4.35,4.35,4.35,4.35,4.26,3.7,3.39,3.12,2.86,2.67,2.63,12.99,13.75,13.92,13.92,13.58,16.09,13.33,20.16,15.45,16.51,18.18,16.9,12.03,8.51,11.64,12.26,13.04,10.88,12.08,12.9,15,11.83,12.35,9.88,9.25,11.52,11.05,12.5,11.39,13.29,10.13,10.78,12.57,11.6,10.2,14.07,13.74,13.24,15.91,14.4,13.49,12.59,10,10.64,11.22,12.12,20,16.67,33.33,50,33.33,0,0,0,0,0,0,0,0,0,0,0,0
"EnrichedClustersDT",0,0,0,0,0,0,0,1,1,2,1,1,1,1,1,1,1,3,4,4,2,2,6,2,8,4,7,10,9,7,7,7,11,16,13,13,14,21,18,15,13,13,15,15,14,11,11,13,18,19,16,14,15,13,14,9,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PercentageDT",0,0,0,0,0,0,0,1.56,1.43,2.67,1.32,1.3,1.25,1.27,1.27,1.23,1.15,3.33,3.23,3.64,1.83,1.65,4.23,1.5,5.67,2.74,4.52,6.21,6.12,4.7,4.52,4.38,6.51,9.41,7.56,7.51,8.48,11.6,10.23,9.49,8.23,8.23,8.98,8.57,7.73,5.61,8.15,9.92,13.24,14.39,12.8,11.11,11.11,9.29,9.93,9.18,18.18,20,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pval_ATC",0.999999968477739,0.999999968477739,0.999999968477739,0.999999968477739,0.999947131001713,0.999998800794952,0.99997941391436,0.999709341636159,0.999903458802409,0.999454786802633,0.969067078098092,0.914611601142348,0.418239464457132,0.193429129305657,0.106766217157573,0.0422430610310798,0.0620325414005955,0.0799938853771909,3.80862277329363e-10,0.00678243095096748,0.000904140218565852,0.000404731466056539,2.66834912054128e-13,0.00278913730978468,0.000287747919915506,5.85534409545281e-05,2.70793156764208e-05,1.12791134669227e-14,8.4393688764499e-09,9.65733442883493e-11,5.61619647755425e-09,5.88098360169848e-11,5.23122836599142e-13,7.40836671470327e-13,8.42477355514435e-14,1.31683937199277e-11,5.51406808362102e-13,8.53431683169606e-17,5.93132644995085e-09,3.48499656389592e-08,3.16253747857643e-07,5.39594236530845e-14,2.78426694382935e-11,5.15715713342536e-13,1.22603174026515e-14,5.14659331042234e-12,3.25517442186981e-05,0.000200085327381001,0.0006572123404379,2.76755298503385e-12,5.73141646888505e-12,1.14302387179764e-17,1.4273392942595e-13,4.86575667962077e-08,9.9495164814728e-09,1.54024491635814e-07,0.00425590323423549,0.000752500410876527,0.0498855120245548,3.00307611130459e-05,0.0498855120245548,0.0314767744944379,1,1,1,1,1,1,1,1,1,1,1,1
"Pval_DT",0.0181826056476493,0.0181826056476493,0.0181826056476493,0.0181826056476493,0.0519502372151926,0.000407845039838443,0.646225188762555,0.480163971026031,0.318987101353391,0.00439848270577834,0.000117629355177071,0.000175409549715613,1.43306677175689e-06,6.14168731746701e-09,1.37237438642421e-11,4.10301705662161e-11,8.52976678678368e-13,6.83865197901625e-15,1.70092474714425e-25,2.04540406516843e-15,5.10039754586927e-16,8.73008094074069e-16,7.73149249312891e-22,9.77286833592813e-20,5.95377961711168e-18,6.17159757378173e-18,2.19668744259664e-18,7.40460723214002e-15,4.79480437876517e-15,1.95133387923081e-19,6.30269402365457e-19,3.66421576512713e-20,9.51278897148412e-23,6.40969123480308e-15,2.0369788962397e-12,5.75715079315486e-17,2.789304195266e-16,3.47831474050649e-20,1.07829933921411e-08,5.71388322132308e-07,8.74302365786534e-05,4.21533492655409e-14,1.33329756677709e-14,8.85985721375767e-17,2.56170567917431e-18,5.42657761349016e-11,0.000384660863716403,0.00281853388332756,0.00135102567370893,1.01120000095222e-15,5.27749568883116e-12,7.27082723554835e-12,3.16476261976545e-10,1.53453891940369e-08,1.87292333840858e-08,3.39664259052366e-05,5.7783314905651e-05,0.0709237206640218,1,0.149222483865336,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ARIndex",0.048571732781539,0.048571732781539,0.048571732781539,0.048571732781539,0.0491339090268166,0.052978017477485,0.056971874737999,0.066540408387104,0.0749214658896308,0.0845332126068725,0.0884072753968054,0.0924808033595873,0.0934796326579219,0.0976498156145774,0.0997331886118487,0.105978243490826,0.109338673740436,0.116253299365105,0.136746500641348,0.122727578836562,0.127255505233937,0.130096641631228,0.14064480859148,0.137808946903781,0.142872178430147,0.144167315719762,0.145103797719793,0.144148598885298,0.14886846298338,0.149422842824461,0.150575356244166,0.147002307092947,0.150550146533592,0.151308833312319,0.162804068021644,0.154932700360661,0.15015996493962,0.149607630176342,0.15429622592615,0.143021393565096,0.13100511347114,0.148629590829693,0.14410173197616,0.156764542675812,0.154878037694407,0.112596548591301,0.121435306561378,0.120175953525979,0.134210003762355,0.174208650579092,0.158433390254536,0.144299872912523,0.116562483102991,0.111783474129055,0.104262686287548,0.0813311187691503,0.062895169840335,0.0172753096940836,0.0161722234359506,0.0141499495936977,0.0112041280613092,0.00894992530388697,0.00596892471788717,0.00474288451415828,0.00440449304448908,0.00284030806431305,0.00284030806431305,0.00284030806431305,0.00367552768615759,0.00273044044363481,0.00273044044363481,0.00275301959921989,0.00369866154758151,0.00369866154758151
"Overlap_ATC",0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.147058823529412,0.147058823529412,0.147058823529412,0.147058823529412,0.147058823529412,0.205882352941176,0.147058823529412,0.470588235294118,0.205882352941176,0.294117647058824,0.352941176470588,0.558823529411765,0.323529411764706,0.264705882352941,0.441176470588235,0.441176470588235,0.529411764705882,0.5,0.411764705882353,0.470588235294118,0.558823529411765,0.617647058823529,0.588235294117647,0.529411764705882,0.529411764705882,0.558823529411765,0.5,0.441176470588235,0.588235294117647,0.558823529411765,0.558823529411765,0.558823529411765,0.588235294117647,0.617647058823529,0.617647058823529,0.5,0.411764705882353,0.441176470588235,0.588235294117647,0.470588235294118,0.470588235294118,0.411764705882353,0.323529411764706,0.323529411764706,0.323529411764706,0.205882352941176,0.0294117647058824,0.0294117647058824,0.0294117647058824,0.0294117647058824,0.0294117647058824,0,0,0,0,0,0,0,0,0,0,0,0
